"rownum","i32_0","i32_4","string_8","string_16","Achievements","bool_40"
0,3,0,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_ambush_01.arm","",[],""
1,3,1,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_dustpile_02.arm","",[],""
2,3,2,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_01_01.arm","",[],""
3,3,3,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_01_02.arm","",[],""
4,3,4,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_01_03.arm","",[],""
5,3,5,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_01_04.arm","",[],""
6,3,6,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_gruthkul_blood_02_01.arm","",[],""
7,2,0,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_ambush_02.arm","",[],""
8,2,1,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_dustpile_01.arm","",[],""
9,2,2,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_01_01.arm","",[],""
10,2,3,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_01_02.arm","",[],""
11,2,4,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_01_03.arm","",[],""
12,2,5,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_01_04.arm","",[],""
13,2,6,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_treant_henge_02_01.arm","",[],""
14,1,0,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_ambush_03.arm","",[],""
15,1,1,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_dustpile_03.arm","",[],""
16,1,2,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_01_01.arm","",[],""
17,1,3,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_01_02.arm","",[],""
18,1,4,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_01_03.arm","",[],""
19,1,5,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_01_04.arm","",[],""
20,1,6,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_02_02.arm","",[],""
21,1,7,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_02_03.arm","",[],""
22,1,8,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_02_01.arm","",[],""
23,1,9,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_03_01.arm","",[],""
24,1,10,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_huts_03_04.arm","",[],""
25,0,0,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_wolves_01.arm","",[],""
26,0,1,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/shrine_gruthkul.arm","",[],""
27,0,2,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_spidernest_01.arm","",[],""
28,0,3,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_saplings_01.arm","",[],""
29,0,4,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/shrine_ryslatha.arm","",[],""
30,4,0,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/clearing_trout_swamp_01.arm","",[],""
31,4,1,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/shrine_lunaris.arm","",[],""
32,4,2,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/shrine_sisters.arm","",[],""
33,4,3,"Metadata/Terrain/Maps/UniqueWildwood/Rooms/Features/shrine_solaris.arm","",[],""
