"rownum","Id","f32_8","f32_12","f32_16","f32_20","f32_24","f32_28","f32_32","f32_36"
0,"Spear",17.9,0.22,0.16,-0.08,17.9,0.25,0.19,-0.16
1,"Staff",9.7,0.01,0.01,-0.01,20,0.07,0.01,-0.05
2,"Bow",320.3,0.35,-0.05,0.12,320.3,0.35,0.12,0.05
3,"Two_Hand_Sword",25.1,0.28,0.21,0.08,25.1,0.28,0.21,0.08
4,"Crossbow",330.8,0.31,-0.22,0.06,322.5,0.23,-0.11,-0.08
5,"One_Hand_Sword",39.7,0.38,0.12,0.05,39.7,0.38,0.12,0.05
6,"Two_Hand_Mace",41.2,0.22,-0.02,-0.14,49.6,0.27,0.01,-0.21
7,"TowerShield",317.2,0.12,-0.03,0.01,317.2,0.12,-0.03,0.01
8,"Two_Hand_Axe",36.5,0.26,-0.01,-0.05,36.5,0.26,-0.01,-0.05
9,"Wand",71.8,0.3,0.27,-0.04,71.8,0.3,0.27,-0.04
10,"One_Hand_Axe",32.9,0.38,0.13,-0.07,32.9,0.38,0.13,-0.07
11,"One_Hand_Mace",43.4,0.34,0.12,0.01,43.4,0.34,0.12,0.01
12,"Sceptre",31,0.27,0.05,-0.16,19.5,0.35,0.11,-0.21
13,"Targe",322.7,0.28,-0.12,0.03,322.7,0.28,-0.12,0.03
14,"CrestShield",322.7,0.28,-0.12,0.03,322.7,0.28,-0.12,0.03
15,"Warstaff",20,0.07,-0.02,-0.01,20,0.07,0.01,-0.05
16,"Buckler",316.4,0.38,0.08,0.12,312.7,0.38,0.05,0.05
17,"Focus",299.1,0.3,-0.07,0.01,299.1,0.3,-0.07,0.01
