"rownum","ShapeShiftForm","Bone","Size"
0,0,"root_jntBnd",1
1,0,"aux_camera_position",1
2,0,"aux_position",1
3,0,"head_jntBnd",1
4,0,"aux_Head_attachment",1
5,0,"face_jntBnd",1
6,0,"jaw_jntBnd",1
7,0,"neck_jntBnd",1
8,0,"aux_Back_attachment",1
9,0,"chest_jntBnd",1
10,0,"L_chest_jntBnd",1
11,0,"phys_skinned_L_chest_jntBnd",1
12,0,"R_chest_jntBnd",1
13,0,"phys_skinned_R_chest_jntBnd",1
14,0,"L_clavicle_jntBnd",1
15,0,"L_shoulder_jntBnd",1
16,0,"L_shoulder_attachment_jntBnd",1
17,0,"L_upperArm_attachment_jntBnd",1
18,0,"L_shoulder_cTwist_jntBnd_1",1
19,0,"L_elbow_jntBnd",1
20,0,"L_elbow_attachment_jntBnd",1
21,0,"L_elbow_Twist_jntBnd_1",1
22,0,"L_elbow_Twist_jntBnd_2",1
23,0,"L_elbow_Twist_jntBnd_3",1
24,0,"L_wrist_jntBnd",1
25,0,"aux_L_Weapon_attachment_jntBnd",1
26,0,"aux_L_Weapon_attachment_jntBnd_02",1
27,0,"L_thumb_1_jntBnd_1",1
28,0,"L_thumb_1_jntBnd_2",1
29,0,"L_thumb_1_jntBnd_3",1
30,0,"L_finger_1_jntBnd_1",1
31,0,"L_finger_1_jntBnd_2",1
32,0,"L_finger_1_jntBnd_3",1
33,0,"L_finger_2_jntBnd_1",1
34,0,"L_finger_2_jntBnd_2",1
35,0,"L_finger_2_jntBnd_3",1
36,0,"L_finger_3_jntBnd_1",1
37,0,"L_finger_3_jntBnd_2",1
38,0,"L_finger_3_jntBnd_3",1
39,0,"L_finger_4_jntBnd_1",1
40,0,"L_finger_4_jntBnd_2",1
41,0,"L_finger_4_jntBnd_3",1
42,0,"R_clavicle_jntBnd",1
43,0,"R_shoulder_jntBnd",1
44,0,"R_shoulder_attachment_jntBnd",1
45,0,"R_upperArm_attachment_jntBnd",1
46,0,"R_shoulder_cTwist_jntBnd_1",1
47,0,"R_elbow_jntBnd",1
48,0,"R_elbow_attachment_jntBnd",1
49,0,"R_elbow_Twist_jntBnd_1",1
50,0,"R_elbow_Twist_jntBnd_2",1
51,0,"R_elbow_Twist_jntBnd_3",1
52,0,"R_wrist_jntBnd",1
53,0,"aux_R_Weapon_attachment_jntBnd",1
54,0,"aux_R_Weapon_attachment_jntBnd_02",1
55,0,"R_thumb_1_jntBnd_1",1
56,0,"R_thumb_1_jntBnd_2",1
57,0,"R_thumb_1_jntBnd_3",1
58,0,"R_finger_1_jntBnd_1",1
59,0,"R_finger_1_jntBnd_2",1
60,0,"R_finger_1_jntBnd_3",1
61,0,"R_finger_2_jntBnd_1",1
62,0,"R_finger_2_jntBnd_2",1
63,0,"R_finger_2_jntBnd_3",1
64,0,"R_finger_3_jntBnd_1",1
65,0,"R_finger_3_jntBnd_2",1
66,0,"R_finger_3_jntBnd_3",1
67,0,"R_finger_4_jntBnd_1",1
68,0,"R_finger_4_jntBnd_2",1
69,0,"R_finger_4_jntBnd_3",1
70,0,"spine_2_jntBnd",1
71,0,"spine_1_jntBnd",1
72,0,"hip_jntBnd",1
73,0,"L_thigh_jntBnd",1
74,0,"L_knee_jntBnd",1
75,0,"L_knee_attachment_jntBnd",1
76,0,"L_ankle_jntBnd",1
77,0,"L_foot_jntBnd",1
78,0,"aux_L_foot_attachment",1
79,0,"L_toe_jntBnd",1
80,0,"R_thigh_jntBnd",1
81,0,"R_knee_jntBnd",1
82,0,"R_knee_attachment_jntBnd",1
83,0,"R_ankle_jntBnd",1
84,0,"R_foot_jntBnd",1
85,0,"aux_R_foot_attachment",1
86,0,"R_toe_jntBnd",1
87,1,"root_jntBnd",1
88,1,"hip_jntBnd",2
89,1,"spine_1_jntBnd",3
90,1,"butt_jntBnd",2.3
91,1,"spine_2_jntBnd",4
92,1,"belly_jntBnd",2.5
93,1,"L_thigh_jntBnd",2.5
94,1,"tail_jntBnd",2.3
95,1,"R_thigh_jntBnd",2.5
96,1,"phys_tail_long_jntBnd_01",1
97,1,"chest_jntBnd",2.5
98,1,"L_knee_jntBnd",2.5
99,1,"L_butt_jntBnd",1.6
100,1,"R_knee_jntBnd",2.5
101,1,"R_butt_jntBnd",1.6
102,1,"phys_tail_long_jntBnd_02",1
103,1,"L_clavicle_jntBnd",3
104,1,"R_clavicle_jntBnd",3
105,1,"L_chest_jntBnd",1
106,1,"R_chest_jntBnd",1
107,1,"hump_jntBnd",2.5
108,1,"R_shoulderblade_jntBnd",2.5
109,1,"L_shoulderblade_jntBnd",2.5
110,1,"neck_jntBnd",5
111,1,"L_ankle_jntBnd",1
112,1,"R_ankle_jntBnd",1
113,1,"phys_tail_long_jntBnd_03",1
114,1,"L_shoulder_jntBnd",2
115,1,"R_shoulder_jntBnd",2
116,1,"neck_mid_jntBnd",5
117,1,"L_foot_jntBnd",3
118,1,"R_foot_jntBnd",3
119,1,"phys_tail_long_jntBnd_04",1
120,1,"L_elbow_jntBnd",4
121,1,"L_shoulder_cTwist_jntBnd_1",4
122,1,"R_elbow_jntBnd",4
123,1,"R_shoulder_cTwist_jntBnd_1",4
124,1,"head_jntBnd",3
125,1,"neck_fur_jntBnd",5
126,1,"phys_tail_long_jntBnd_05",1
127,1,"L_wrist_jntBnd",4
128,1,"L_elbow_Twist_jntBnd_1",3
129,1,"L_elbow_Twist_jntBnd_2",3
130,1,"L_elbow_Twist_jntBnd_3",3
131,1,"L_bicep_jntBnd",1
132,1,"R_wrist_jntBnd",4
133,1,"R_elbow_Twist_jntBnd_1",3
134,1,"R_elbow_Twist_jntBnd_2",3
135,1,"R_elbow_Twist_jntBnd_3",3
136,1,"R_bicep_jntBnd",1
137,1,"nose_jntBnd",3
138,1,"jaw_jntBnd_1",3
139,1,"R_ear_jntBnd",3
140,1,"L_ear_jntBnd",3
141,1,"L_upper_lip_jntBnd",3
142,1,"L_lip_jntBnd",3
143,1,"L_mid_upper_lip_jntBnd",3
144,1,"R_lip_jntBnd",3
145,1,"R_mid_upper_lip_jntBnd",3
146,1,"R_upper_lip_jntBnd",3
147,1,"phys_tail_long_jntBnd_06",1
148,1,"L_thumb_jntBnd_5",4
149,1,"L_finger_jntBnd_2",4
150,1,"L_finger_jntBnd_1",4
151,1,"L_finger_jntBnd_3",4
152,1,"L_finger_jntBnd_4",4
153,1,"R_thumb_jntBnd_5",4
154,1,"R_finger_jntBnd_3",4
155,1,"R_finger_jntBnd_4",4
156,1,"R_finger_jntBnd_2",4
157,1,"R_finger_jntBnd_1",4
158,1,"jaw_jntBnd_2",3
159,1,"L_mid_lower_lip_jntBnd",3
160,1,"R_mid_lower_lip_jntBnd",3
161,1,"phys_tail_long_jntBnd_07",1
162,1,"lower_lip_jntBnd",3
163,1,"phys_tail_long_jntBnd_08",1
164,1,"phys_tail_long_jntBnd_09",1
165,1,"phys_tail_long_jntBnd_10",1
166,1,"phys_tail_long_jntBnd_11",1
167,1,"phys_tail_long_jntBnd_12",1
168,1,"phys_tail_long_jntBnd_13",1
169,1,"phys_tail_long_jntBnd_14",1
170,1,"phys_tail_long_jntBnd_15",1
171,1,"aux_position",1
172,1,"aux_camera_position",1
173,1,"aux_animation_control_ratio",1
174,4,"aux_animation_control_ratio",1
175,4,"aux_camera_position",1
176,4,"aux_position",1
177,4,"chest_jntBnd",2
178,4,"diaphram_jntBnd",2
179,4,"head_jntBnd",1.5
180,4,"hip_jntBnd",1
181,4,"jaw_jntBnd",1
182,4,"root_jntBnd",1
183,4,"spine_1_jntBnd",2.7
