"rownum","Id","i32_8","TabColours","[rid]_28","[rid]_44","[rid]_60","[rid]_76","[rid]_92","i32_108","i32_112","i32_116","NPCs","i32_136","i32_140","[rid]_144","i32_160","bool_164","rid_165"
0,"NoRandomItems",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
1,"Cadiro",0,[],[],[],[],[],[],0,0,5,[],0,0,[],0,"",""
2,"Einhar",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
3,"Kirac",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
4,"Whakano",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
5,"EndlessDelve",0,[],[],[],[],[],[],0,0,0,"[35,36,36,37,37,38,38,39]",0,0,[],0,"",""
6,"ExpeditionDealerArmour",0,[],[],[],[],[],[],0,0,2,[],0,0,[],0,"",""
7,"ExpeditionDealerWeapon",0,[],[],[],[],[],[],0,0,2,[],0,0,[],0,"",""
8,"ExpeditionDealerAccessory",0,[],[],[],[],[],[],0,0,2,[],0,0,[],0,"",""
9,"ExpeditionSaga",0,[],[],[],[],[],[],0,0,4,[],0,0,[],0,"",""
10,"EndlessHeistContracts",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
11,"Kirac_HardMode",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
12,"G1_Weapons",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
13,"G1_Magic",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
14,"G1_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
15,"G2_Weapons",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
16,"G2_Magic",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
17,"G2_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
18,"G3_Weapons",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
19,"G3_Magic",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
20,"G3_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
21,"G4_Weapons",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
22,"G4_Magic",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
23,"G4_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
24,"G5_Weapons",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
25,"G5_Magic",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
26,"G5_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
27,"G6_Weapons",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
28,"G6_Magic",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
29,"G6_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
30,"M1_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
31,"M2_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
32,"M3_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
33,"Endgame_Weapons",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
34,"Endgame_Magic",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
35,"Endgame_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
36,"Endgame_Maps",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
37,"OutskirtsVendor",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
38,"DepthVendor",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
39,"FriendlyCauldronCrone",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
40,"EndgameWanderingCaster",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
41,"EndgameWanderingBlacksmith",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
42,"EndgameWanderingJeweler",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
43,"EndgameWanderingUniques",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
44,"CrueltySupporterPack_Gamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
45,"InterludeRuneVendor",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
46,"InterludeCasterVendor",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
47,"A4TwilightCasterVendor",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
48,"A4KaruiWeaponVendor",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
49,"A5GladiatorVendor",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
50,"P3UniqueVendor",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
51,"ChayulaFarmerHub",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
52,"FarrowRuneGamble",0,[],[],[],[],[],[],0,0,3,[],0,0,[],0,"",""
53,"KaimanaJewellery",0,[],[],[],[],[],[],0,0,0,[],0,0,[],0,"",""
