"rownum","Id","MiscAnimated","AnimationAlternate","bool_36","bool_37","bool_38","bool_39","i32_40","bool_44"
0,0,"",280,1,1,"",1,0,1
1,1,75,"","",1,"",1,0,1
2,2,166,167,"",1,"",1,0,1
3,3,281,282,"",1,"",1,0,1
4,4,"","","",1,"",1,0,1
5,5,281,"","",1,"",1,0,1
6,6,281,"",1,1,"",1,0,1
7,7,1402,"","","","",1,0,1
8,8,2065,"","","",1,1,0,1
9,9,2363,"","","",1,1,0,1
10,10,2522,"","","",1,1,0,1
11,11,2499,"","","","",1,0,1
12,12,2868,"","","","",1,0,1
13,13,281,"","",1,"",1,0,1
14,14,3196,"","",1,"",1,0,1
15,15,3197,"","",1,"",1,0,1
16,16,3198,"","",1,"",1,0,1
17,17,3249,"","","","",1,0,1
18,18,3390,"","","","",1,-100,1
19,19,503,280,1,"","",1,0,1
20,20,1807,"","","","",1,0,1
21,25,3815,"","","",1,1,0,1
22,26,4166,"","","","",1,0,1
23,27,4281,"","","","",1,0,1
24,28,4704,"","","","",1,0,1
25,29,4863,"",1,"",1,1,0,1
26,30,4886,"","",1,"",1,0,1
27,31,5143,"","","",1,1,0,1
28,32,5142,"","","","",1,0,1
29,33,5146,"","","",1,1,0,1
30,34,5147,"","","",1,1,0,1
31,35,5145,"","","",1,1,0,1
32,36,5192,"",1,1,1,1,0,1
33,37,5193,"",1,1,1,1,0,1
34,38,5862,"","",1,1,1,0,1
35,39,5965,"","","","",1,0,1
36,40,6443,"","","",1,1,0,1
37,41,6482,"","","",1,1,0,1
38,42,6537,"","","",1,1,0,1
39,1000,6726,"","","",1,1,0,1
40,44,7479,"","","","",1,0,1
41,45,7483,"","","","",1,0,1
42,1001,6763,"","","",1,1,0,""
43,1002,5143,"","","",1,1,0,1
44,1003,7386,"","","","",1,0,1
45,1004,7392,"","",1,"",1,0,1
46,1005,7377,"","","","",1,0,1
47,1006,7738,"","","","",1,0,1
48,1007,7981,"","","",1,1,0,1
49,1008,8154,"",1,"","",1,150,1
50,1009,8522,"","","","",1,0,1
51,1010,8591,"","","",1,1,0,1
52,1011,5194,"","","","",1,0,1
53,1012,9068,"","","",1,1,0,1
54,1013,5965,"","","","",1,0,1
55,1014,9756,"","","",1,1,0,1
56,1015,10512,"","","","",1,0,1
57,1016,10513,"","","","",1,0,1
58,1017,"","",1,"","",1,0,""
