"rownum","Id","Projectile","bool_20","i32_21","bool_25","i32_26","i32_30","bool_34","i32_35","i32_39","i32_43","bool_47","i32_48","i32_52","bool_56","i32_57","bool_61","bool_62","GeometryChannel","bool_79","rid_80","i32_96"
0,0,604,1,9,1,4,7,1,1000,5,10,1,0,0,"",0,"","","","","",0
1,1,605,1,19,"",2,4,1,0,20,60,1,0,0,"",0,"","","","","",0
2,2,615,1,6,"",2,4,1,0,15,45,1,0,0,"",0,"","","","","",0
3,3,616,1,4,"",2,4,1,0,20,60,1,0,0,"",0,"","","","","",0
4,4,627,1,3,1,2,7,1,0,20,60,1,0,0,"",0,"","","","","",0
5,5,653,1,2,1,2,7,1,0,20,60,1,0,0,"",0,"","","","","",0
6,6,654,"",4,"",4,2,"",0,0,0,"",0,0,"",0,"","","","","",0
7,7,654,"",0,"",4,2,"",0,0,0,"",0,0,"",0,"","","","","",0
8,8,654,"",3,"",4,2,"",0,0,0,"",0,0,"",0,"","","","","",0
9,9,660,"",0,"",4,6,"",0,0,0,"",0,0,"",0,"","","","","",0
10,10,686,"",14,"",4,7,"",2600,0,0,"",0,0,"",0,"","","","","",0
11,11,688,"",0,"",4,7,"",0,0,0,"",0,220,"",0,"","","","","",0
12,14,716,1,6,1,2,7,1,0,30,60,1,0,0,"",0,"","","","","",0
13,15,703,"",1,1,4,2,1,0,0,0,"",90,0,"",0,"","","","","",0
14,16,704,"",1,1,4,2,1,0,0,0,"",0,0,"",0,"","","","","",0
15,17,705,"",1,1,4,2,1,0,0,0,"",0,0,"",0,"","","","","",0
16,18,691,1,0,"",3,7,1,0,5,30,1,0,0,"",0,"","","","","",0
17,19,724,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
18,20,724,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
19,21,724,"",0,"",3,4,"",0,0,0,"",20,0,"",0,"","","","","",0
20,22,724,"",0,"",3,4,"",0,0,0,"",-20,0,"",0,"","","","","",0
21,23,714,"",7,1,2,7,"",200,0,0,"",0,0,"",0,"","","","","",0
22,24,739,"",5,1,3,7,1,0,0,0,"",0,0,"",0,"","","","","",0
23,25,765,1,9,"",2,4,1,0,20,60,1,0,45,"",0,"","","","","",0
24,26,775,"",10,1,4,7,"",0,0,0,"",0,0,"",0,"","","","","",0
25,27,793,1,16,1,4,7,1,1000,5,20,1,0,0,"",0,"","","","","",0
26,28,293,"",5,"",2,6,"",500,0,0,"",0,15,"",0,"","","","","",0
27,29,799,"",0,"",2,7,"",0,0,0,"",0,15,"",0,"","","","","",0
28,30,832,"",10,"",4,2,"",0,0,0,"",180,220,"",0,"","","","","",0
29,31,834,"",7,1,4,7,"",0,0,0,"",0,0,"",0,"","","","","",0
30,32,800,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
31,33,801,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
32,34,802,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
33,35,803,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
34,36,804,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
35,37,805,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
36,38,806,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
37,39,807,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
38,40,808,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
39,41,809,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
40,42,810,"",0,"",2,7,"",0,0,0,"",0,25,"",0,"","","","","",0
