"rownum","rid_0","string_16","[rid]_24","i32_40","i32_44","i32_48","i32_52","i32_56","bool_60","bool_61"
0,0,"昀漀爀攀愀爀洀",[],536870912,65,0,0,23040,"",1
1,0,"爀攀愀爀洀",[],536870912,65,0,0,23040,"",""
2,6,"昀漀爀攀愀爀洀",[],1879048192,-939524031,-1610612671,64,23040,"",1
3,1,"昀漀爀攀愀爀洀",[],536870912,-1610612671,-1610612671,64,0,"",1
4,4,"昀漀爀攀愀爀洀",[],1879048192,-1610612671,-1610612543,64,0,"",1
5,5,"昀漀爀攀愀爀洀",[],1879048192,-1610612671,-1610612543,64,0,"",1
6,3,"昀漀爀攀愀爀洀",[],1879048192,536870977,-1610612670,64,0,"",1
7,9,"昀漀爀攀愀爀洀",[],1879048192,-268435391,-1610612543,64,0,"",1
8,10,"昀漀爀攀愀爀洀",[],1879048192,-268435391,-1610612543,64,0,"",1
9,8,"昀漀爀攀愀爀洀",[],1879048192,1207959617,-1610612670,64,0,"",1
10,15,"昀漀爀攀愀爀洀",[],1879048192,65,-1610612736,64,0,"",1
11,16,"昀漀爀攀愀爀洀",[],1879048192,-939524031,-1610612543,64,0,"",1
12,17,"昀漀爀攀愀爀洀",[],1879048192,65,-1610612736,64,0,"",1
13,18,"昀漀爀攀愀爀洀",[],1879048192,65,-1610612736,-22976,255,"",1
14,20,"昀漀爀攀愀爀洀",[],1879048192,536870977,-1610612670,64,0,"",1
15,7,"爀攀愀爀洀",[],536870912,65,0,0,0,"",""
