"rownum","Id","[string]_8","string_24","[string]_32","ItemVisualIdentity","string_64"
0,"BasicArrow","[""Metadata/Items/Quivers/Arrow3.ao""]","Metadata/Items/Quivers/Arrow3.ao","[""Metadata/Items/Quivers/Arrow3.ao""]",8248,""
1,"BasicBolt","[""Metadata/Items/Weapons/TwoHandWeapons/Crossbows/Ammo/Bolt01.ao""]","Metadata/Items/Weapons/TwoHandWeapons/Crossbows/Ammo/Bolt01.ao","[""Metadata/Items/Weapons/TwoHandWeapons/Crossbows/Ammo/Bolt01.ao""]","",""
2,"BurstShot","[""Metadata/Effects/Spells/crossbow_basic/burst_shard.ao""]","Metadata/Effects/Spells/crossbow_basic/burst_shard.ao","[""Metadata/Effects/Spells/crossbow_basic/burst_shard.ao""]","",""
3,"BurstShotIncendiary","[""Metadata/Effects/Spells/crossbow_incendiary/burst_shard.ao""]","Metadata/Effects/Spells/crossbow_incendiary/burst_shard.ao","[""Metadata/Effects/Spells/crossbow_incendiary/burst_shard.ao""]","",""
4,"BurstShotArmourPiercing","[""Metadata/Effects/Spells/crossbow_armour_piercing/burst_shard.ao""]","Metadata/Effects/Spells/crossbow_armour_piercing/burst_shard.ao","[""Metadata/Effects/Spells/crossbow_armour_piercing/burst_shard.ao""]","",""
5,"BurstShotPermafrost","[""Metadata/Effects/Spells/crossbow_permafrost/burst_shard.ao""]","Metadata/Effects/Spells/crossbow_permafrost/burst_shard.ao","[""Metadata/Effects/Spells/crossbow_permafrost/burst_shard.ao""]","",""
6,"BurstShotStormblast","[""Metadata/Effects/Spells/crossbow_stormblast/burst_shard.ao""]","Metadata/Effects/Spells/crossbow_stormblast/burst_shard.ao","[""Metadata/Effects/Spells/crossbow_stormblast/burst_shard.ao""]","",""
7,"BurstShotStormblastDoryani","[""Metadata/Effects/Microtransactions/Spells/Mercenary/Doryani/ao/Galvanic_Shards/burst_shard.ao""]","Metadata/Effects/Microtransactions/Spells/Mercenary/Doryani/ao/Galvanic_Shards/burst_shard.ao","[""Metadata/Effects/Microtransactions/Spells/Mercenary/Doryani/ao/Galvanic_Shards/burst_shard.ao""]","",""
8,"BurstShotStormblastDarkshard","[""Metadata/Effects/Microtransactions/Spells/Mercenary/Sulphite/ao/Galvanic_Shards/burst_shard.ao""]","Metadata/Effects/Microtransactions/Spells/Mercenary/Sulphite/ao/Galvanic_Shards/burst_shard.ao","[""Metadata/Effects/Microtransactions/Spells/Mercenary/Sulphite/ao/Galvanic_Shards/burst_shard.ao""]","",""
9,"FourQuiver1Arrow","[""Metadata/Items/Quivers/QuiversFour/BroadheadQuiver/BroadheadQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/BroadheadQuiver/BroadheadQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/BroadheadQuiver/BroadheadQuiverArrowFlying.ao""]",14838,""
