"rownum","BaseItemType","TriggeredQuestFlag","QuestComplete","i32_48","[rid]_52","bool_68","bool_69","HelpText","Description","Script","rid_110","QuestFlag","i32_142","NPCs","QuestFlagUsed","BuffVisual"
0,1357,2285,"",225,[],"","",915,929,"upgrade_map_device","","",4833,[],"",""
1,1358,1871,"",351,[],"","",6322,6320,"upgrade_map_device","","",4833,[],"",""
2,1359,1870,"",352,[],"","",6321,6319,"upgrade_map_device","","",4833,[],"",""
3,1366,2302,"",979,[],"",1,916,"","","","",4833,[],"",""
4,1367,2303,"",980,[],"",1,916,"","","","",4833,[],"",""
5,1368,2304,"",981,[],"",1,916,"","","","",4833,[],"",""
6,1369,2305,"",982,[],"",1,916,"","","","",4833,[],"",""
7,1888,954,"",207,[],"",1,918,"","","","",4833,[],"",""
8,1890,955,"",212,[],"",1,6299,"","","","",4833,[],"",""
9,1892,956,"",323,[],"",1,919,"","","","",4833,[],"",""
10,1894,957,"",328,[],"",1,6300,"","","","",4833,[],"",""
11,425,2008,"",662,[],"","",914,928,"skill_book","","",4833,[],"",""
12,426,2009,"",663,[],"","",914,928,"skill_book","","",4833,[],"",""
13,427,2010,"",664,[],"","",914,928,"skill_book","","",4833,[],"",""
14,428,2011,"",665,[],"","",914,928,"skill_book","","",4833,[],"",""
15,429,2013,"",675,[],"","",914,928,"skill_book","","",4833,[],"",""
16,430,2014,"",676,[],"","",914,928,"skill_book","","",4833,[],"",""
17,431,2694,"",4004,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
18,432,2695,"",4005,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
19,433,2696,"",4006,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
20,434,2697,"",4007,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
21,435,2698,"",4008,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
22,436,4958,"",4042,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
23,437,4959,"",4043,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
24,438,4960,"",4044,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
25,439,4961,"",4045,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
26,440,4962,"",4046,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
27,441,4963,"",4047,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
28,442,4964,"",4048,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
29,443,4965,"",4049,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
30,444,4966,"",4050,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
31,445,4967,"",4051,[],"","",7913,7921,"atlas_skill_book","","",4833,[],"",""
32,446,96,"",4165,[],"","",7914,7922,"skill_book","","",4833,[],"",""
33,447,97,"",4166,[],"","",7914,7922,"skill_book","","",4833,[],"",""
34,448,98,"",4167,[],"","",7914,7922,"skill_book","","",4833,[],"",""
35,449,99,"",4168,[],"","",7914,7922,"skill_book","","",4833,[],"",""
36,450,100,"",4169,[],"","",7914,7922,"skill_book","","",4833,[],"",""
