"rownum","Type","Tier","BaseItemType"
0,0,1,1055
1,0,2,1056
2,0,3,1057
3,0,4,1058
4,1,1,1043
5,1,2,1044
6,1,3,1045
7,1,4,1046
8,2,1,1047
9,2,2,1048
10,2,3,1049
11,2,4,1050
12,3,1,1051
13,3,2,1052
14,3,3,1053
15,3,4,1054
16,4,1,1063
17,4,2,1064
18,4,3,1065
19,4,4,1066
20,5,1,1067
21,5,2,1068
22,5,3,1069
23,5,4,1070
24,6,1,1075
25,6,2,1076
26,6,3,1077
27,6,4,1078
28,7,1,1079
29,7,2,1080
30,7,3,1081
31,7,4,1082
32,8,1,1083
33,8,2,1084
34,8,3,1085
35,8,4,1086
36,9,1,1087
37,9,2,1088
38,9,3,1089
39,9,4,1090
40,10,1,1091
41,10,2,1092
42,10,3,1093
43,10,4,1094
44,11,1,1095
45,11,2,1096
46,11,3,1097
47,11,4,1098
48,12,1,1099
49,12,2,1100
50,12,3,1101
51,12,4,1102
52,13,1,1071
53,13,2,1072
54,13,3,1073
55,13,4,1074
56,14,1,1103
57,14,2,1104
58,14,3,1105
59,14,4,1106
60,15,1,1107
61,15,2,1108
62,15,3,1109
63,15,4,1110
