"rownum","HideoutArea","HASH16","HideoutFile","ClaimSideArea","HideoutImage","IsEnabled","bool_51","[i32]_52","bool_68","MtxType","ErrorMessage"
0,9,65044,"Metadata/Terrain/Missions/Hideouts/PillarsOfArun/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ToweringHideout","",1,[],"",7736,""
1,10,34352,"Metadata/Terrain/Missions/Hideouts/ArenaAtziri/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CorruptedHideout","",1,[],"",7737,""
2,11,45610,"Metadata/Terrain/Missions/Hideouts/ArenaInnocence/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InnocentHideout","",1,[],"",7738,""
3,12,41490,"Metadata/Terrain/Missions/Hideouts/ArenaShaper/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShaperHideout","",1,[],"",7739,""
4,13,26625,"Metadata/Terrain/Missions/Hideouts/ArenaKaom/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FuriousHideout","",1,[],"",7740,""
5,14,49908,"Metadata/Terrain/Missions/Hideouts/ArenaDaresso/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChampionsHideout","",1,[],"",7741,""
6,15,52081,"Metadata/Terrain/Missions/Hideouts/ArenaDominus/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IndomitableHideout","",1,[],"",7742,""
7,16,41981,"Metadata/Terrain/Missions/Hideouts/ArenaPiety/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MorbidHideout","",1,[],"",7743,""
8,17,37028,"Metadata/Terrain/Missions/Hideouts/ArenaSolarisLunaris/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EclipsedHideout","",1,"[0,1]","",7744,""
9,18,36378,"Metadata/Terrain/Missions/Hideouts/ArenaKitavaAct10/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RavenousHideout","",1,[],"",7745,""
10,19,54370,"Metadata/Terrain/Missions/Hideouts/Doomguard/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DoomguardHideout","",1,[],"",7746,""
11,20,37893,"Metadata/Terrain/Missions/Hideouts/Sunspire/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunspireHideout","",1,[],"",7747,""
12,21,1739,"Metadata/Terrain/Missions/Hideouts/Darkwood/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkwoodHideout","",1,[],"",7748,""
13,7,35022,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout","",1,[],"",7749,""
14,8,30781,"Metadata/Terrain/Missions/Hideouts/ArenaGraveyardTrio/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EntombedHideout","",1,[],"",7750,""
15,22,26046,"Metadata/Terrain/Missions/Hideouts/ArenaElder/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VoidHideout","",1,[],"",7751,""
16,23,63882,"Metadata/Terrain/Missions/Hideouts/Chiyou/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChiyouHideout","",1,[],1,7752,""
17,24,32865,"Metadata/Terrain/Missions/Hideouts/BlankAbyss/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankAbyss","",1,[],"",7753,""
18,25,26652,"Metadata/Terrain/Missions/Hideouts/BlankCity/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankCity","",1,[],"",7754,""
19,26,61767,"Metadata/Terrain/Missions/Hideouts/BlankClouds/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankClouds","",1,[],"",7755,""
20,27,29167,"Metadata/Terrain/Missions/Hideouts/BlankDesert/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDesert","",1,[],"",7756,""
21,28,34522,"Metadata/Terrain/Missions/Hideouts/BlankDirt/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDirt","",1,[],"",7757,""
22,29,5889,"Metadata/Terrain/Missions/Hideouts/BlankGrass/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankGrass","",1,[],"",7758,""
23,30,58314,"Metadata/Terrain/Missions/Hideouts/BlankSea/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSea","",1,[],"",7759,""
24,31,3594,"Metadata/Terrain/Missions/Hideouts/BlankSnow/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSnow","",1,[],"",7760,""
25,32,5469,"Metadata/Terrain/Missions/Hideouts/Thaumaturgy/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ThaumaturgicalHideout","",1,[],"",7761,""
26,33,53842,"Metadata/Terrain/Missions/Hideouts/Yaochi/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/YaochiHideout","",1,[],1,7762,""
27,34,65094,"Metadata/Terrain/Missions/Hideouts/HumanoidPet/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HumanoidPetHideout","",1,[],1,7763,""
28,35,22310,"Metadata/Terrain/Missions/Hideouts/RitualLeague/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RitualHideout","",1,[],1,7764,""
29,36,12991,"Metadata/Terrain/Missions/Hideouts/ArenaMaven/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrucibleHideout","",1,[],"",7765,""
30,37,28095,"Metadata/Terrain/Missions/Hideouts/Hasina/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TavernHideout","",1,[],"",7766,""
31,38,24939,"Metadata/Terrain/Missions/Hideouts/AzuriteCave/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AzuriteCavernHideout","",1,[],"",7767,""
32,39,6681,"Metadata/Terrain/Missions/Hideouts/SynthesisHub/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SynthesisHideout","",1,[],"",7768,""
33,40,51550,"Metadata/Terrain/Missions/Hideouts/ArenaVeritania/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RedeemersHideout","",1,[],"",7769,""
34,42,15139,"Metadata/Terrain/Missions/Hideouts/TencentApocalypse/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CataclysmicHideout","",1,[],1,"",""
35,41,14166,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout","",1,[],"","",""
36,43,20743,"Metadata/Terrain/Missions/Hideouts/ArenaOlroth/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AncestralHideout","",1,[],"",7770,""
37,44,64865,"Metadata/Terrain/Missions/Hideouts/Light/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LightThemedHideout","",1,"[12,13]","",7771,""
38,45,11848,"Metadata/Terrain/Missions/Hideouts/Dark/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkThemedHideout","",1,"[10,11]","",7772,""
39,46,2056,"Metadata/Terrain/Missions/Hideouts/ArenaBlackStar/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlackStarHideout","",1,[14],"",7773,""
40,47,51467,"Metadata/Terrain/Missions/Hideouts/ArenaInfiniteHunger/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InfiniteHungerHideout","",1,[],"",7774,""
41,48,8758,"Metadata/Terrain/Missions/Hideouts/AtlasHideout/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AtlasHideout","",1,"[15,16]","",7775,""
