"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","rid_16"
0,"Flask","[Flask]","[Flask|Flacon]","[Flask|Fläschchen]","[Flask|フラスコ]","[Flask|플라스크]","[Flask|Frasco]","[Flask|Флакон]","[Flask|Frasco]","[Flask|ขวดยา]","[Flask|藥劑]",""
1,"One Hand Mace","[Mace|One Hand Mace]","[Mace|Masse à une main]","[Mace|Einhandstreitkolben]","[Mace|片手メイス]","[Mace|한손 철퇴]","[Mace|Maça de Uma Mão]","[Mace|Одноручная булава]","[Mace|Maza a una mano]","[Mace|กระบองมือเดียว]","[Mace|單手錘]",""
2,"One Hand Sword","[Sword|One Hand Sword]","[Sword|Épée à une main]","[Sword|Einhandschwert]","[Sword|片手剣]","[Sword|한손 검]","[Sword|Espada de Uma Mão]","[Sword|Одноручный меч]","[Sword|Espada a una mano]","[Sword|ดาบมือเดียว]","[Sword|單手劍]",""
3,"Dagger","[Dagger]","[Dagger|Dague]","[Dagger|Dolch]","[Dagger|短剣]","[Dagger|단검]","[Dagger|Adaga]","[Dagger|Кинжал]","[Dagger|Daga]","[Dagger|มีด]","[Dagger|匕首]",""
4,"Staff","[Staff]","[Staff|Bâton]","[Staff|Stab]","[Staff|スタッフ]","[Staff|지팡이]","[Staff|Cajado]","[Staff|Посох]","[Staff|Báculo]","[Staff|ไม้พลอง]","[Staff|長杖]",""
5,"Warstaff","[Quarterstaff]","[Quarterstaff|Bâton de combat]","[Quarterstaff|Kampfstab]","[Quarterstaff|クォータースタッフ]","[Quarterstaff|육척봉]","[Quarterstaff|Bastão]","[Quarterstaff|Боевой посох]","[Quarterstaff|Bastón]","[Quarterstaff|ไม้พลองวรยุทธ์]","[Quarterstaff|細杖]",""
6,"Currency","Currency","Objet monétaire","Währung","カレンシー","화폐","Item Monetário","Валюта","Objeto monetario","เงินตรา","通貨",""
7,"Amulet","Amulet","Amulette","Amulett","アミュレット","목걸이","Amuleto","Амулет","Amuleto","สร้อย","項鍊",""
8,"Ring","Ring","Bague","Ring","指輪","반지","Anel","Кольцо","Anillo","แหวน","戒指",""
9,"Claw","[Claw]","[Claw|Griffe]","[Claw|Klaue]","[Claw|鉤爪]","[Claw|클로]","[Claw|Garra]","[Claw|Коготь]","[Claw|Garra]","[Claw|กรงเล็บ]","[Claw|爪]",""
10,"Wand","[Wand]","[Wand|Baguette]","[Wand|Zauberstab]","[Wand|ワンド]","[Wand|마법봉]","[Wand|Varinha]","[Wand|Жезл]","[Wand|Varita]","[Wand|ไม้กายสิทธิ์]","[Wand|法杖]",""
11,"One Hand Axe","[Axe|One Hand Axe]","[Axe|Hache à une main]","[Axe|Einhandaxt]","[Axe|片手斧]","[Axe|한손 도끼]","[Axe|Machado de Uma Mão]","[Axe|Одноручный топор]","[Axe|Hacha a una mano]","[Axe|ขวานมือเดียว]","[Axe|單手斧]",""
