"rownum","Id","BaseItemType","i32_24","i32_28","Icon_DDSFile","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","bool_56","i32_57","GlowIcon_DDSFile","SoundEffect","CanTakeCurrency"
0,"Double Corrupt",54,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchDoubleCorrupt.dds","Corruption Instiller","Instillateur de Corruption","Verderbungsverstärker","コラプト注入装置","타락 주입기","Instilador de Corrupção","Вливатель порчи","Instilador de corrupción","เครื่องหยอดมลทิน","腐化灌注器","Modifies a [Corrupted] [Equipment] or [Jewel] item unpredictably or destroys it","Modifie un objet d'[Equipment|Équipement] ou un [Jewel|Joyau] [Corrupted|Corrompu] de manière imprévisible, ou le détruit","Modifiziert einen [Corrupted|verderbten] [Equipment|Ausrüstungs-] oder [Jewel|Juwel]gegenstand auf unvorhergesehene Weise oder zerstört diesen.","[Corrupted|コラプト状態]の[Equipment|装備品]または[Jewel|ジュエル]アイテムを予測不可能に変化させるか、または破壊する。","[Corrupted|타락한] [Equipment|장비] 또는 [Jewel|주얼] 아이템을 예측 불가능하게 변경하거나 파괴합니다.","Modifica um item de [Equipment|equipamento] ou [Jewel|joia] [Corrupted|corrompido] de forma imprevisível ou o destrói","Изменяет [Corrupted|осквернённый] предмет [Equipment|снаряжения] или [Jewel|самоцвет] непредсказуемым образом либо уничтожает его","Modifica un objeto de [Equipment|equipamiento] o una [Jewel|joya] [Corrupted|corruptos] de forma impredecible o los destruye","เปลี่ยนแปลง [Equipment|ไอเทมสวมใส่]หรือ[Jewel|จิวเวล]ที่[Corrupted|มีมลทิน] อย่างไม่อาจคาดเดาได้ หรือทำลายมัน","不可預測的改造一件[Corrupted|已汙染]的[Equipment|裝備]或 [Jewel|飾品]，或摧毀它",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1219,1
1,"Double Corrupt Gem",55,1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchDoubleCorruptGem.dds","Gem Corrupter","Corrupteur de Gemme","Gemmenverderber","ジェムコラプト装置","젬 타락기","Corruptor de Gema","Осквернитель камней","Corruptor de gemas","เครื่องใส่มลทินมณี","寶石腐化器","Modifies a [Corrupted] Skill Gem unpredictably or destroys it","Modifie une Gemme d'aptitude [Corrupted|Corrompue] de manière imprévisible, ou la détruit","Modifiziert eine [Corrupted|verderbte] Fertigkeitengemme auf unvorhergesehene Weise oder zerstört diese.","[Corrupted|コラプト状態]のスキルジェムを予測不可能に変化させるか、または破壊する。","[Corrupted|타락한] 스킬 젬을 예측 불가능하게 변경하거나 파괴합니다.","Modifica uma gema de habilidade [Corrupted|corrompida] de forma imprevisível ou a destrói","Изменяет [Corrupted|осквернённый] камень умения непредсказуемым образом либо уничтожает его","Modifica una gema de habilidad [Corrupted|corrupta] de forma impredecible o la destruye","เปลี่ยนแปลง หินสกิลที่[Corrupted|มีมลทิน] อย่างไม่อาจคาดเดาได้ หรือทำลายมัน","不可預測的改造一顆[Corrupted|已汙染]的技能寶石，或摧毀它",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow1x1.dds",1219,1
2,"Modify Soul Core",56,1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchModifySoulcore.dds","Soul Core Infuser","Infuseur de Noyau d'âme","Seelenkernverstärker","ソウルコアインフューザー","영혼 핵 고취기","Infusor de Núcleo d'Alma","Обогатитель Ядер душ","Infusor de núcleos de alma","เครื่องถ่ายพลังแกนวิญญาณ","靈魂核心注入器","Modifies a [SoulCore|Soul Core] unpredictably, with a chance to destroy it","Modifie un [SoulCore|Noyau d'âme] de manière imprévisible, avec une chance de la détruire","Modifiziert einen [SoulCore|Seelenkern] auf unvorhergesehene Weise, mit einer Chance diesen zu zerstören.","[SoulCore|ソウルコア]のスタックを予測不可能に変化させるか、一定確率で破壊する。","[SoulCore|영혼 핵]을 예측 불가능하게 변경합니다. 일정 확률로 영혼 핵이 파괴됩니다.","Modifica um [SoulCore|Núcleo d'Alma] de forma imprevisível, podendo destruí-lo","Изменяет [SoulCore|Ядро душ] непредсказуемым образом, с шансом уничтожить его","Modifica un [SoulCore|núcleo de alma] de forma impredecible, con una probabilidad de que se destruya","เปลี่ยนแปลง [SoulCore|แกนวิญญาณ] อย่างไม่อาจคาดเดาได้ โดยมีโอกาสทำลายมัน","不可預測的改造一組[SoulCore|靈魂核心]，且有機率摧毀它",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow1x1.dds",1220,1
3,"Corrupt Tablet",57,1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchCorruptTablet.dds","Corrupted Precursor Machine","Machine corrompue des Prédécesseurs","Verderbte Wegbereitermaschine","先人の石板コラプト装置","타락한 선도자 장치","Máquina Precursora Corrompida","Осквернённая машина Предтеч","Máquina precursora corrupta","เครื่องจักรกลุ่มชนก่อนกาลอาบมลทิน","腐化先行者機台","Modifies a [Tablet|Tablet] unpredictably","Modifie une [PrecursorTablet|Tablette des Prédécesseurs] de manière imprévisible","Modifiziert eine [PrecursorTablet|Wegbereitertafel] auf unvorhergesehene Weise.","[PrecursorTablet|先人の石板]を予測不可能に変化させる","[PrecursorTablet|선도자 서판]을 예측 불가능하게 변경합니다.","Modifica uma [Tablet|tábua] de forma imprevisível","Изменяет [PrecursorTablet|плитку Предтеч] непредсказуемым образом","Modifica una [PrecursorTablet|tablilla precursora] de forma impredecible","เปลี่ยนแปลง [PrecursorTablet|แผ่นหินก่อนกาล] อย่างไม่อาจคาดเดาได้","不可預測的改造一枚[PrecursorTablet|先行者碑牌]",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow1x1.dds",1220,1
4,"Mutate Unique",58,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchMutateUnique.dds","Morphology Mechanism","Mécanisme de morphologie","Morphologiemechanismus","ユニーク形態変更装置","형태학 기계 장치","Mecanismo de Morfologia","Структурный механизм","Mecanismo de morfología","กลไกสัณฐาน","形態學機關","Replaces up to 2 modifiers on a [Corrupted] [UniqueCulture|Vaal Unique]\nReplaces other [ItemRarity|Uniques] with a Corrupted Unique of the same Item Class","Remplace jusqu'à 2 modificateurs sur un objet [UniqueCulture|Unique vaal] [Corrupted|Corrompu]\nRemplace les autres objets [ItemRarity|Uniques] par un objet Unique Corrompu de la même Classe d'objet","Ersetzt bis zu 2 Modifikatoren auf einem [Corrupted|verderbten] [UniqueCulture|einzigartigen Vaal-Gegenstand].\nAndere [ItemRarity|einzigartige Gegenstände] werden durch einen verderbten einzigartigen Gegenstand derselben Gegenstandsklasse ersetzt.","[Corrupted|コラプト状態]の[UniqueCulture|ヴァールユニーク]を変化させ、最大2個のヴァールユニークモッドを置き換える。\nその他の[ItemRarity|ユニーク]アイテムは代わりに同じアイテムクラスのランダムなユニークに変化され、コラプト状態になる。","[Corrupted|타락한] [UniqueCulture|바알 고유] 아이템의 속성을 최대 2개까지 교체합니다.\n다른 [ItemRarity|고유] 아이템은 아이템 종류가 같은 타락한 고유 아이템으로 교체합니다.","Substitui até 2 modificadores de um [UniqueCulture|item único vaal] [Corrupted|corrompido]\nSubstitui outros itens [ItemRarity|únicos] por um item único corrompido da mesma classe de item","Заменяет до 2 свойств [Corrupted|осквернённого] [UniqueCulture|уникального предмета ваал]\nЗаменяет другие [ItemRarity|уникальные] предметы на осквернённый уникальный предмет такого же класса","Reemplaza hasta 2 modificadores de un objeto [UniqueCulture|único vaal] [Corrupted|corrupto]\nReemplaza otros [ItemRarity|únicos] por un único corrupto de la misma clase de objeto","เปลี่ยนม็อดสูงสุด 2 อย่างของ [UniqueCulture|ไอเทมยูนิควาล์]ที่[Corrupted|มีมลทิน] ให้เป็น ม็อด[UniqueCulture|ไอเทมยูนิควาล์]\nแต่จะเปลี่ยน ไอเทม[ItemRarity|ยูนิค]อื่นๆ ให้เป็นไอเทมยูนิคชนิดเดียวกันที่มีมลทิน","不可預測的改造一件[Corrupted|已汙染]的[UniqueCulture|瓦爾傳奇]，以一或多條瓦爾傳奇詞綴取代原先的詞綴\n其他 [ItemRarity|傳奇]物品則會被轉換為一件同物品種類的隨機已汙染傳奇物品 ",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1221,1
5,"Weapon or Armour Quality Low",63,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchQualityWeapon1.dds","Forging Workbench","Établi de forgeage","Schmiedende Werkbank","鍛冶の作業台","제련 작업대","Bancada de Forja","Верстак для ковки","Mesa de trabajo de forja","โต๊ะทำงานหลอม","鍛造工作台","Greatly improves the [Quality|quality] of a [MartialWeapon|Martial Weapon], [CasterWeapon|Caster Weapon] or [EquipArmour|Armour]","Améliore grandement la [Quality|Qualité] d'une [MartialWeapon|Arme martiale], d'une [CasterWeapon|Arme de Lanceur de sorts] ou d'une [EquipArmour|Pièce d'armure]","Verbessert die [Quality|Qualität] einer [MartialWeapon|Kampfwaffe], [CasterWeapon|Zaubererwaffe] oder [EquipArmour|Rüstung] erheblich.","[MartialWeapon|マーシャル武器]、[CasterWeapon|キャスター武器]または[EquipArmour|防具]の[Quality|品質]を大幅に向上させる。","[MartialWeapon|무도 무기], [CasterWeapon|시전자 무기] 또는 [EquipArmour|방어구]의 [Quality|퀄리티]를 크게 향상시킵니다.","Aprimora significativamente a [Quality|qualidade] de uma [MartialWeapon|arma marcial], [CasterWeapon|arma de conjurador] ou [EquipArmour|armadura]","Значительно повышает [Quality|качество] [MartialWeapon|боевого оружия], [CasterWeapon|чародейского оружия] или [EquipArmour|доспехов]","Mejora enormemente la [Quality|calidad] de un [MartialWeapon|arma marcial], un [CasterWeapon|arma de lanzador de hechizos] o una [EquipArmour|armadura]","เพิ่ม[Quality|ค่าคุณภาพ]ของ [MartialWeapon|อาวุธจู่โจม], [CasterWeapon|อาวุธนักเวท] หรือ [EquipArmour|เกราะ] เป็นอย่างมาก","大幅提升一件 [MartialWeapon|軍用武器]、[CasterWeapon|法術武器] 或 [Armour|護甲] 的 [Quality|品質]",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,1
6,"Weapon or Armour Quality Mid",36,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchQualityWeapon2.dds","Forging Mechanism","Mécanisme de forgeage","Schmiedender Mechanismus","鍛冶の装置","제련 기계 장치","Mecanismo de Forja","Механизм ковки","Mecanismo de forja","กลไกหลอม","鍛造機關","Adds an [Augment] Socket to a [MartialWeapon|Martial Weapon], wand, staff or Armour","Ajoute une Châsse d[Augment|Augmentation] à une [MartialWeapon|Arme martiale], une Baguette, un Bâton ou à une Pièce d'armure","Fügt eine [Augment|Augmentations]einfassung zu einer [MartialWeapon|Kampfwaffe], Zauberstab, Stab oder Rüstung hinzu.","[MartialWeapon|マーシャル武器]、ワンド、スタッフまたは防具に[Augment|オーグメント]ソケットを1個追加する。","[MartialWeapon|무도 무기], 마법봉, 지팡이 또는 방어구에 [Augment|증강물] 홈을 추가합니다.","Adiciona um encaixe de [Augment|aprimoramento] a uma armadura, [MartialWeapon|arma marcial], cajado ou varinha.","Добавляет гнездо для [Augment|усилителей] на [MartialWeapon|боевое оружие], жезл, посох или доспехи","Agrega un engarce para [Augment|mejora] a un [MartialWeapon|arma marcial], una varita, un báculo o una armadura","เพิ่มรู[Augment|วัตถุฝัง] 1 รู ให้กับ [MartialWeapon|อาวุธจู่โจม], ไม้กายสิทธ์, ไม้พลอง หรือ เกราะ","為一件 [MartialWeapon|軍用武器]、法杖、長杖或護甲增加一個 [Augment|增幅] 插槽",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,1
7,"ArmourQualityHigh",65,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchQualityWeapon3.dds","Masterwork Forge","Forge magistrale","Meisterwerksschmiede","傑作鍛冶装置","걸작 제련소","Forja Obra-prima","Кузница мастера","Forja de obras maestras","เตาหลอมชิ้นเอก","傑作熔爐","Improves the [Quality|quality] of an [Armour],\nexceeding maximum quality by up to 10% with a chance of [Corrupted|Corrupting] it","Améliore la [Quality|Qualité] d'une [Armour|Pièce d'armure]\njusqu'à 10% au-delà de sa qualité maximale, avec une chance de la [Corrupted|Corrompre]","Verbessert die [Quality|Qualität] einer [Armour|Rüstung],\nauf bis zu 10% über der maximalen Qualität mit einer Chance, den Gegenstand zu [Corrupted|verderben].","[EquipArmour|防具]の[Quality|品質]を向上させる\n品質の最大値を最大で10%超過させることができるが、一定確率でアイテムを[Corrupted|コラプト化]する。","[EquipArmour|방어구]의 [Quality|퀄리티]를 향상시킵니다. 최대 퀄리티를 최대 10% 초과하고\n일정 확률로 아이템이 [Corrupted|타락]합니다.","Aprimora a [Quality|qualidade] de uma [Armour|armadura],\nexcedendo a qualidade máxima em até 10%, podendo [Corrupted|corromper] o item","Повышает [Quality|качество] [Armour|доспехов],\nпревышая максимум качества вплоть до 10% с шансом [Corrupted|осквернить] предмет","Mejora la [Quality|calidad] de una [Armour|armadura]\ny puede superar la calidad máxima hasta en un 10% con una probabilidad de [Corrupted|corromperla]","เพิ่ม[Quality|ค่าคุณภาพ]ของ [Armour|เกราะ]\nให้มีค่าคุณภาพสูงกว่าค่าสูงสุดได้สูงสุด 10% โดยมีโอกาส[Corrupted|ใส่มลทิน]ให้กับมัน","將[Armour|護甲]的[Quality|品質]提升至超過上限 10%，\n但有機率將其[Corrupted|汙染]",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,1
8,"WeaponQualityHigh",66,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchQualityWeapon3.dds","Masterwork Forge","Forge magistrale","Meisterwerksschmiede","傑作鍛冶装置","걸작 제련소","Forja Obra-prima","Кузница мастера","Forja de obras maestras","เตาหลอมชิ้นเอก","傑作熔爐","Improves the [Quality|quality] of a [MartialWeapon|Martial Weapon],\nexceeding maximum quality by up to 10% with a chance of [Corrupted|Corrupting] it","Improves the [Quality|quality] of a [MartialWeapon|Martial Weapon],\nexceeding maximum quality by up to 10% with a chance of [Corrupted|Corrupting] it","Verbessert die [Quality|Qualität] einer [MartialWeapon|Kampfwaffe],\nauf bis zu 10% über der maximalen Qualität mit einer Chance, den Gegenstand zu [Corrupted|verderben].","[MartialWeapon|マーシャル武器]の[Quality|品質]を向上させる\n品質の最大値を最大で10%超過させることができるが、一定確率でアイテムを[Corrupted|コラプト化]する。","[MartialWeapon|무도 무기]의 [Quality|퀄리티]를 향상시킵니다. 최대 퀄리티를 최대 10% 초과하고\n일정 확률로 아이템이 [Corrupted|타락]합니다.","Aprimora a [Quality|qualidade] de uma [MartialWeapon|arma marcial],\nexcedendo a qualidade máxima em até 10%, podendo [Corrupted|corromper] o item","Improves the [Quality|quality] of a [MartialWeapon|Martial Weapon],\nexceeding maximum quality by up to 10% with a chance of [Corrupted|Corrupting] it","Mejora la [Quality|calidad] de un [MartialWeapon|arma marcial]\ny puede superar la calidad máxima hasta en un 10% con una probabilidad de [Corrupted|corromperla]","เพิ่ม[Quality|ค่าคุณภาพ]ของ [MartialWeapon|อาวุธจู่โจม]\nให้มีค่าคุณภาพสูงกว่าค่าสูงสุดได้สูงสุด 10% โดยมีโอกาส[Corrupted|ใส่มลทิน]ให้กับมัน","將一件 [MartialWeapon|軍用武器] 的 [Quality|品質] 提升至超過上限 10%，但有機率將其 [Corrupted|汙染]",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,1
9,"CasterQualityHigh",67,2,4,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchQualityWeapon3.dds","Masterwork Forge","Forge magistrale","Meisterwerksschmiede","傑作鍛冶装置","걸작 제련소","Forja Obra-prima","Кузница мастера","Forja de obras maestras","เตาหลอมชิ้นเอก","傑作熔爐","Improves the [Quality|quality] of a wand, staff or sceptre,\nexceeding maximum quality by up to 10% with a chance of [Corrupted|Corrupting] it","Improves the [Quality|quality] of a wand, staff or sceptre,\nexceeding maximum quality by up to 10% with a chance of [Corrupted|Corrupting] it","Verbessert die [Quality|Qualität] eines Zauberstabs, Stabs oder Zepters,\nauf bis zu 10% über der maximalen Qualität mit einer Chance, den Gegenstand zu [Corrupted|verderben].","ワンド、スタッフまたはセプターの[Quality|品質]を向上させる\n品質の最大値を最大で10%超過させることができるが、一定確率でアイテムを[Corrupted|コラプト化]する。","마법봉, 지팡이 또는 셉터의 [Quality|퀄리티]를 향상시킵니다. 최대 퀄리티를 최대 10% 초과하고\n일정 확률로 아이템이 [Corrupted|타락]합니다.","Aprimora a [Quality|qualidade] de um cajado, cetro ou varinha,\nexcedendo a qualidade máxima em até 10%, podendo [Corrupted|corromper] o item","Improves the [Quality|quality] of a wand, staff or sceptre,\nexceeding maximum quality by up to 10% with a chance of [Corrupted|Corrupting] it","Mejora la [Quality|calidad] de una varita, un báculo o un cetro\ny puede superar la calidad máxima hasta en un 10% con una probabilidad de [Corrupted|corromper] el objeto","เพิ่ม[Quality|ค่าคุณภาพ]ของ ไม้กายสิทธิ์, ไม้พลอง, คทา\nให้มีค่าคุณภาพสูงกว่าค่าสูงสุดได้สูงสุด 10% โดยมีโอกาส[Corrupted|ใส่มลทิน]ให้กับมัน","將一件法杖、長杖或權杖的 [Quality|品質] 提升至超過上限 10%，但有機率將其 [Corrupted|汙染]",1,1,"Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/Benches/IncursionBenchGlow2x4.dds",1222,1
