"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","Armour","Difficulty","MinionDamage","AltLife1","AltDamage1","AltDamage2","AltLife2","EvasiveEvasion","AilmentThreshold","StunThreshold","i32_72","i32_76","i32_80","i32_84"
0,"1",9.16,24,32,15,17,51,3,1,3.11,48,0,0,0,6000,0,0,0,0,0,-30
1,"2",10.26,30,35,20,18,83,6,1,4.42,60,0,0,1,6000,1,0,0,0,0,0
2,"3",11.39,36,39,24,20,116,8,1,5.82,73,0,0,1,6000,2,0,0,0,0,0
3,"4",12.57,43,43,28,24,150,10,1,7.31,86,0,0,2,6000,3,0,0,0,0,0
4,"5",13.78,49,48,33,31,186,13,1,8.92,99,0,0,2,6000,4,0,0,0,0,0
5,"6",15.03,56,52,38,43,223,16,1,10.63,112,0,0,3,6000,5,0,0,0,3,0
6,"7",16.32,63,57,45,57,261,19,1,12.46,126,0,0,3,6000,6,0,0,-3,6,0
7,"8",17.65,70,62,50,75,300,22,1,14.42,140,0,0,3,6000,7,0,0,-6,12,0
8,"9",19.02,77,67,58,96,341,26,1,16.51,154,0,0,4,6000,8,0,0,-8,18,0
9,"10",20.44,84,72,67,120,382,30,1,18.73,168,0,0,4,6000,9,0,0,-11,24,0
10,"11",21.9,91,78,78,150,426,34,1,21.1,182,0,0,5,6000,10,0,0,-13,30,0
11,"12",23.41,98,84,89,181,471,39,1,23.62,196,0,0,5,6000,11,0,0,-15,36,0
12,"13",24.97,105,90,103,219,517,43,1,26.31,211,0,0,6,6000,12,0,0,-17,42,0
13,"14",26.57,113,96,118,261,565,49,1,29.16,226,0,0,6,6000,13,0,0,-19,48,0
14,"15",28.23,120,103,134,308,614,54,1,32.19,241,0,0,7,6000,14,0,0,-21,50,0
15,"16",29.93,128,110,158,358,665,60,1,35.42,256,0,0,7,6000,15,0,0,-23,50,0
16,"17",31.69,136,117,178,416,718,67,1,38.83,272,0,0,7,6000,16,0,0,-25,50,0
17,"18",33.5,144,124,200,482,772,73,1,42.46,288,0,0,8,6000,17,0,0,-26,50,0
18,"19",35.37,152,132,224,549,828,81,1,46.31,304,0,0,8,6000,17,0,0,-28,50,0
19,"20",37.29,160,140,249,623,886,89,1,50.39,320,0,0,9,6000,17,0,0,-30,50,0
20,"21",39.27,168,149,276,704,945,97,1,54.71,336,0,0,9,6000,17,0,0,-31,50,0
21,"22",41.31,176,158,305,796,1007,106,1,59.29,353,0,0,10,6000,17,0,0,-32,50,0
22,"23",43.41,185,167,335,881,1070,116,1,64.14,370,0,0,10,6000,17,0,0,-33,50,0
23,"24",45.57,193,176,366,968,1135,126,1,69.27,387,0,0,11,6000,17,0,0,-33,50,0
24,"25",47.8,202,186,400,1058,1203,137,1,74.69,405,0,0,11,6000,17,0,0,-33,50,0
25,"26",50.09,211,196,434,1153,1272,149,1,80.43,422,0,0,12,6000,17,0,0,-33,50,0
26,"27",52.45,220,207,472,1252,1344,161,1,86.5,440,0,0,12,6000,17,0,0,-33,50,0
27,"28",54.88,229,218,510,1407,1417,174,1,92.91,458,0,0,12,6000,17,0,0,-33,50,0
28,"29",57.37,238,230,551,1573,1493,189,1,99.69,476,0,0,13,6000,17,0,0,-33,50,0
29,"30",59.94,247,242,593,1750,1571,204,1,106.84,495,0,0,13,6000,17,0,0,-33,50,0
30,"31",62.59,257,254,637,1941,1652,220,1,114.4,514,0,0,14,6099,17,0,248,-33,50,0
31,"32",65.31,266,267,683,2142,1734,237,1,122.37,533,0,0,14,6255,17,0,638,-33,50,0
32,"33",68.1,276,281,731,2361,1820,255,1,130.79,552,0,0,15,6395,17,0,987,-33,50,0
33,"34",70.98,286,295,790,2587,1907,274,1,139.67,572,0,0,15,6566,17,0,1416,-33,50,0
34,"35",73.94,296,309,853,2831,1998,295,1,149.04,592,0,0,16,6734,17,0,1835,-33,50,0
