"rownum","Id","PETFile","i32_16","[rid]_20"
0,"freeze_particle_effect","Metadata/Effects/Spells/debuff_fx/FX/freezeShatter_ICECHUNKS.pet",4,[]
1,"armour_broken_shatter_particle_effect","Metadata/Effects/misc/Uniques/weapons/one_handed/maces/Sculpted_Suffering/pet/shatter_along.pet",4,[]
2,"plague_bearer_gain_charge","Metadata/Effects/Spells/poison_plague_bearer/pet/gain_charge.pet",4,[]
3,"ParriedHit","Metadata/Effects/Spells/debuff_fx/FX/debuff_offBalance_hit.pet",4,[]
4,"ParriedHit_Calgyra","Metadata/Effects/misc/Uniques/shields/buckler/Calgyras_Arc/pet/parry_impact.pet",4,[]
5,"ParriedHit_Nocturne","Metadata/Effects/misc/Uniques/shields/buckler/Nocturne/pet/debuff_offBalance_hit.pet",4,[]
6,"EssenceDrainApplicationWisp","Metadata/Effects/Spells/chaos_essencedrain/FX/essenceWisp.pet",4,[]
7,"EssenceDrainApplicationWispDelirium","Metadata/Effects/Microtransactions/Spells/chaos_essencedrain/delirium/fx/essenceWisp.pet",4,[]
8,"freeze_particle_effect_delirium","Metadata/Effects/Microtransactions/Spells/Ranger/Delirium/ice_tipped/fx/delirium_freezeShatter.pet",4,[]
9,"freeze_particle_effect_jade","Metadata/Effects/Microtransactions/Spells/spear_frost_whirl/Ancestral/pet/freezeShatter_ICECHUNKS.pet",4,[]
10,"freeze_particle_effect_voodoo","Metadata/Effects/Microtransactions/Spells/Huntress/BodachMoth/Hits_and_Aliments/fx/freezeShatter_ICECHUNKS.pet",4,[]
11,"freeze_particle_effect_obsidian","Metadata/Effects/Microtransactions/Spells/Sorceress/Obsidian/elemental_snap/pet/freezeshatter_icechunks.pet",4,[]
