"rownum","Id","Rarity","ItemClass","i32_40","rid_44","i32_60","Words"
0,"DefaultBuy","","",8,"",0,""
1,"DefaultSell","","",8,"",1,""
2,"ShopOpen","","",8,"",2,""
3,"ShopClose","","",8,"",3,""
4,"ShopCloseNoPurchase","","",8,"",4,""
5,"BuyRareWeapon",2,"",0,"",0,""
6,"SellHeadhunter","","",8,"",1,303
7,"WeaponBuy","","",0,"",0,""
8,"ArmourBuy","","",5,"",0,""
9,"BuyNormalGeneric",0,"",8,"",0,""
10,"BuyMagicGeneric",1,"",8,"",0,""
11,"BuyRareGeneric",2,"",8,"",0,""
12,"BuyUniqueGeneric",3,"",8,"",0,""
13,"BuyMeleeWeapon","","",2,"",0,""
14,"BuyFlaskLife","",0,4,"",0,""
15,"BuyFlaskMana","",1,8,"",0,""
16,"BuyCharm","",33,8,"",0,""
17,"ExpeditionTakeDagger","",7,8,"",5,""
18,"ExpeditionTakeCrossbow","",79,8,"",5,""
19,"ExpeditionTakeBow","",13,8,"",5,""
20,"ExpeditionTakeQuarterstaff","",57,8,"",5,""
21,"ExpeditionTakeStaff","",14,8,"",5,""
22,"ExpeditionTakeWand","",8,8,"",5,""
23,"ExpeditionTakeMaceOneHanded","",12,8,"",5,""
24,"ExpeditionTakeMaceTwoHanded","",17,8,"",5,""
25,"ExpeditionTakeSceptre","",32,8,"",5,""
26,"ExpeditionTakeSwordOneHanded","",9,8,"",5,""
27,"ExpeditionTakeSwordTwoHanded","",15,8,"",5,""
28,"ExpeditionTakeAxeOneHanded","",11,8,"",5,""
29,"ExpeditionTakeAxeTwoHanded","",16,8,"",5,""
30,"BuybackGeneric","","",8,"",7,""
31,"BuyWand","",8,8,"",0,""
32,"BuyStaff","",14,8,"",0,""
33,"BuyBelt","",21,8,"",0,""
34,"BuyRing","",5,8,"",0,""
35,"BuyAmulet","",4,8,"",0,""
36,"BuyWaystone","",35,8,"",0,""
37,"SellWaystone","",35,8,"",1,""
38,"AsyncListForSale","","",8,"",8,""
39,"AsyncAdjustPriceLower","","",8,"",11,""
40,"AsyncAdjustPriceHigher","","",8,"",12,""
41,"AsyncSellItemInZone","","",8,"",10,""
42,"AsyncOpenAwayShop","","",8,"",2,""
43,"AsyncSellItemOutOfZone","","",8,"",15,""
44,"AsyncBuyItem","","",8,"",9,""
45,"CEPlaceOrder","","",8,"",13,""
46,"CERecieveOrder","","",8,"",14,""
