"rownum","rid_0","rid_16","rid_32","rid_48"
0,31,6833,816,8399
1,31,15834,1891,8399
2,30,15509,1842,8400
3,30,6833,817,8400
4,30,11280,1351,8400
5,30,15834,1893,8400
6,32,15419,1839,8401
7,32,6833,815,8401
8,32,3121,490,8401
9,32,15834,1892,8401
10,32,16277,1927,8401
11,31,16279,1926,8399
12,30,16278,1928,8400
13,31,17317,1979,8399
14,32,17318,1980,8401
15,30,17319,1981,8400
16,30,17320,1982,8400
17,32,19886,2233,""
18,30,19887,2234,""
19,31,19888,2235,""
20,32,20090,2257,""
21,30,20089,2256,""
22,31,20088,2255,""
