"rownum","Id","BlightCraftingResult","BlightCraftingItems"
0,"0",0,"[0,0,0]"
1,"1",1,"[0,0,1]"
2,"2",2,"[0,1,0]"
3,"3",3,"[1,0,0]"
4,"4",4,"[0,1,1]"
5,"5",5,"[1,0,1]"
6,"6",6,"[1,1,0]"
7,"7",7,"[1,1,1]"
8,"8",8,"[0,0,2]"
9,"9",9,"[0,2,0]"
10,"10",10,"[2,0,0]"
11,"11",11,"[0,1,2]"
12,"12",12,"[0,2,1]"
13,"13",13,"[1,0,2]"
14,"14",14,"[1,2,0]"
15,"15",15,"[2,0,1]"
16,"16",16,"[2,1,0]"
17,"17",17,"[1,1,2]"
18,"18",18,"[1,2,1]"
19,"19",19,"[2,1,1]"
20,"20",20,"[0,2,2]"
21,"21",21,"[2,0,2]"
22,"22",22,"[2,2,0]"
23,"23",23,"[1,2,2]"
24,"24",24,"[2,1,2]"
25,"25",25,"[2,2,1]"
26,"26",26,"[2,2,2]"
27,"27",27,"[0,0,3]"
28,"28",28,"[0,3,0]"
29,"29",29,"[3,0,0]"
30,"30",30,"[0,1,3]"
31,"31",31,"[0,3,1]"
32,"32",32,"[1,0,3]"
33,"33",33,"[1,3,0]"
34,"34",34,"[3,0,1]"
35,"35",35,"[3,1,0]"
36,"36",36,"[1,1,3]"
37,"37",37,"[1,3,1]"
38,"38",38,"[3,1,1]"
39,"39",39,"[0,2,3]"
40,"40",40,"[0,3,2]"
41,"41",41,"[2,0,3]"
42,"42",42,"[2,3,0]"
43,"43",43,"[3,0,2]"
44,"44",44,"[3,2,0]"
45,"45",45,"[1,2,3]"
46,"46",46,"[1,3,2]"
47,"47",47,"[2,1,3]"
48,"48",48,"[2,3,1]"
49,"49",49,"[3,1,2]"
50,"50",50,"[3,2,1]"
51,"51",51,"[2,2,3]"
52,"52",52,"[2,3,2]"
53,"53",53,"[3,2,2]"
54,"54",54,"[0,3,3]"
55,"55",55,"[3,0,3]"
56,"56",56,"[3,3,0]"
57,"57",57,"[1,3,3]"
58,"58",58,"[3,1,3]"
59,"59",59,"[3,3,1]"
60,"60",60,"[2,3,3]"
61,"61",61,"[3,2,3]"
62,"62",62,"[3,3,2]"
63,"63",63,"[3,3,3]"
64,"64",64,"[0,0,4]"
65,"65",65,"[0,4,0]"
66,"66",66,"[4,0,0]"
67,"67",67,"[0,1,4]"
68,"68",68,"[0,4,1]"
69,"69",69,"[1,0,4]"
70,"70",70,"[1,4,0]"
71,"71",71,"[4,0,1]"
72,"72",72,"[4,1,0]"
73,"73",73,"[1,1,4]"
74,"74",74,"[1,4,1]"
75,"75",75,"[4,1,1]"
76,"76",76,"[0,2,4]"
77,"77",77,"[0,4,2]"
78,"78",78,"[2,0,4]"
79,"79",79,"[2,4,0]"
80,"80",80,"[4,0,2]"
81,"81",81,"[4,2,0]"
82,"82",82,"[1,2,4]"
83,"83",83,"[1,4,2]"
84,"84",84,"[2,1,4]"
85,"85",85,"[2,4,1]"
86,"86",86,"[4,1,2]"
87,"87",87,"[4,2,1]"
88,"88",88,"[2,2,4]"
89,"89",89,"[2,4,2]"
90,"90",90,"[4,2,2]"
91,"91",91,"[0,3,4]"
92,"92",92,"[0,4,3]"
93,"93",93,"[3,0,4]"
94,"94",94,"[3,4,0]"
95,"95",95,"[4,0,3]"
96,"96",96,"[4,3,0]"
97,"97",97,"[1,3,4]"
98,"98",98,"[1,4,3]"
99,"99",99,"[3,1,4]"
100,"100",100,"[3,4,1]"
101,"101",101,"[4,1,3]"
102,"102",102,"[4,3,1]"
103,"103",103,"[2,3,4]"
104,"104",104,"[2,4,3]"
105,"105",105,"[3,2,4]"
106,"106",106,"[3,4,2]"
107,"107",107,"[4,2,3]"
108,"108",108,"[4,3,2]"
109,"109",109,"[3,3,4]"
110,"110",110,"[3,4,3]"
111,"111",111,"[4,3,3]"
112,"112",112,"[0,4,4]"
113,"113",113,"[4,0,4]"
114,"114",114,"[4,4,0]"
115,"115",115,"[1,4,4]"
116,"116",116,"[4,1,4]"
117,"117",117,"[4,4,1]"
118,"118",118,"[2,4,4]"
119,"119",119,"[4,2,4]"
120,"120",120,"[4,4,2]"
121,"121",121,"[3,4,4]"
122,"122",122,"[4,3,4]"
123,"123",123,"[4,4,3]"
124,"124",124,"[4,4,4]"
125,"125",125,"[0,0,5]"
126,"126",126,"[0,5,0]"
127,"127",127,"[5,0,0]"
128,"128",128,"[0,1,5]"
129,"129",129,"[0,5,1]"
130,"130",130,"[1,0,5]"
131,"131",131,"[1,5,0]"
132,"132",132,"[5,0,1]"
133,"133",133,"[5,1,0]"
134,"134",134,"[1,1,5]"
135,"135",135,"[1,5,1]"
136,"136",136,"[5,1,1]"
137,"137",137,"[0,2,5]"
138,"138",138,"[0,5,2]"
139,"139",139,"[2,0,5]"
140,"140",140,"[2,5,0]"
141,"141",141,"[5,0,2]"
142,"142",142,"[5,2,0]"
143,"143",143,"[1,2,5]"
144,"144",144,"[1,5,2]"
145,"145",145,"[2,1,5]"
146,"146",146,"[2,5,1]"
147,"147",147,"[5,1,2]"
148,"148",148,"[5,2,1]"
149,"149",149,"[2,2,5]"
150,"150",150,"[2,5,2]"
151,"151",151,"[5,2,2]"
152,"152",152,"[0,3,5]"
153,"153",153,"[0,5,3]"
154,"154",154,"[3,0,5]"
155,"155",155,"[3,5,0]"
156,"156",156,"[5,0,3]"
157,"157",157,"[5,3,0]"
158,"158",158,"[1,3,5]"
159,"159",159,"[1,5,3]"
160,"160",160,"[3,1,5]"
161,"161",161,"[3,5,1]"
162,"162",162,"[5,1,3]"
163,"163",163,"[5,3,1]"
164,"164",164,"[2,3,5]"
165,"165",165,"[2,5,3]"
166,"166",166,"[3,2,5]"
167,"167",167,"[3,5,2]"
168,"168",168,"[5,2,3]"
169,"169",169,"[5,3,2]"
170,"170",170,"[3,3,5]"
171,"171",171,"[3,5,3]"
172,"172",172,"[5,3,3]"
173,"173",173,"[0,4,5]"
174,"174",174,"[0,5,4]"
175,"175",175,"[4,0,5]"
176,"176",176,"[4,5,0]"
177,"177",177,"[5,0,4]"
178,"178",178,"[5,4,0]"
179,"179",179,"[1,4,5]"
180,"180",180,"[1,5,4]"
181,"181",181,"[4,1,5]"
182,"182",182,"[4,5,1]"
183,"183",183,"[5,1,4]"
184,"184",184,"[5,4,1]"
185,"185",185,"[2,4,5]"
186,"186",186,"[2,5,4]"
187,"187",187,"[4,2,5]"
188,"188",188,"[4,5,2]"
189,"189",189,"[5,2,4]"
190,"190",190,"[5,4,2]"
191,"191",191,"[3,4,5]"
192,"192",192,"[3,5,4]"
193,"193",193,"[4,3,5]"
194,"194",194,"[4,5,3]"
195,"195",195,"[5,3,4]"
196,"196",196,"[5,4,3]"
197,"197",197,"[4,4,5]"
198,"198",198,"[4,5,4]"
199,"199",199,"[5,4,4]"
200,"200",200,"[0,5,5]"
201,"201",201,"[5,0,5]"
202,"202",202,"[5,5,0]"
203,"203",203,"[1,5,5]"
204,"204",204,"[5,1,5]"
205,"205",205,"[5,5,1]"
206,"206",206,"[2,5,5]"
207,"207",207,"[5,2,5]"
208,"208",208,"[5,5,2]"
209,"209",209,"[3,5,5]"
210,"210",210,"[5,3,5]"
211,"211",211,"[5,5,3]"
212,"212",212,"[4,5,5]"
213,"213",213,"[5,4,5]"
214,"214",214,"[5,5,4]"
215,"215",215,"[5,5,5]"
216,"216",216,"[0,0,6]"
217,"217",217,"[0,6,0]"
218,"218",218,"[6,0,0]"
219,"219",219,"[0,1,6]"
220,"220",220,"[0,6,1]"
221,"221",221,"[1,0,6]"
222,"222",222,"[1,6,0]"
223,"223",223,"[6,0,1]"
224,"224",224,"[6,1,0]"
225,"225",225,"[1,1,6]"
226,"226",226,"[1,6,1]"
227,"227",227,"[6,1,1]"
228,"228",228,"[0,2,6]"
229,"229",229,"[0,6,2]"
230,"230",230,"[2,0,6]"
231,"231",231,"[2,6,0]"
232,"232",232,"[6,0,2]"
233,"233",233,"[6,2,0]"
234,"234",234,"[1,2,6]"
235,"235",235,"[1,6,2]"
236,"236",236,"[2,1,6]"
237,"237",237,"[2,6,1]"
238,"238",238,"[6,1,2]"
239,"239",239,"[6,2,1]"
240,"240",240,"[2,2,6]"
241,"241",241,"[2,6,2]"
242,"242",242,"[6,2,2]"
243,"243",243,"[0,3,6]"
244,"244",244,"[0,6,3]"
245,"245",245,"[3,0,6]"
246,"246",246,"[3,6,0]"
247,"247",247,"[6,0,3]"
248,"248",248,"[6,3,0]"
249,"249",249,"[1,3,6]"
250,"250",250,"[1,6,3]"
251,"251",251,"[3,1,6]"
252,"252",252,"[3,6,1]"
253,"253",253,"[6,1,3]"
254,"254",254,"[6,3,1]"
255,"255",255,"[2,3,6]"
256,"256",256,"[2,6,3]"
257,"257",257,"[3,2,6]"
258,"258",258,"[3,6,2]"
259,"259",259,"[6,2,3]"
260,"260",260,"[6,3,2]"
261,"261",261,"[3,3,6]"
262,"262",262,"[3,6,3]"
263,"263",263,"[6,3,3]"
264,"264",264,"[0,4,6]"
265,"265",265,"[0,6,4]"
266,"266",266,"[4,0,6]"
267,"267",267,"[4,6,0]"
268,"268",268,"[6,0,4]"
269,"269",269,"[6,4,0]"
270,"270",270,"[1,4,6]"
271,"271",271,"[1,6,4]"
272,"272",272,"[4,1,6]"
273,"273",273,"[4,6,1]"
274,"274",274,"[6,1,4]"
275,"275",275,"[6,4,1]"
276,"276",276,"[2,4,6]"
277,"277",277,"[2,6,4]"
278,"278",278,"[4,2,6]"
279,"279",279,"[4,6,2]"
280,"280",280,"[6,2,4]"
281,"281",281,"[6,4,2]"
282,"282",282,"[3,4,6]"
283,"283",283,"[3,6,4]"
284,"284",284,"[4,3,6]"
285,"285",285,"[4,6,3]"
286,"286",286,"[6,3,4]"
287,"287",287,"[6,4,3]"
288,"288",288,"[4,4,6]"
289,"289",289,"[4,6,4]"
290,"290",290,"[6,4,4]"
291,"291",291,"[0,5,6]"
292,"292",292,"[0,6,5]"
293,"293",293,"[5,0,6]"
294,"294",294,"[5,6,0]"
295,"295",295,"[6,0,5]"
296,"296",296,"[6,5,0]"
297,"297",297,"[1,5,6]"
298,"298",298,"[1,6,5]"
299,"299",299,"[5,1,6]"
300,"300",300,"[5,6,1]"
301,"301",301,"[6,1,5]"
302,"302",302,"[6,5,1]"
303,"303",303,"[2,5,6]"
304,"304",304,"[2,6,5]"
305,"305",305,"[5,2,6]"
306,"306",306,"[5,6,2]"
307,"307",307,"[6,2,5]"
308,"308",308,"[6,5,2]"
309,"309",309,"[3,5,6]"
310,"310",310,"[3,6,5]"
311,"311",311,"[5,3,6]"
312,"312",312,"[5,6,3]"
313,"313",313,"[6,3,5]"
314,"314",314,"[6,5,3]"
315,"315",315,"[4,5,6]"
316,"316",316,"[4,6,5]"
317,"317",317,"[5,4,6]"
318,"318",318,"[5,6,4]"
319,"319",319,"[6,4,5]"
320,"320",320,"[6,5,4]"
321,"321",321,"[5,5,6]"
322,"322",322,"[5,6,5]"
323,"323",323,"[6,5,5]"
324,"324",324,"[0,6,6]"
325,"325",325,"[6,0,6]"
326,"326",326,"[6,6,0]"
327,"327",327,"[1,6,6]"
328,"328",328,"[6,1,6]"
329,"329",329,"[6,6,1]"
330,"330",330,"[2,6,6]"
331,"331",331,"[6,2,6]"
332,"332",332,"[6,6,2]"
333,"333",333,"[3,6,6]"
334,"334",334,"[6,3,6]"
335,"335",335,"[6,6,3]"
336,"336",336,"[4,6,6]"
337,"337",337,"[6,4,6]"
338,"338",338,"[6,6,4]"
339,"339",339,"[5,6,6]"
340,"340",340,"[6,5,6]"
341,"341",341,"[6,6,5]"
342,"342",342,"[6,6,6]"
343,"343",343,"[0,0,7]"
344,"344",344,"[0,7,0]"
345,"345",345,"[7,0,0]"
346,"346",346,"[0,1,7]"
347,"347",347,"[0,7,1]"
348,"348",348,"[1,0,7]"
349,"349",349,"[1,7,0]"
350,"350",350,"[7,0,1]"
351,"351",351,"[7,1,0]"
352,"352",352,"[1,1,7]"
353,"353",353,"[1,7,1]"
354,"354",354,"[7,1,1]"
355,"355",355,"[0,2,7]"
356,"356",356,"[0,7,2]"
357,"357",357,"[2,0,7]"
358,"358",358,"[2,7,0]"
359,"359",359,"[7,0,2]"
360,"360",360,"[7,2,0]"
361,"361",361,"[1,2,7]"
362,"362",362,"[1,7,2]"
363,"363",363,"[2,1,7]"
364,"364",364,"[2,7,1]"
365,"365",365,"[7,1,2]"
366,"366",366,"[7,2,1]"
