"rownum","Id","Label","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","DamageIncrementalEffectiveness","IgnoredStats","bool_100"
0,"MeleePlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
1,"MeleeUnarmedPlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
2,"MeleeQuarterstaffPlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
3,"MeleeFlailPlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
4,"Melee1HSwordPlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
5,"MeleeSwordSwordPlayer","","[601,23599]","[16088,9624]","[10,-30]",1,0.055,0,[],""
6,"Melee2HSwordPlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
7,"Melee1HAxePlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
8,"MeleeAxeAxePlayer","","[601,23599]","[16088,9624]","[10,-30]",1,0.055,0,[],""
9,"Melee2HAxePlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
10,"Melee1HMacePlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
11,"MeleeMaceMacePlayer","","[601,1114,23599]","[16088,9624]","[10,-30]",1,0.055,0,[],""
12,"Melee2HMacePlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
13,"MeleeClawPlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
14,"MeleeClawClawPlayer","","[601,23599]","[16088,9624]","[10,-30]",1,0.055,0,[],""
15,"MeleeDaggerPlayer","","[601,23599]",[16088],[10],1,0.055,0,[],""
16,"MeleeDaggerDaggerPlayer","","[601,23599]","[16088,9624]","[10,-30]",1,0.055,0,[],""
17,"MeleeSpearPlayer","","[601,23599]","[16088,1225]","[15,4]",1,0.055,0,[],""
18,"MeleeSpearOffHandPlayer","","[601,23599]",[16088],[15],1,0.055,0,[],""
19,"MeleeBowPlayer","","[483,4408,6453,9974,853,18407,18496,18172,23599]","[18400,18462,20177]","[-70,160,50]",1,0.055,0,[],""
20,"MeleeCrossbowPlayer","","[483,18172,18257,4408,6453,9974,18295,8944,8739,18407,23599]","[18256,18303,18310,18311,18312,18328,18400,18462,20177]","[90,10,2,8,300,0,-70,160,50]",1,0.055,0,[],""
21,"PlaytestAttack",33,[601],[16088],[10],1,0,0,[],""
22,"PlaytestSlam","",[601],"[16088,17546]","[10,25]",1,0,0,[],""
23,"PlaytestSpell",3,"[483,4408,9974,18407,6453,18496]",[],[],1,0,0,[],""
24,"PlaytestSpellExplosion",5,[601],[17546],[7],1,0,0,[],""
25,"FireboltPlayer",3,"[483,4408,9974,18407,6453,18496,23599]","[18400,18462,20177,11358,22259]","[-70,160,50,100,25]",3.12,0.13,0.0082,[],""
26,"FireboltExplosionPlayer",5,"[601,20505]",[17546],[7],1,0.055,0,[],""
27,"CommandCompanionPlayer",87,"[18358,18407,18706]","[18400,18462,20177]","[-70,160,50]",1,0.055,0,[],""
28,"CommandUnloadAmmoPlayer","","[18358,18407,18706,2883]",[18231],[7],1,0.055,0,[],""
29,"IceNovaPlayer","","[601,103,18407,23583]","[17776,17775,17777,17546,7914,18400,18462,20177,344]","[50,-90,20,32,1,-70,160,50,8000]",1.52,0.13,0.0074,[],""
30,"LeapSlamPlayer","","[601,9253,1978,19657]","[18299,16448,16088,17344,16452,16471,18250,17546,1888]","[1,650,5,15,500,30,500,25,-30]",0,0.0927,0,[],""
31,"ShieldChargePlayer",38,"[601,9270,1978,21525,22307]","[17546,18078,344,18472,447,18535,18536,18541,18542,18553,17967]","[24,1300,5000,90,80,0,400,10,-20,0,100]",1,0.2735,0,[],""
32,"DetonateDeadPlayer","","[601,18407,21960]","[17546,18400,18462,20177,18700,18777]","[26,-70,160,50,26,400]",6,0.05,0.003,[],""
33,"RaiseZombiePlayer",81,"[18407,20165]","[442,18242,158,18666,18400,18462,20177,18773,18775,20297,344]","[1,25,10,0,-70,160,50,25,100,30,20000]",0,0.0927,0,[],""
34,"FlickerStrikePlayer","","[1835,1978,17798,601]",[17797],[2],0,0.0927,0,[],""
35,"SparkPlayer",12,"[483,17733,4408,6453,9974,18407,23583]","[344,17353,11287,18400,18462,20177,21448]","[2000,20,1009,-70,160,50,660]",1.2,0.13,0.0061,[],""
36,"SparkColdInfusedPlayer",156,[1765],[687],[500],2.4,0.13,0.0061,"[18211,1463,1464]",""
37,"UniqueEarthboundTriggeredSparkPlayer","","[483,17733,4408,6453,9974,18407,23583]","[344,17353,11287,18400,18462,20177,21448,20587]","[2000,20,1009,-70,160,50,660,100]",1.2,0.13,0.0061,[],""
38,"UniqueEarthboundTriggeredSparkColdInfusedPlayer",156,[1765],[687],[500],2.4,0.13,0.0061,"[18211,1463,1464]",""
39,"SummonSpectrePlayer",81,"[18233,20165]","[18234,22127,22128,22129]","[12000,100,30,100]",0,0.0927,0,[],""
40,"FrostWallPlayer","","[1978,601,18407,23388,23585]","[493,344,17546,18400,18462,20177,18241,23462,23568,23569]","[150,8000,20,-70,160,50,50,-80,0,0]",2.28,0.13,0.0069,[],""
41,"FrostWallInfusedPlayer",157,[],[17549],[28],1.5,0.13,0.0069,"[1461,1462]",""
42,"EnervatingNovaPlayer","","[601,18407,17543]","[18400,18462,20177,17546,17549,344,22984]","[-70,160,50,26,10,4000,100]",1.2,0.13,0.0082,[],""
43,"TemporalChainsPlayer","","[2883,18407]","[18236,18400,18462,20177]","[1500,-70,160,50]",0,0.0927,0,[],""
44,"EnfeeblePlayer","","[2883,18407]","[18236,18400,18462,20177]","[1500,-70,160,50]",0,0.0927,0,[],""
45,"SnipersMarkPlayer","","[2883,18407]","[344,18400,18462,20177,20445]","[8000,-70,160,50,1]",0,0.0927,0,[],""
46,"VulnerabilityPlayer","","[2883,18407]","[18236,18400,18462,20177]","[1500,-70,160,50]",0,0.0927,0,[],""
47,"LightningWarpPlayer","","[1978,601,17771,18407]","[17546,3077,18400,18462,20177]","[40,10000,-70,160,50]",4.09,0.13,0.0096,[],""
48,"VileDisruptionPlayer","","[1978,601,17771,18407]","[17546,3077,18400,18462,20177,12045]","[40,0,-70,160,50,100]",4.09,0.13,0.0096,[],""
49,"ArmourBreakerPlayer","","[103,601,9167,23599]","[1225,16088,9624]","[2,17,40]",1,0.055,0,[],""
50,"FirestormPlayer",82,"[1978,601,18407,2269,21960,23583,23584,23585]","[595,11655,344,17546,17549,18400,18462,20177,20954,22275,23832,23833]","[200,1,6000,10,28,-70,160,50,150,5,18,200]",0.56,0.13,0.0089,[],""
51,"FallingThunderPlayer",2,[601],"[1099,16088,18045,17546]","[60,21,120,40]",0.62,0.055,0,[],""
52,"FallingThunderProjectilePlayer",3,"[483,4378,17733,4408,6453,9974,19960,20505]","[6673,1099,17415,19459,17413]","[50,40,3,100,50]",0.62,0.055,0,"[17546,17548]",""
53,"PowerSiphonPlayer","","[17771,18407,1217]","[18400,18462,20177]","[-70,160,50]",1.34,0.13,0.0082,[],""
54,"LightningArrowPlayer",3,"[483,4408,6453,9974,853,18172,18407,18427,18496,21959,22388,23599]","[1099,17546,18400,18462,20177]","[40,32,-70,160,50]",0.67,0.0927,0,[],""
55,"DisciplinePlayer","",[2883],[18795],[1],1,0.0927,0,[],""
56,"ShockwaveTotemPlayer",79,"[859,18784,13431,21535,20591,24103]","[865,867,871]","[12000,80,1]",1,0.055,0,[],""
57,"ShockwaveTotemQuakePlayer",44,"[601,9270,1773,20591]","[17546,16429]","[30,2]",1,0.055,0,[],""
58,"ShockwaveTotemJaggedQuakePlayer",16,[],[],[],1,0.055,0,[],1
59,"KnifeFlipPlayer","",[483],"[10190,10266,6673,344,168,2462]","[40,1,50,6000,-30,80]",2.1717,0.13,0.0082,[],""
60,"ArcPlayer","","[483,4408,6453,9974,8739,18407,18496,23599,23585]","[23822,23823,18400,18462,20177,16536]","[200,6,-70,160,50,50]",1.75,0.13,0.0082,[],""
61,"ArcticArmourPlayer","",[],[],[],2.18,0.13,0.0082,[],""
62,"FlammabilityPlayer","","[2883,18407]","[18236,18400,18462,20177]","[1500,-70,160,50]",1,0.0927,0,[],""
63,"HypothermiaPlayer","","[2883,18407]","[18236,18400,18462,20177]","[1500,-70,160,50]",1,0.0927,0,[],""
