"rownum","Id","MiscEffectPack1","MiscEffectPack2","MiscEffectPack3","MiscEffectPack4","i32_72"
0,"HeistRedBloodEPK",[206],[206],[],[],0
1,"HeistRobotNoEmissive",[207],[207],[],[],0
2,"HeistCultistNoEmissive",[208],[208],[],[],0
3,"HeistRedBloodAndCultistNoEmissive","[206,208]","[206,208]",[],[],0
4,"IceSaplingBosses",[244],[],[240],[],0
5,"BeheehiveBehemothAlive",[],[],[242],[],0
6,"TormentedSpiritFadeIn",[],[],[243],[],0
7,"RitualAtziri",[246],[246],[245],[],0
8,"MutewindDeathBlood",[631],[631],[],[],0
9,"SandGolemSand",[],[],[636],[],0
10,"RedSkeletonCaster",[],[],[642],[],0
11,"DesertPhantasmDeath",[643],[],[],[],0
12,"MonsterRedBloodDeath",[689],[689],[],[],0
13,"MonsterNoEmissive",[778],[777],[],[],0
