"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Order","bool_20"
0,"Boss","Boss Fights","Combats de boss","Bosskämpfe","ボス戦","보스전","Lutas com Chefes","Битвы с боссом","Peleas contra jefes","การต่อสู้กับบอส","頭目戰",6,""
1,"Town","Encampments","Campements","Städte","野営地","야영지","Acampamentos","Города","Campamentos","เมือง","營地",7,1
2,"Act1","Act I","Acte I","Akt I","第1章","1장","Ato I","Акт I","Acto I","บทที่ 1","第 1 章",0,""
3,"Act2","Act II","Acte II","Akt II","第2章","2장","Ato II","Акт II","Acto II","บทที่ 2","第 2 章",1,""
4,"Act3","Act III","Acte III","Akt III","第3章","3장","Ato III","Акт III","Acto III","บทที่ 3","第 3 章",2,""
5,"Act4","Act IV","Acte IV","Akt IV","第4章","4장","Ato IV","Акт IV","Acto IV","บทที่ 4","第 4 章",3,""
6,"Map","Unique Maps","Cartes uniques","Einzigartige Karten","ユニークマップ","고유 지도","Mapas Únicos","Уникальные карты","Mapas únicos","แผนที่ยูนิค","傳奇地圖",8,""
7,"Expansions","Expansions","Extensions","Erweiterungen","拡張パック","확장팩","Expansões","Дополнения","Expansiones","เนื้อหาเสริม","改版",9,""
8,"Other","Other","Divers","Sonstige","その他","기타","Outros","Другое","Otros","อื่นๆ","其它",10,""
9,"Hideouts","Hideouts","Repaires","Verstecke","隠れ家","은신처","Refúgios","Убежища","Guaridas","ที่ซ่อน","藏身處",11,""
10,"Ascendancy","Ascendancy","Ascendance","Aszendenzklasse","アセンダンシー","전직","Ascendência","Восхождение","Ascendencia","บททดสอบคลาสเสริม","昇華",12,""
