"rownum","rid_0","i32_16","string_20","string_28","string_28 (French)","string_28 (German)","string_28 (Japanese)","string_28 (Korean)","string_28 (Portuguese)","string_28 (Russian)","string_28 (Spanish)","string_28 (Thai)","string_28 (Traditional Chinese)","string_36","string_36 (French)","string_36 (German)","string_36 (Japanese)","string_36 (Korean)","string_36 (Portuguese)","string_36 (Russian)","string_36 (Spanish)","string_36 (Thai)","string_36 (Traditional Chinese)","string_44","rid_52","[i32]_68"
0,1,1,"","","","","","","","","","","","Path","Chemin","Weg","通路","길","Caminho","Коридор","Camino","เส้นทาง","路徑","",14496,[40]
1,3,1,"garrison_lvl1","May contain a bench allowing modification of equipment","Peut contenir un établi permettant la modification d'objet d'équipement","Kann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","装備品を変更できるベンチが出現することがある","장비에 속성을 부여하는 작업대를 포함할 수 있음","Pode conter uma bancada que permita a modificação do equipamento","Может содержать верстак, позволяющий изменять снаряжение","Puede contener una mesa que permite modificar el equipamiento","อาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","可能包含一個允許改造裝備的工藝台","Guardhouse","Salle des gardes","Wachhaus","衛兵詰所","위병소","Caserna","Караульная","Cuartel","ป้อม​ยาม","衛兵所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGarrison.dds",14401,"[10,0]"
2,3,2,"garrison_lvl2","May contain a bench allowing modification of equipment","Peut contenir un établi permettant la modification d'objet d'équipement","Kann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","装備品を変更できるベンチが出現することがある","장비에 속성을 부여하는 작업대를 포함할 수 있음","Pode conter uma bancada que permita a modificação do equipamento","Может содержать верстак, позволяющий изменять снаряжение","Puede contener una mesa que permite modificar el equipamiento","อาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","可能包含一個允許改造裝備的工藝台","Barracks","Caserne","Kaserne","兵舎","주둔지","Quartel","Казармы","Barracones","โรง​ทหาร","軍隊憩所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGarrison.dds",14401,"[10,8]"
3,3,3,"garrison_lvl3","May contain a bench allowing modification of equipment","Peut contenir un établi permettant la modification d'objet d'équipement","Kann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","装備品を変更できるベンチが出現することがある","장비에 속성을 부여하는 작업대를 포함할 수 있음","Pode conter uma bancada que permita a modificação do equipamento","Может содержать верстак, позволяющий изменять снаряжение","Puede contener una mesa que permite modificar el equipamiento","อาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","可能包含一個允許改造裝備的工藝台","Hall of War","Salle de la guerre","Kriegssaal","戦争の間","전쟁의 전당","Salão da Guerra","Зал войны","Salón de la guerra","หอ​แห่ง​การ​ศึก","戰爭聖殿","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGarrison.dds",14401,"[10,16]"
4,4,1,"commander_lvl1","Has a higher chance of Uromoti's Medallion, increases with tier\r\nMay contain a bench allowing modification of equipment","A une chance plus élevée de Médaillon d'Uromotu, augmente avec les paliers\r\nPeut contenir un établi permettant de modifier les objets d'équipement","Hat eine höhere Chance, Uromotis Medaillon zu enthalten; Chance steigt mit Level\r\nKann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","高い確率でウロモティのメダリオンをドロップし、ティアと共にその確率が高くなる\r\n装備品を変更できるベンチが出現することがある","더 높은 확률로 우로모티의 메달리온이 나오며, 등급이 높아지면 확률이 증가함\r\n장비에 속성을 부여하는 작업대를 포함할 수 있음","Tem uma chance alta de largar o Medalhão de Uromoti, aumentando com o nível\r\n Pode conter uma bancada que permita a modificação do equipamento","Повышенный шанс найти Медальон Уромоти, растёт с уровнем\r\nМожет содержать верстак, позволяющий изменять снаряжение","Tiene una mayor probabilidad de Medallón de Uromoti, que aumenta con el nivel\r\nPuede contener una mesa que permite modificar el equipamiento","มีโอกาสมีเหรียญตราอูรูมอทีสูงขึ้น โอกาสนี้เพิ่มขึ้นตามระดับของห้อง\r\nอาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","有較高機率獲得烏爾摩堤聖徽，隨階級提升\r\n可能包含一個允許改造裝備的工藝台","Commander's Chamber","Chambre du commandant","Kammer des Kommandanten","司令官の間","지휘관의 방","Câmara do Comandante","Комната командира","Cámara del comandante","ห้องผู้บัญชาการ","指揮官之室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCommander.dds",14402,[8]
5,4,2,"commander_lvl2","Has a higher chance of Uromoti's Medallion, increases with tier\r\nMay contain a bench allowing modification of equipment","A une chance plus élevée de Médaillon d'Uromotu, augmente avec les paliers\r\nPeut contenir un établi permettant la modification d'objet d'équipement","Hat eine höhere Chance, Uromotis Medaillon zu enthalten; Chance steigt mit Level\r\nKann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","高い確率でウロモティのメダリオンをドロップし、ティアと共にその確率が高くなる\r\n装備品を変更できるベンチが出現することがある","더 높은 확률로 우로모티의 메달리온이 나오며, 등급이 높아지면 확률이 증가함\r\n장비에 속성을 부여하는 작업대를 포함할 수 있음","Tem uma chance alta de largar o Medalhão de Uromoti, aumentando com o nível\r\n Pode conter uma bancada que permita a modificação do equipamento","Повышенный шанс найти Медальон Уромоти, растёт с уровнем\r\nМожет содержать верстак, позволяющий изменять снаряжение","Tiene una mayor probabilidad de Medallón de Uromoti, que aumenta con el nivel\r\nPuede contener una mesa que permite modificar el equipamiento","มีโอกาสมีเหรียญตราอูรูมอทีสูงขึ้น โอกาสนี้เพิ่มขึ้นตามระดับของห้อง\r\nอาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","有較高機率獲得烏爾摩堤聖徽，隨階級提升\r\n可能包含一個允許改造裝備的工藝台","Commander's Hall","Salle du commandant","Halles des Kommandanten","司令官のホール","지휘관의 전당","Salão do Comandante","Зал командира","Sala del comandante","โถงผู้บัญชาการ","中樞指揮所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCommander.dds",14402,[15]
6,4,3,"commander_lvl3","Has a higher chance of Uromoti's Medallion, increases with tier\r\nMay contain a bench allowing modification of equipment","A une chance plus élevée de Médaillon d'Uromotu, augmente avec les paliers\r\nPeut contenir un établi permettant la modification d'objet d'équipement","Hat eine höhere Chance, Uromotis Medaillon zu enthalten; Chance steigt mit Level\r\nKann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","高い確率でウロモティのメダリオンをドロップし、ティアと共にその確率が高くなる\r\n装備品を変更できるベンチが出現することがある","더 높은 확률로 우로모티의 메달리온이 나오며, 등급이 높아지면 확률이 증가함\r\n장비에 속성을 부여하는 작업대를 포함할 수 있음","Tem uma chance alta de largar o Medalhão de Uromoti, aumentando com o nível\r\n Pode conter uma bancada que permita a modificação do equipamento","Повышенный шанс найти Медальон Уромоти, растёт с уровнем\r\nМожет содержать верстак, позволяющий изменять снаряжение","Tiene una mayor probabilidad de Medallón de Uromoti, que aumenta con el nivel\r\nPuede contener una mesa que permite modificar el equipamiento","มีโอกาสมีเหรียญตราอูรูมอทีสูงขึ้น โอกาสนี้เพิ่มขึ้นตามระดับของห้อง\r\nอาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","有較高機率獲得烏爾摩堤聖徽，隨階級提升\r\n可能包含一個允許改造裝備的工藝台","Commander's Headquarters","Quartier général du commandant","Hauptquartier des Kommandanten","司令官の軍団司令部","지휘관의 본부","Quartel do Comandante","Штаб командира","Cuartel general del comandante","สำนักงานผู้บัญชาการ","軍團本部","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCommander.dds",14402,[30]
7,5,1,"armoury_lvl1","Contains Equipment","Contient des objets d'Équipement","Enthält Ausrüstungsgegenstände","装備品が出現する","장비 포함","Contém equipamentos","Содержит снаряжение","Contiene equipamiento","มีไอเทมสวมใส่","包含裝備","Depot","Dépôt","Lagerhalle","保管場所","창고","Depósito","Склад","Depósito de armas","ที่เก็บอาวุธ","倉庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconArmoury.dds",14403,[8]
8,5,2,"armoury_lvl2","Contains many pieces of Equipment","Contient de nombreux objets d'Équipement","Enthält viele Ausrüstungsgegenstände","装備品が数多く出現する","여러 개의 장비 포함","Contém muitas peças de equipamentos","Содержит много снаряжения","Contiene muchas piezas de equipamiento","มีไอเทมสวมใส่หลายชิ้น","包含許多裝備","Arsenal","Arsenal","Arsenal","武器庫","병기창","Depósito de Armas","Арсенал","Arsenal","คลังสรรพาวุธ","軍械室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconArmoury.dds",14403,[15]
9,5,3,"armoury_lvl3","Contains Rare pieces of Equipment","Contient des objets d'Équipement Rares","Enthält seltene Ausrüstungsgegenstände","レアの装備品が出現する","희귀 장비 포함","Contém peças raras de equipamentos","Содержит редкое снаряжение","Contiene piezas raras de equipamiento","มีไอเทมสวมใส่แรร์หลายชิ้น","包含稀有裝備","Gallery","Galerie","Galerie","展示室","회랑","Galeria","Галерея","Galería","หอแสดงเครื่องศึก","畫廊","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconArmoury.dds",14403,[30]
