"rownum","Id","FlagStat"
0,"Attack",2849
1,"Spell",425
2,"Projectile",5973
3,"DualWieldOnly",""
4,"Buff",18966
5,"Minion",5853
6,"Damage",""
7,"Area",9130
8,"Duration",""
9,"RequiresShield",7973
10,"ProjectileSpeed",""
11,"HasReservation",""
12,"ReservationBecomesCost",""
13,"Trappable",""
14,"Totemable",""
15,"Mineable",""
16,"ElementalStatus",""
17,"MinionsCanExplode",""
18,"Chains",14236
19,"Melee",6250
20,"MeleeSingleTarget",9985
21,"Multicastable",""
22,"TotemCastsAlone",""
23,"CausesBurning",""
24,"SummonsTotem",9975
25,"TotemCastsWhenNotDetached",""
26,"Physical",8700
27,"Fire",2693
28,"Cold",2694
29,"Lightning",2695
30,"Triggerable",8690
31,"Triggers",""
32,"Trapped",""
33,"Movement",3024
34,"DamageOverTime",""
35,"RemoteMined",""
36,"Triggered",""
37,"Vaal",2840
38,"Aura",2864
39,"CanTargetUnusableCorpse",""
40,"RangedAttack",""
41,"Chaos",2747
42,"FixedSpeedProjectile",""
43,"ThresholdJewelArea",""
44,"ThresholdJewelProjectile",""
45,"ThresholdJewelDuration",""
46,"ThresholdJewelRangedAttack",""
47,"Channel",5963
48,"DegenOnlySpellDamage",""
49,"InbuiltTrigger",""
50,"Golem",""
51,"Herald",10207
52,"AuraAffectsEnemies",""
53,"NoRuthless",""
54,"ThresholdJewelSpellDamage",""
55,"Cascadable",""
56,"ProjectilesFromUser",""
57,"MirageArcherCanUse",""
58,"ProjectileSpiral",""
59,"SingleMainProjectile",""
60,"MinionsPersistWhenSkillRemoved",""
61,"ProjectileNumber",5973
62,"Warcry",3275
63,"Instant",7655
64,"Brand",8068
65,"TargetsDestructibleCorpses",""
66,"NonHitChill",""
67,"ChillingArea",""
68,"AppliesCurse",2427
69,"Barrageable",""
70,"AuraDuration",""
71,"AreaSpell",""
72,"OR",""
73,"AND",""
74,"NOT",""
75,"AppliesMaim",""
76,"CreatesMinion",15951
77,"Guard",9138
78,"Travel",9139
79,"Blink",""
80,"CanHaveBlessing",""
81,"ProjectilesNotFromUser",""
82,"AttackInPlace",""
83,"AttackInPlaceIsDefault",""
84,"Nova",10001
85,"InstantNoRepeatWhenHeld",""
86,"InstantShiftAttackForLeftMouse",""
87,"AuraNotOnCaster",10238
88,"Banner",10239
89,"Rain",10273
90,"Cooldown",""
91,"ThresholdJewelChaining",""
92,"Slam",11069
93,"Stance",11197
94,"NonRepeatable",""
95,"UsedByTotem",""
96,"Steel",11615
97,"Hex",11742
98,"Mark",12192
99,"Aegis",14604
100,"Orb",23135
101,"KillNoDamageModifiers",""
102,"RandomElement",13391
103,"LateConsumeCooldown",""
104,"Arcane",""
105,"FixedCastTime",""
106,"RequiresOffHandNotWeapon",""
107,"Link",14208
108,"Blessing",14605
109,"DynamicCooldown",""
110,"Microtransaction",""
111,"OwnerCannotUse",""
112,"ProjectilesNumberModifiersNotApplied",""
113,"TotemsAreBallistae",""
114,"SkillGrantedBySupport",22307
115,"CrossbowSkill",17999
116,"CrossbowAmmoSkill",13427
117,"UseGlobalStats",""
118,"ModifiesNextSkill",""
119,"OngoingSkill",""
120,"UsableWhileShapeshifted",17852
121,"Meta",23794
122,"Bear",17919
123,"Wolf",19070
124,"Invokable",17935
125,"CreatesSkeletonMinion",18148
126,"CreatesUndeadMinion",18149
127,"CreatesDemonMinion",18150
128,"CommandsMinions",""
129,"ReservesManually",""
130,"ConsumesCharges",19790
131,"ManualCooldownConsumption",""
132,"SupportedByHourglass",""
133,"SupportedByBreachlordsAmalgam",""
134,"ConsumesFullyBrokenArmour",""
135,"SkillConsumesFreeze",""
136,"SkillConsumesIgnite",""
137,"SkillConsumesShock",""
138,"Wall",""
139,"Persistent",18967
140,"UsableWhileMoving",""
141,"CanBecomeArrowRain",""
142,"MultipleReservation",""
143,"SupportedByElementalDischarge",""
144,"Limit",""
145,"Singlular",""
146,"GeneratesCharges",""
147,"EmpowersOtherSkill",26426
148,"PerformsFinalStrike",26312
149,"PerfectTiming",23924
150,"CanHaveMultipleOngoingSkillInstances",""
151,"Sustained",""
152,"ComboStacking",20327
153,"SupportedByComboFinisher",""
154,"Offering",19495
155,"Retaliation",""
156,"Shapeshift",24218
157,"Invocation",23795
158,"Grenade",19755
159,"NoDualWield",""
160,"Jumping",""
161,"CannotChain",""
162,"CreatesGroundRune",""
163,"CreatesFissure",24734
164,"SummonsAttackTotem",20204
165,"NonWeaponAttack",26326
166,"CreatesGroundEffect",""
167,"SupportedByComboMastery",""
168,"IceCrystal",""
169,"SkillConsumesPowerChargesOnUse",""
170,"SkillConsumesFrenzyChargesOnUse",""
171,"SkillConsumesEnduranceChargesOnUse",""
172,"SupportedByFerocity",""
173,"SupportedByPotential",""
174,"ProjectileNoCollision",""
175,"SupportedByExcise",""
176,"SupportedByExpanse",""
177,"SupportedByExecrate",""
178,"IsBlasphemy",""
179,"PersistentShowsCastTime",""
180,"GeneratesEnergy",""
181,"GeneratesRemnants",24862
182,"CommandableMinion",""
183,"Bow",7610
184,"AffectsPresence",""
185,"GainsStages",""
186,"HasSeals",24735
187,"SupportedByExpand",""
188,"SupportedByUnleash",""
189,"SupportedBySalvo",""
190,"Spear",18000
191,"GroundTargetedProjectile",""
192,"SupportedByFusillade",""
193,"HasUsageCondition",""
194,"SupportedByMobileAssault",""
195,"RequiresBuckler",""
196,"UsableWhileMounted",21265
197,"Companion",""
198,"ConsumesInstillment",""
199,"CanCancelActions",""
200,"SupportedByUnmoving",""
201,"SupportedByCleanse",""
202,"Hazard",""
203,"SupportedByRally",""
204,"SupportedByFlamepierce",""
