"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Item","ModEffectStat","HASH16","ItemClass"
0,"JewelleryQualityLife","Quality (Life Modifiers)","Qualité (Modificateurs de Vie)","Qualität (Lebens-Modifikatoren)","品質 (ライフモッド)","퀄리티 (생명력 속성 부여)","Qualidade (Modificadores de Vida)","Качество (свойства здоровья)","Calidad (mods. de vida)","ค่าคุณภาพ (ม็อดพลังชีวิต)","品質（生命詞綴）",277,0,15508,"[5,4]"
1,"JewelleryQualityMana","Quality (Mana Modifiers)","Qualité (Modificateurs de Mana)","Qualität (Mana-Modifikatoren)","品質 (マナモッド)","퀄리티 (마나 속성 부여)","Qualidade (Modificadores de Mana)","Качество (свойства маны)","Calidad (mods. de maná)","ค่าคุณภาพ (ม็อดมานา)","品質（魔力詞綴）",278,4,11127,"[5,4]"
2,"JewelleryQualityDefence","Quality (Defence Modifiers)","Qualité (Modificateurs de Défense)","Qualität (Defensiv-Modifikatoren)","品質(防御力モッド)","퀄리티 (방어 속성 부여)","Qualidade (Modificadores de Defesa)","Качество (защитные свойства)","Calidad (mods. de defensa)","ค่าคุณภาพ (ม็อดค่าป้องกัน)","品質（防禦詞綴）",279,3,38530,"[5,4]"
3,"JewelleryQualityPhysical","Quality (Physical Modifiers)","Qualité (Modificateurs Physiques)","Qualität (physische Modifikatoren)","品質 (物理モッド)","퀄리티 (물리 속성 부여)","Qualidade (Modificadores Físicos)","Качество (физические свойства)","Calidad (mods. de físico)","ค่าคุณภาพ (ม็อดกายภาพ)","品質（物理詞綴）",280,7,32230,"[5,4]"
4,"JewelleryQualityFire","Quality (Fire Modifiers)","Qualité (Modificateurs de Feu)","Qualität (Feuer-Modifikatoren)","品質 (火モッド)","퀄리티 (화염 속성 부여)","Qualidade (Modificadores de Fogo)","Качество (свойства урона от огня)","Calidad (mods. de fuego)","ค่าคุณภาพ (ม็อดไฟ)","品質（火焰詞綴）",281,5,17813,"[5,4]"
5,"JewelleryQualityCold","Quality (Cold Modifiers)","Qualité (Modificateurs de Froid)","Qualität (Kälte-Modifikatoren)","品質 (冷気モッド)","퀄리티 (냉기 속성 부여)","Qualidade (Modificadores de Frio)","Качество (свойства урона от холода)","Calidad (mods. de hielo)","ค่าคุณภาพ (ม็อดน้ำแข็ง)","品質（冰冷詞綴）",282,10,48186,"[5,4]"
6,"JewelleryQualityLightning","Quality (Lightning Modifiers)","Qualité (Modificateurs de Foudre)","Qualität (Blitz-Modifikatoren)","品質 (雷モッド)","퀄리티 (번개 속성 부여)","Qualidade (Modificadores Elétricos)","Качество (свойства урона от молнии)","Calidad (mods. de rayo)","ค่าคุณภาพ (ม็อดสายฟ้า)","品質（閃電詞綴）",283,11,4061,"[5,4]"
7,"JewelleryQualityChaos","Quality (Chaos Modifiers)","Qualité (Modificateurs de Chaos)","Qualität (Chaos-Modifikatoren)","品質(混沌モッド)","퀄리티 (카오스 속성 부여)","Qualidade (Modificadores de Caos)","Качество (свойства урона хаосом)","Calidad (mods. de caos)","ค่าคุณภาพ (ม็อดเคออส)","品質（混沌詞綴）",284,9,38464,"[5,4]"
8,"JewelleryQualityAttack","Quality (Attack Modifiers)","Qualité (Modificateurs d'Attaque)","Qualität (Angriffs-Modifikatoren)","品質 (アタックモッド)","퀄리티 (공격 속성 부여)","Qualidade (Modificadores de Ataque)","Качество (свойства атак)","Calidad (mods. de ataque)","ค่าคุณภาพ (ม็อดโจมตี)","品質（攻擊詞綴）",285,2,10076,"[5,4]"
9,"JewelleryQualityCaster","Quality (Caster Modifiers)","Qualité (Modificateurs de Lanceur de sorts)","Qualität (Zauber-Modifikatoren)","品質 (キャスターモッド)","퀄리티 (시전 속성 부여)","Qualidade (Modificadores de Conjurador)","Качество (чародейские свойства)","Calidad (mods. de lanzador de hechizos)","ค่าคุณภาพ (ม็อดนักเวท)","品質（法術詞綴）",286,1,34063,"[5,4]"
10,"JewelleryQualitySpeed","Quality (Speed Modifiers)","Qualité (Modificateurs de Vitesse)","Qualität (Geschwindigkeits-Modifikatoren)","品質 (スピードモッド)","퀄리티 (속도 속성 부여)","Qualidade (Modificadores de Velocidade)","Качество (свойства скорости)","Calidad (mods. de velocidad)","ค่าคุณภาพ (ม็อดความเร็ว)","品質（速度詞綴）",287,8,30409,"[5,4]"
11,"JewelleryQualityAttribute","Quality (Attribute Modifiers)","Qualité (Modificateurs d'Attribut)","Qualität (Attribut-Modifikatoren)","品質 (能力値モッド)","퀄리티 (능력치 속성 부여)","Qualidade (Modificadores de Atributos)","Качество (свойства характеристик)","Calidad (mods. de atributos)","ค่าคุณภาพ (ม็อดค่าคุณสมบัติ)","品質（能力值詞綴）",288,6,37510,"[5,4]"
12,"JewelleryQualityMinion","Quality (Minion Modifiers)","Quality (Minion Modifiers)","Qualität (Kreatur-Modifikatoren)","品質 (ミニオンモッド)","퀄리티 (소환수 속성)","Qualidade (Modificadores de Lacaio)","Quality (Minion Modifiers)","Calidad (mods. de esbirros)","ค่าคุณภาพ (ม็อดมิเนียน)","品質（召喚物詞綴）",289,12,23283,"[5,4]"
13,"CurrencyJewelQualityLife","Quality (Life Modifiers)","Qualité (Modificateurs de Vie)","Qualität (Lebens-Modifikatoren)","品質 (ライフモッド)","퀄리티 (생명력 속성 부여)","Qualidade (Modificadores de Vida)","Качество (свойства здоровья)","Calidad (mods. de vida)","ค่าคุณภาพ (ม็อดพลังชีวิต)","品質（生命詞綴）",290,0,31240,[41]
14,"CurrencyJewelQualityMana","Quality (Mana Modifiers)","Qualité (Modificateurs de Mana)","Qualität (Mana-Modifikatoren)","品質 (マナモッド)","퀄리티 (마나 속성 부여)","Qualidade (Modificadores de Mana)","Качество (свойства маны)","Calidad (mods. de maná)","ค่าคุณภาพ (ม็อดมานา)","品質（魔力詞綴）",291,4,808,[41]
15,"CurrencyJewelQualityDefences","Quality (Defence Modifiers)","Qualité (Modificateurs de Défense)","Qualität (Defensiv-Modifikatoren)","品質(防御力モッド)","퀄리티 (방어 속성 부여)","Qualidade (Modificadores de Defesa)","Качество (защитные свойства)","Calidad (mods. de defensa)","ค่าคุณภาพ (ม็อดค่าป้องกัน)","品質（防禦詞綴）",292,3,26863,[41]
16,"CurrencyJewelQualityPhysical","Quality (Physical Modifiers)","Qualité (Modificateurs Physiques)","Qualität (physische Modifikatoren)","品質 (物理モッド)","퀄리티 (물리 속성 부여)","Qualidade (Modificadores Físicos)","Качество (физические свойства)","Calidad (mods. de físico)","ค่าคุณภาพ (ม็อดกายภาพ)","品質（物理詞綴）",293,7,59668,[41]
17,"CurrencyJewelQualityFire","Quality (Fire Modifiers)","Qualité (Modificateurs de Feu)","Qualität (Feuer-Modifikatoren)","品質 (火モッド)","퀄리티 (화염 속성 부여)","Qualidade (Modificadores de Fogo)","Качество (свойства урона от огня)","Calidad (mods. de fuego)","ค่าคุณภาพ (ม็อดไฟ)","品質（火焰詞綴）",294,5,12577,[41]
18,"CurrencyJewelQualityCold","Quality (Cold Modifiers)","Qualité (Modificateurs de Froid)","Qualität (Kälte-Modifikatoren)","品質 (冷気モッド)","퀄리티 (냉기 속성 부여)","Qualidade (Modificadores de Frio)","Качество (свойства урона от холода)","Calidad (mods. de hielo)","ค่าคุณภาพ (ม็อดน้ำแข็ง)","品質（冰冷詞綴）",295,10,4545,[41]
19,"CurrencyJewelQualityLightning","Quality (Lightning Modifiers)","Qualité (Modificateurs de Foudre)","Qualität (Blitz-Modifikatoren)","品質 (雷モッド)","퀄리티 (번개 속성 부여)","Qualidade (Modificadores Elétricos)","Качество (свойства урона от молнии)","Calidad (mods. de rayo)","ค่าคุณภาพ (ม็อดสายฟ้า)","品質（閃電詞綴）",296,11,23594,[41]
20,"CurrencyJewelQualityChaos","Quality (Chaos Modifiers)","Qualité (Modificateurs de Chaos)","Qualität (Chaos-Modifikatoren)","品質(混沌モッド)","퀄리티 (카오스 속성 부여)","Qualidade (Modificadores de Caos)","Качество (свойства урона хаосом)","Calidad (mods. de caos)","ค่าคุณภาพ (ม็อดเคออส)","品質（混沌詞綴）",297,9,49663,[41]
21,"CurrencyJewelQualityAttack","Quality (Attack Modifiers)","Qualité (Modificateurs d'Attaque)","Qualität (Angriffs-Modifikatoren)","品質 (アタックモッド)","퀄리티 (공격 속성 부여)","Qualidade (Modificadores de Ataque)","Качество (свойства атак)","Calidad (mods. de ataque)","ค่าคุณภาพ (ม็อดโจมตี)","品質（攻擊詞綴）",298,2,5690,[41]
22,"CurrencyJewelQualityCaster","Quality (Caster Modifiers)","Qualité (Modificateurs de Lanceur de sorts)","Qualität (Zauber-Modifikatoren)","品質 (キャスターモッド)","퀄리티 (시전 속성 부여)","Qualidade (Modificadores de Conjurador)","Качество (чародейские свойства)","Calidad (mods. de lanzador de hechizos)","ค่าคุณภาพ (ม็อดนักเวท)","品質（法術詞綴）",299,1,38381,[41]
23,"CurrencyJewelQualitySpeed","Quality (Speed Modifiers)","Qualité (Modificateurs de Vitesse)","Qualität (Geschwindigkeits-Modifikatoren)","品質 (スピードモッド)","퀄리티 (속도 속성 부여)","Qualidade (Modificadores de Velocidade)","Качество (свойства скорости)","Calidad (mods. de velocidad)","ค่าคุณภาพ (ม็อดความเร็ว)","品質（速度詞綴）",300,8,11201,[41]
24,"CurrencyJewelQualityAttribute","Quality (Attribute Modifiers)","Qualité (Modificateurs d'Attribut)","Qualität (Attribut-Modifikatoren)","品質 (能力値モッド)","퀄리티 (능력치 속성 부여)","Qualidade (Modificadores de Atributos)","Качество (свойства характеристик)","Calidad (mods. de atributos)","ค่าคุณภาพ (ม็อดค่าคุณสมบัติ)","品質（能力值詞綴）",301,6,38015,[41]
25,"CurrencyJewelQualityMinion","Quality (Minion Modifiers)","Quality (Minion Modifiers)","Qualität (Kreatur-Modifikatoren)","品質 (ミニオンモッド)","퀄리티 (소환수 속성)","Qualidade (Modificadores de Lacaio)","Quality (Minion Modifiers)","Calidad (mods. de esbirros)","ค่าคุณภาพ (ม็อดมิเนียน)","品質（召喚物詞綴）",302,12,44726,[41]
