"rownum","string_0","[rid]_8","rid_24","[rid]_40","i32_56","i32_60"
0,"RenlyBuyArmour","[230,231,232]",12125,[8],0,1
1,"RenlyBuyWeapon","[230,231,232]",12147,[7],0,1
2,"RenlySellItem","[230,231,232]",12189,[1],0,1
3,"RenlyOpenShop","[230,231,232]",12169,[2],0,1
4,"AlvaCloseShopNoBuy","[344,558,559]",12992,[4],0,1
5,"AlvaGambleNormal","[344,558,559]",13015,[9],0,1
6,"AlvaGambleMagic","[344,558,559]",13002,[10],0,1
7,"AlvaGambleRare","[344,558,559]",13049,[11],0,1
8,"AlvaGambleUnique","[344,558,559]",13079,[12],0,1
9,"AlvaOpenShop","[344,558,559]",13034,[2],0,1
10,"AlvaSell","[344,558,559]",13062,[1],0,1
11,"OswaldBuyArmour","[353,354,355,356]",13092,[8],0,1
12,"OswaldBuyMelee","[353,354,355,356]",13130,[13],0,1
13,"OswaldBuyNormal","[353,354,355,356]",13138,[9],0,3
14,"OswaldBuyMagic","[353,354,355,356]",13115,[10],0,3
15,"OswaldBuyRare","[353,354,355,356]",13159,[11],0,3
16,"FinnGambleNormal","[243,246,681]",13224,[9],0,1
17,"FinnGambleMagic","[243,246,681]",13204,[10],0,1
18,"FinnGambleRare","[243,246,681]",13248,[11],0,1
19,"FinnGambleUnique","[243,246,681]",13261,[12],0,1
20,"FinnOpenShop","[243,246,681]",13275,[2],0,1
21,"FinnSell","[243,246,681]",13291,[1],0,1
22,"UnaBuyFlaskLife","[236,237,238,242]",13308,[14],5,1
23,"UnaBuyFlaskMana","[236,237,238,242]",13322,[15],5,1
24,"UnaBuyGeneric","[236,237,238,242]",13332,[0],0,1
25,"UnaOpenShop","[236,237,238,242]",13377,[2],0,1
26,"UnaSell","[236,237,238,242]",13392,[1],0,1
27,"ServiBuy",[357],13406,[0],0,1
28,"ServiBuyCharm",[357],13417,[16],5,1
29,"ServiBuyFlaskLife",[357],13428,[14],5,1
30,"ServiBuyFlaskMana",[357],13444,[15],5,1
31,"ServiOpenShop",[357],13482,[2],0,1
32,"ServiSell",[357],13497,[1],0,1
33,"DannigEGOpenShop","[564,172]",13602,[2],0,1
34,"DannigEGExchange","[564,172]",13572,[0],0,1
35,"ShambrinOpenShop",[282],13692,[2],0,1
36,"ShambrinBuyArmour",[282],13638,[8],1,2
37,"ShambrinBuyWeapon",[282],13669,[7],1,2
38,"ShambrinBuyGeneric",[282],13655,[0],1,1
39,"ShambrinSellGeneric",[282],13707,[1],0,1
40,"RisuOpenShop","[311,312,313]",13781,[2],0,1
41,"RisuSellGeneric","[311,312,313]",13796,[1],0,1
42,"SebastianOpenShop",[573],14356,[2],0,1
43,"SebastianBuyGeneric",[573],14365,[0],0,1
44,"SebastianSellGeneric",[573],14374,[1],0,1
45,"GwendolynOpenShop",[574],14397,[2],0,1
46,"GwendolynBuy",[574],14401,[0],0,1
47,"GwendolynSell",[574],14405,[1],0,1
48,"NamelessSeerOpenShop",[578],14414,[2],0,1
49,"NamelessSeerBuy",[578],14417,[0],0,1
50,"CauldronCroneBuy",[575],10519,[0],0,1
51,"CauldronCroneSell",[575],10521,[1],0,1
52,"DannigA4OpenShop","[449,564]",17925,[2],0,1
53,"DannigA4BuyWeapon","[449,564]",17938,[7],0,1
54,"DannigA4BuyArmour","[449,564]",17950,[8],0,1
55,"DannigA4SellGeneric","[449,564]",17961,[1],0,1
56,"DannigA4ExitNoBuy","[449,564]",17972,[4],0,1
57,"RogA4OpenShop","[444,445]",17996,[2],0,1
58,"RogA4BuyMagicItem","[444,445]",18008,[16],5,1
59,"RogA4BuyGeneric","[444,445]",18044,[0],1,1
60,"RogA4SellGeneric","[444,445]",18020,[1],0,1
61,"CrueltyGamblerMTX_Normal",[704],18212,[9],0,1
62,"CrueltyGamblerMTX_Magic",[704],18216,[10],0,1
63,"CrueltyGamblerMTX_Rare",[704],18220,[11],0,1
64,"CrueltyGamblerMTX_Unique",[704],18224,[12],0,1
65,"CrueltyGamblerMTX_Open",[704],18332,[2],0,1
66,"CrueltyGamblerMTX_Sell",[704],18228,[1],0,1
67,"CrueltyGamblerMTX_Close",[704],18345,[3],0,1
68,"MariusOpenShop",[664],19102,[2],0,1
69,"MariusBuyGeneric",[664],19108,[0],0,1
70,"MariusSellGeneric",[664],19090,[1],0,1
71,"MariusBuybackGeneric",[664],19081,[30],0,1
72,"WraithHoodedVendor_BuyGeneric",[719],19121,[0],0,1
73,"WraithHoodedVendor_SellGeneric",[719],19129,[1],0,1
74,"AsalaP2_BuyArmour","[685,711,712]",19335,[8],0,1
75,"AsalaP2_BuyWeapon","[685,711,712]",19351,[7],0,1
76,"AsalaP2_SellGeneric","[685,711,712]",19374,[1],0,1
77,"AsalaP2_Buyback","[685,711,712]",19343,[30],0,1
78,"AsalaP2_OpenShop","[685,711,712]",19366,[2],0,1
79,"DelwynP3_OpenShop",[699],19443,[2],0,1
80,"DelwynP3_BuyArmour",[699],19411,[8],0,1
81,"DelwynP3_BuyWeapon",[699],19427,[7],0,1
82,"DelwynP3_SellItem",[699],19451,[1],0,1
83,"DelwynP3_Buyback",[699],19419,[30],0,1
84,"Madox_BuyItem",[714],19459,[0],0,1
85,"Madox_OpenShop",[714],19467,[2],0,1
86,"Hilda_OpenShop",[701],19604,[2],0,1
87,"Hilda_GambleNormal",[701],19549,[9],0,1
88,"Hilda_GambleMagic",[701],19530,[10],0,1
89,"Hilda_GambleRare",[701],19572,[11],0,1
90,"Hilda_GambleUnique",[701],19588,[12],0,1
91,"Hilda_Buyback",[701],19482,[30],0,1
92,"Hilda_SellGeneric",[701],19620,[1],0,1
93,"Zarka_OpenShop","[687,283,284]",19709,[2],0,1
94,"Zarka_SellGeneric","[687,283,284]",19685,[1],0,1
95,"Zarka_BuyGeneric","[687,283,284]",19677,[0],0,1
96,"Zarka_BuyFlaskLife","[687,283,284]",19693,[14],0,10
97,"Zarka_BuyFlaskMana","[687,283,284]",19701,[15],0,10
98,"Ruhaki_OpenShop",[725],19758,[2],0,1
99,"Ruhaki_BuyArmour",[725],19724,[8],0,1
100,"Ruhaki_BuyWeapon",[725],19742,[7],0,1
101,"Ruhaki_SellGeneric",[725],19766,[1],0,1
102,"Torbik_BuyItem",[722],19774,[0],0,1
103,"Torbik_SellItem",[722],19794,[1],0,1
