"rownum","StashTabAffinityId","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","ShowInStashes","i32_40","i32_44"
0,3,"Currency","Objet monétaire","Währung","カレンシー","화폐","Moeda","Валюта","Objeto monetario","เงินตรา","通貨物品","[0,1,7,10,3]",-10,3
1,15,"Delirium","Délire","Delirium","デリリウム","환영","Delírio","Делириум","Delirio","เดลิเรียม","譫妄物品","[0,1,7,10,15]",0,15
2,8,"Essence","Essence","Essenz","エッセンス","에센스","Essência","Сущность","Esencia","เอสเซนส์","精髓","[0,1,7,10,8,11]",0,8
3,9,"Fragment","Fragment","Fragment","フラグメント","조각","Fragmento","Фрагмент","Fragmento","ชิ้นส่วน","碎片","[0,1,7,10,9]",10,9
4,5,"Waystone","Pierre de téléportation","Wegstein","ウェイストーン","경로석","Pedra-guia","Путевой камень","Piedra guía","ศิลานำทาง","換界石","[0,1,7,10,5]",-90,5
5,14,"Breach","Brèche","Riss","ブリーチ","균열","Fenda","Разлом","Fisura","บรีช","裂痕","[0,1,7,10,22]",0,22
6,4,"Unique","Unique","Einzigartig","ユニーク","고유","Único","Уникальные предметы","Único","ยูนิค","傳奇","[0,1,7,10,4]",-100,4
7,17,"Flask","Flacon","Fläschchen","フラスコ","플라스크","Frasco","Флакон","Frasco","ขวดยา","藥劑","[0,1,7,10,17]",0,17
8,18,"Gem","Gemme","Gemme","ジェム","젬","Gema","Камень","Gema","หิน","寶石","[0,1,7,10,18]",0,18
9,19,"Augment","Augmentation","Augmentation","オーグメント","증강물","Aprimoramento","Усилитель","Mejora","วัตถุฝัง","增幅","[0,1,7,10,19]",0,19
10,20,"Expedition","Expédition","Expedition","エクスペディション","탐험","Expedição","Экспедиция","Expedición","กองสำรวจ","探險","[0,1,7,10,20]",0,20
11,21,"Ritual","Rituel","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","พิธีกรรม","祭祀","[0,1,7,10,21]",0,21
12,0,"Abyss","Abysse","Abyss","アビス","심연","Abismo","Бездна","Abismo","อะบิส","深淵","[0,1,7,10,23]",0,23
