"rownum","BaseItemType","RequiredLevel","Limit","Description","Type","TierHigher","IsSocketBound","CanSocketInMartialArtistSlots","CanSocketInUniqueItems","CanSocketInJewellery","ExtraDescription","bool_96","CanSocketInCorruptedSanctified"
0,634,0,"","",0,1,"",1,1,1,"",1,1
1,624,15,"","",0,2,"",1,1,1,"",1,1
2,644,30,"","",0,3,"",1,1,1,"",1,1
3,654,50,"","",0,"","",1,1,1,"",1,1
4,635,0,"","",0,5,"",1,1,1,"",1,1
5,625,15,"","",0,6,"",1,1,1,"",1,1
6,645,30,"","",0,7,"",1,1,1,"",1,1
7,655,50,"","",0,"","",1,1,1,"",1,1
8,636,0,"","",0,9,"",1,1,1,"",1,1
9,626,15,"","",0,10,"",1,1,1,"",1,1
10,646,30,"","",0,11,"",1,1,1,"",1,1
11,656,50,"","",0,"","",1,1,1,"",1,1
12,637,0,"","",0,13,"","",1,1,"",1,1
13,627,15,"","",0,14,"","",1,1,"",1,1
14,647,30,"","",0,15,"","",1,1,"",1,1
15,657,50,"","",0,"","","",1,1,"",1,1
16,638,0,"","",0,17,"",1,1,1,"",1,1
17,628,15,"","",0,18,"",1,1,1,"",1,1
18,648,30,"","",0,19,"",1,1,1,"",1,1
19,658,50,"","",0,"","",1,1,1,"",1,1
20,639,0,"","",0,21,"",1,1,1,"",1,1
21,629,15,"","",0,22,"",1,1,1,"",1,1
22,649,30,"","",0,23,"",1,1,1,"",1,1
23,659,50,"","",0,"","",1,1,1,"",1,1
24,640,0,"","",0,25,"",1,1,1,"",1,1
25,630,15,"","",0,26,"",1,1,1,"",1,1
26,650,30,"","",0,27,"",1,1,1,"",1,1
27,660,50,"","",0,"","",1,1,1,"",1,1
28,641,0,"","",0,29,"",1,1,1,"",1,1
29,631,15,"","",0,30,"",1,1,1,"",1,1
30,651,30,"","",0,31,"",1,1,1,"",1,1
31,661,50,"","",0,"","",1,1,1,"",1,1
32,642,0,"","",0,33,"",1,1,1,"",1,1
33,632,15,"","",0,34,"",1,1,1,"",1,1
34,652,30,"","",0,35,"",1,1,1,"",1,1
35,662,50,"","",0,"","",1,1,1,"",1,1
36,643,0,"","",0,37,"",1,1,1,"",1,1
37,633,15,"","",0,38,"",1,1,1,"",1,1
38,653,30,"","",0,39,"",1,1,1,"",1,1
39,663,50,"","",0,"","",1,1,1,"",1,1
40,757,0,0,"",1,"","","",1,1,"",1,1
41,758,0,"","",1,"","","",1,1,"",1,1
42,759,0,0,"",1,"","","",1,1,"",1,1
43,760,0,0,"",1,"","","",1,1,"",1,1
44,761,0,0,"",1,"","","",1,1,"",1,1
45,762,0,"","",1,"","","",1,1,"",1,1
46,763,0,0,"",1,"","","",1,1,"",1,1
47,764,0,0,"",1,"","","",1,1,"",1,1
48,765,0,0,"",1,"","","",1,1,"",1,1
49,766,0,"","",1,"","","",1,1,"",1,1
50,767,0,0,"",1,"","","",1,1,"",1,1
51,768,0,"","",1,"","","",1,1,"",1,1
52,769,0,0,"",1,"","","",1,1,"",1,1
53,770,0,"","",1,"","","",1,1,"",1,1
54,771,0,"","",1,"","","",1,1,"",1,1
55,772,0,"","",1,"","","",1,1,"",1,1
56,679,0,"","",0,"","",1,1,1,"",1,1
57,680,0,"","",0,"","",1,1,1,"",1,1
58,681,0,"","",0,"","",1,1,1,"",1,1
59,682,0,"","",0,"","",1,1,1,"",1,1
60,664,0,"","",0,61,"",1,1,1,"",1,1
61,665,15,"","",0,62,"",1,1,1,"",1,1
62,666,30,"","",0,63,"",1,1,1,"",1,1
63,667,50,"","",0,"","",1,1,1,"",1,1
64,668,0,"","",0,65,"",1,1,1,"",1,1
65,669,15,"","",0,66,"",1,1,1,"",1,1
66,670,30,"","",0,67,"",1,1,1,"",1,1
67,671,50,"","",0,"","",1,1,1,"",1,1
68,672,0,"","",0,69,"",1,1,1,"",1,1
69,673,15,"","",0,70,"",1,1,1,"",1,1
70,674,30,"","",0,71,"",1,1,1,"",1,1
71,675,50,"","",0,"","",1,1,1,"",1,1
72,676,0,"","",0,73,"",1,1,1,"",1,1
73,677,15,"","",0,74,"",1,1,1,"",1,1
74,678,30,"","",0,"","",1,1,1,"",1,1
75,773,0,"","",2,"","","",1,1,"",1,1
76,774,0,"","",2,"","","",1,1,"",1,1
77,775,0,"","",2,"","","",1,1,"",1,1
78,776,0,"","",2,"","","",1,1,"",1,1
79,777,0,"","",2,"","","",1,1,"",1,1
80,778,0,0,"",2,"","","",1,1,"",1,1
81,779,0,"","",2,"","","",1,1,"",1,1
82,780,0,"","",2,"","","",1,1,"",1,1
83,781,0,"","",2,"","","",1,1,"",1,1
84,782,0,0,"",2,"","","",1,1,"",1,1
85,783,0,0,"",2,"","","",1,1,"",1,1
86,683,50,0,"",0,"","",1,1,1,"",1,1
87,684,50,0,"",0,"","",1,1,1,"",1,1
88,685,50,0,"",0,"","",1,1,1,"",1,1
89,686,50,0,"",0,"","",1,1,1,"",1,1
90,687,50,0,"",0,"","",1,1,1,"",1,1
91,688,50,0,"",0,"","",1,1,1,"",1,1
92,689,50,0,"",0,"","",1,1,1,"",1,1
93,690,50,0,"",0,"","",1,1,1,"",1,1
94,691,50,0,"",0,"","",1,1,1,"",1,1
95,692,50,0,"",0,"","",1,1,1,"",1,1
96,693,50,0,"",0,"","",1,1,1,"",1,1
97,694,50,0,"",0,"","",1,1,1,"",1,1
98,695,50,0,"",0,"","",1,1,1,"",1,1
99,696,50,0,"",0,"","",1,1,1,"",1,1
100,697,50,0,"",0,"","",1,1,1,"",1,1
101,698,50,0,"",0,"","",1,1,1,"",1,1
102,699,50,0,"",0,"","",1,1,1,"",1,1
103,700,50,0,"",0,"","",1,1,1,"",1,1
