"rownum","Id","i32_16","NPCTalk"
0,108,1,[370]
1,109,1,[371]
2,110,1,[372]
3,106,1,"[376,377,378,379,380,381,382]"
4,107,1,[383]
5,105,1,[375]
6,111,1,[373]
7,112,1,[374]
8,240,2,[579]
9,241,2,[580]
10,250,2,[581]
11,259,2,[582]
12,268,2,[583]
13,280,2,[584]
14,289,2,[585]
15,301,2,[586]
16,313,2,[587]
17,232,2,[588]
18,351,3,"[720,721,786,787,737,738]"
19,366,3,"[722,723,788,789,739,740]"
20,373,3,"[724,725,796,797,798,741,742]"
21,400,3,"[726,727,793,794,743,744]"
22,412,3,"[728,795,745]"
23,390,3,"[729,730,784,785,746,747]"
24,419,3,"[731,732,783,748,749]"
25,420,3,"[731,732,783,748,749]"
26,430,3,"[733,734,790,750,751]"
27,431,3,"[733,734,790,750,751]"
28,442,3,"[735,736,791,792,752,753]"
