"rownum","Id","f32_8","f32_12","f32_16"
0,"0",150,410,60
1,"1",107,296,60
2,"2",147,222,60
3,"3",225,212,60
4,"4",301,237,60
5,"5",358,169,60
6,"6",409,99,60
7,"7",479,73,60
8,"8",559,84,60
9,"9",631,164,60
10,"10",708,164,60
11,"11",809,105,60
12,"12",892,79,60
13,"13",913,153,60
14,"14",896,230,60
15,"15",748,258,60
16,"16",820,319,60
17,"17",889,387,60
18,"18",881,463,60
19,"19",893,546,60
20,"20",828,617,60
21,"21",860,696,60
22,"22",857,764,60
23,"23",816,839,60
24,"24",718,803,60
25,"25",647,848,60
26,"26",539,791,60
27,"27",563,883,60
28,"28",511,964,60
29,"29",442,877,60
30,"30",374,951,60
31,"31",297,978,60
32,"32",226,997,60
33,"33",173,933,60
34,"34",151,860,60
35,"35",117,786,60
36,"36",72,714,60
37,"37",65,627,60
38,"38",91,542,60
39,"39",162,505,60
40,"40",210,588,60
41,"41",210,658,60
42,"42",257,730,60
43,"43",327,770,60
44,"44",419,776,60
45,"45",628,758,60
46,"46",644,675,60
47,"47",677,606,60
48,"48",661,531,60
49,"49",602,457,60
50,"50",705,458,60
51,"51",711,349,60
52,"52",655,280,60
53,"53",577,252,60
54,"54",501,262,60
55,"55",411,312,60
56,"56",307,344,60
57,"57",256,415,60
58,"58",272,493,60
59,"59",334,565,60
