"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","ItemTag","AOFiles","MinLevel","MaxLevel","WorldArea","i32_72","i32_76","MiscObject","bool_96","bool_97","i32_98","i32_102","i32_106"
0,"AtollEzomyteRemnantLogbook","Ezomyte Runestone","Pierre runique ézomyte","Runenstein der Ezomyten","エゾマイトのルーンストーン","에조미어 룬석","Pedra Rúnica Ezomyta","Рунный камень эзомитов","Piedra rúnica ezomita","ศิลาอักขระเอโซไมต์","艾茲麥符文石",684,"[""Metadata/Terrain/Doodads/Leagues/Expedition/EzomyteRocks/StandingStone_set.ao""]",1,100,369,0,0,110,"","",0,0,100
1,"TundraVaalRemnantLogbook","Vaal Relic","Relique vaal","Relikt der Vaal","ヴァールの遺物","바알 유물","Relíquia Vaal","Реликвия ваал","Reliquia vaal","โบราณวัตถุวาล์","瓦爾聖物",685,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MapSpecificRemnants/TundraVaalRemnant.ao""]",1,100,368,6,9,110,"","",0,0,100
2,"TropicalKaruiRemnantLogbook","Karui Idol","Idole karui","Idol der Karui","カルイの偶像","카루이 우상","Ídolo Karui","Идол каруи","Ídolo karui","เทวรูปคารุย","卡魯魔偶",686,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MapSpecificRemnants/TropicalKaruiRemnant.ao""]",1,100,367,6,9,110,"","",0,0,100
3,"PeninsulaGoblinRemnantLogbook","Kin Totem","Totem kin","Totem der Kin","キンのトーテム","혈족 토템","Totem da Família","Тотем Кина","Tótem del clan","โทเทมคิน","金氏圖騰",687,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/KinTotem01.ao""]",1,100,366,6,9,1128,"","",0,0,100
4,"BeastSkinFakeRelic","Beast Skin","Peau de bête","Bestienhaut","獣の皮","야수 가죽","Pele de Fera","Звериная шкура","Aspecto para bestia","หนังสัตว์ร้าย","獸皮",668,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/CrystallineBeastSkinCluster01.ao""]",1,100,"",1,1,110,"","",0,0,100
5,"HeathHengeRemnantLogbook","Runic Henge","Runic Henge","Runisches Steinmonument","ルーンのストーンヘンジ","룬의 헨지","Henge Rúnico","Рунический круг","Círculo rúnico","เฮนจ์อักขระ","符文石陣",1269,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/HeathHenge01.ao"",""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/HeathHenge02.ao"",""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/HeathHenge03.ao"",""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/HeathHenge04.ao"",""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/HeathHenge05.ao""]",1,100,373,8,8,1116,1,"",-15,15,110
6,"DigsiteBeaconRemnantLogbook","Precursor Leyline","Precursor Leyline","Wegbereiter-Ley-Linie","先人のレイライン","선도자 지맥","Fluxo Energético Precursor","Энергетическая линия Предтеч","Línea ley precursora","เส้นพลังงานกลุ่มชนก่อนกาล","先行者地脈",1270,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/Digsite_Lighthouse_02.ao""]",1,100,370,3,3,1106,1,"",-15,15,135
7,"PrairieWispRemnantLogbook_Wild","Imprisoned Wild Wisp","Imprisoned Wild Wisp","Eingesperrtes Wildes Irrlicht","捕えられたワイルドウィスプ","갇힌 야생 도깨비불","Lúmen Selvagem Aprisionado","Пойманный дикий огонёк","Fuego fatuo salvaje atrapado","วิสป์เกรี้ยวกราดที่ถูกจองจำ","受禁錮的荒野靈火",1271,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/EzomyteWispTrap03.ao""]",1,100,376,1,2,1114,"","",0,0,120
8,"PrairieWispRemnantLogbook_Vivid","Imprisoned Vivid Wisp","Imprisoned Vivid Wisp","Eingesperrtes Lebhaftes Irrlicht","捕えられたビビッドウィスプ","갇힌 혈기 도깨비불","Lúmen Vivaz Aprisionado","Пойманный буйный огонёк","Fuego fatuo vívido atrapado","วิสป์สดใสที่ถูกจองจำ","受禁錮的靈現靈火",1271,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/EzomyteWispTrap02.ao""]",1,100,376,1,2,1113,"","",0,0,120
9,"PrairieWispRemnantLogbook_Primal","Imprisoned Primal Wisp","Imprisoned Primal Wisp","Eingesperrtes Urzeitliches Irrlicht","捕えられたプライマルウィスプ","갇힌 원시 도깨비불","Lúmen Primal Aprisionado","Пойманный первобытный огонёк","Fuego fatuo primitivo atrapado","วิสป์เก่าแก่ที่ถูกจองจำ","受禁錮的原始靈火",1271,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/EzomyteWispTrap01.ao""]",1,100,376,1,2,1112,"","",0,0,120
10,"WastesSulphiteRemnantLogbook","Sulphite Stalagmite","Sulphite Stalagmite","Sulfit-Stalagmit","サルファイトの石柱","아황산염 석순","Estalagmite de Sulfito","Сульфитовый сталагмит","Estalagmita de sulfito","หินงอกซัลไฟต์","硫酸石筍",1272,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/WastesSulphitePillar.ao""]",1,100,372,3,5,1103,"","",0,0,60
11,"WastesKaruiRemnantLogbook","Karui Totem","Karui Totem","Karui-Totem","カルイのトーテム","카루이 토템","Totem Karui","Тотем каруи","Tótem karui","โทเทมคารุย","卡魯圖騰",1273,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/WastesKaruiTotem.ao""]",1,100,372,2,4,1102,1,1,165,195,100
12,"ReefClamRemnantLogbook","Overgrown Clam","Overgrown Clam","Überwucherte Muschel","生い茂った二枚貝","과대한 조개","Marisco Coberto de Algas","Заросшая раковина","Almeja crecida","หอยที่โตเกินตัว","蔓生之蚌",1274,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/ReefClam.ao""]",1,100,371,3,5,1104,1,1,-45,45,100
13,"GullyDevourerRemnantLogbook","Dormant Burrower","Dormant Burrower","Schlafender Gräber","眠れる穴掘り","잠든 굴착자","Escavador Adormecido","Дремлющий грязерой","Excavador dormido","ตัวขุดที่รอคอย","沉睡地穴掘者",1321,"[""Metadata/Terrain/Doodads/Leagues/Expedition/MiscExplodables/DevourerBodySegment.ao""]",1,100,375,2,4,1136,"","",0,0,100
