"rownum","Id","BuffVisualOrbTypesKey","BuffVisualOrbArtKeys","Player_BuffVisualOrbArtKeys","BuffVisualOrbArtKeys2"
0,"ChargeEndurance",12,[3],[0],[]
1,"ChargeEnduranceElder",0,[6],[],[]
2,"ChargeFrenzy",12,[4],[1],[]
3,"ChargeFrenzyElder",0,[7],[],[]
4,"ChargeFrenzyBloodDance",0,[10],[],[]
5,"ChargeFrenzySuper",0,[11],[],[]
6,"ChargePower",12,[5],[2],[]
7,"ChargePowerElder",0,[8],[],[]
8,"ChargePowerAlternate",0,[9],[],[]
9,"ChargeSpirit",0,[12],[],[]
10,"ChargeSiphoning",0,[13],[],[]
11,"ChargeVoid",0,[14],[],[]
12,"ChargeDivine",0,[15],[],[]
13,"ChargeInspiration",0,[16],[],[]
14,"ChargeBrutal",0,[17],[],[]
15,"ChargeAffliction",0,[18],[],[]
16,"ChargeAbsorption",0,[19],[],[]
17,"BloodlinesChargeZeal",0,[20],[],[]
18,"BloodlinesChargeVigor",0,[21],[],[]
19,"CurseTemporalChains",1,[23],[],[]
20,"IzaroTemporalChains",1,[24],[],[]
21,"IzaroDeathTemporalChains",1,[25],[],[]
22,"CurseEnfeeble",1,[87],[],[]
23,"CurseVulnerability",1,[93],[],[]
24,"IzaroVulnerabilityOrb",1,[28],[],[]
25,"IzaroDeathVulnerabilityOrb",1,[29],[],[]
26,"CurseElementalWeakness",1,[92],[],[]
27,"IzaroElementalWeaknessOrb",1,[31],[],[]
28,"IzaroDeathElementalWeaknessOrb",1,[32],[],[]
29,"CurseFireWeakness",1,[89],[],[]
30,"CurseColdWeakness",1,[90],[],[]
31,"CurseLightningWeakness",1,[91],[],[]
32,"CurseChaosWeakness",1,[94],[],[]
33,"CursePunishment",1,[88],[],[]
34,"CurseSilence",1,[38],[],[]
35,"CurseWarlordsMark",3,[39],[],[]
36,"CurseAssassinsMark",3,[40],[],[]
37,"CurseSnipersMark",3,[41],[],[]
38,"CursePoachersMark",3,[42],[],[]
39,"CurseAlchemistsMark",3,[43],[],[]
40,"CurseRepulsion",1,[44],[],[]
41,"FlaskCurseImmunity",1,[45],[],[]
42,"DoedreRedOrb",0,[46],[],[]
43,"DoedreGreenOrb",0,[47],[],[]
44,"DoedrePurpleOrb",0,[48],[],[]
45,"ShrinePlus",2,[49],[],[]
46,"ShrineFist",2,[50],[],[]
47,"ShrineSword",2,[51],[],[]
48,"ShrineWing",2,[52],[],[]
49,"ShrineThorns",2,[53],[],[]
50,"ShrineFire",2,[54],[],[]
51,"ShrineLightning",2,[55],[],[]
52,"ShrineArc",2,[56],[],[]
53,"ShrineCold",2,[57],[],[]
54,"ShrineSmoke",2,[58],[],[]
55,"ShrineMassive",2,[59],[],[]
56,"ShrineShield",2,[60],[],[]
57,"ShrineResistance",2,[61],[],[]
58,"ShrineGodMode",2,[62],[],[]
59,"ShrineEchoing",2,[63],[],[]
60,"ShrineCurse",2,[64],[],[]
61,"ShrineSkeletons",2,[65],[],[]
62,"ShrineResonating",2,[66],[],[]
63,"Blind",1,[67],[],[]
64,"BlindAura",1,[67],[],[67]
65,"BlindOrbSand",2,[68],[],[]
