"rownum","string_0","string_8","i32_16","i32_20","bool_24","i32_25","i32_29","i32_33","i32_37"
0,"HapticsUIMenuSelect","Audio/Haptics/HapticsUIMenuSelect.wav",2,1056964608,"",2,120,1057635697,1032805417
1,"HapticsUIMenuSelectHold","Audio/Haptics/HapticsUIMenuSelect.wav",2,1056964608,"",2,120,1057635697,1032805417
2,"HapticsUIMenuCancel","Audio/Haptics/HapticsUIMenuCancel.wav",2,1056964608,"",2,120,1057635697,1032805417
3,"HapticsUIMenuCursorMove","Audio/Haptics/HapticsUIMenuCancel.wav",1,1050253722,"",2,25,1051260355,1041865114
4,"HapticsUISocialNotificationGeneral","Audio/Haptics/HapticsUISocialNotificationGeneral.wav",6,1061158912,"",3,120,1057635697,1032805417
5,"HapticsCombatFlaskEmptyMana","Audio/Haptics/HapticsCombatFlaskEmptyMana.wav",7,1061158912,"",1,120,1058139013,1028443341
6,"HapticsCombatHitBig","Audio/Haptics/HapticsCombatHitBig.wav",9,1061158912,"",1,120,1057635697,1059648963
7,"HapticsCombatHitMedium","Audio/Haptics/HapticsCombatHitMedium.wav",8,1059481190,"",1,120,1057635697,1052938076
8,"HapticsCombatLifeHeartbeat","Audio/Haptics/HapticsCombatLifeHeartbeat.wav",100,1061158912,1,1,120,1057635697,1032805417
9,"HapticsSkillsMeleeSlams","Audio/Haptics/HapticsSkillsMeleeSlams.wav",4,1059481190,"",0,120,1057635697,1041865114
10,"HapticsSkillMeleeEarthQuake","Audio/Haptics/EarthquakeSlam.wav",5,1059481190,"",1,120,1057635697,1032805417
11,"HapticsSkillMeleeEarthQuake_AoE_3D","Audio/Haptics/HapticsSkillsMeleeSlams.wav",4,1065353216,"",0,120,1057635697,1040522936
12,"HapticsSkillShockwaveTotem_AoE_3D","Audio/Haptics/HapticsSkillsMeleeSlams.wav",4,1065353216,"",0,120,1057635697,1032805417
13,"HapticsSkillMeleePerfectStrike_charge","Audio/Haptics/PerfectStrike_Charge.wav",5,1061158912,1,1,120,1057635697,1032805417
14,"HapticsSkillMeleePerfectStrike_perfect","Audio/Haptics/PerfectStrike_Perfect.wav",5,1061158912,"",0,120,1057635697,1040522936
15,"HapticSkillMeleeLeapSlam","Audio/Haptics/LeapSlam_Slam.wav",4,1059481190,"",0,120,1057635697,1046562734
16,"HapticSkillVolcanicFissure","Audio/Haptics/VolcanicFissure_Slam.wav",4,1056964608,"",0,120,1065353216,1008981770
17,"HapticSkillSuperChargeSlam_charge","Audio/Haptics/SuperChargeSlam_charge.wav",5,1065353216,1,1,120,1065353216,1008981770
18,"HapticSkillSuperChargeSlam_normal","Audio/Haptics/SuperChargeSlam_Normal.wav",4,1056964608,"",0,120,1065353216,1008981770
19,"HapticSkillSuperChargeSlam_perfect","Audio/Haptics/SuperChargeSlam_Perfect.wav",4,1065353216,"",0,120,1065353216,1008981770
20,"HapticSkillStampede_steps","Audio/Haptics/Stampede_steps.wav",4,1059481190,"",0,120,1057635697,1032805417
21,"HapticSkillStampede_slam","Audio/Haptics/Stampede_slam.wav",4,1062836634,"",0,120,1057635697,1032805417
22,"HapticSkillStampede_detonations_AoE_3D","Audio/Haptics/Stampede_slam.wav",4,1059481190,"",0,120,1057635697,1046562734
23,"HapticsSkillMeleeSunder","Audio/Haptics/Sunder_Slam.wav",4,1059481190,"",0,120,1057635697,1032805417
24,"HapticsSkillMeleeShieldWall","Audio/Haptics/ShieldWall_slam.wav",4,1059481190,"",0,120,1057635697,1032805417
