"rownum","rid_0","rid_16","i32_32"
0,15332,15332,3
1,15333,15333,3
2,15329,15329,0
3,15330,15330,0
4,15331,15331,0
5,15334,15334,0
6,15335,213,0
7,15337,5837,0
8,15340,213,1
9,15341,213,2
10,15342,213,3
11,15343,11037,1
12,15261,11037,2
13,15344,167,1
14,15345,167,2
15,15346,15103,1
16,15347,15103,2
17,15353,15256,3
18,15351,15351,1
19,15352,15352,3
20,15319,15319,4
21,15320,15320,4
22,15321,15321,4
23,15348,15348,0
24,15349,15348,1
25,15350,15348,3
26,15336,15336,0
27,15338,15336,2
28,15339,15336,3
29,15262,15262,4
30,15354,15373,1
31,15355,15355,0
32,15356,15374,3
33,15364,15364,3
34,15365,15365,2
35,15366,15366,2
36,15367,15367,2
37,15394,15348,2
38,15399,15399,4
39,15398,15398,4
