"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32_32","i32_36"
0,"Marauder1","I am a warrior, raised to honour my Ancestors, to die with a weapon in my hand and the Karui Way in my blood. \r\n\r\nOriath chained me, made me its slave. For three years I have lived without my family, my pride, my Way. \r\n\r\nI welcome Exile. I welcome Wraeclast. Hear me, Ancestors! A slave stands behind you. A warrior stands before you. \r\n\r\nAnd Death walks at our side.","I am a warrior, raised to honour my Ancestors, to die with a weapon in my hand and the Karui Way in my blood. \r\n\r\nOriath chained me, made me its slave. For three years I have lived without my family, my pride, my Way. \r\n\r\nI welcome Exile. I welcome Wraeclast. Hear me, Ancestors! A slave stands behind you. A warrior stands before you. \r\n\r\nAnd Death walks at our side.","Ich bin ein Krieger, erzogen, meine Ahnen zu ehren, mit der Waffe in der Hand und dem Kodex der Karui in meinen Adern zu sterben.\r\n\r\nOriath legte mich in Ketten, machte mich zu seinem Sklaven. Drei Jahre lebte ich ohne meine Familie, meinen Stolz, meinen Kodex.\r\n\r\nIch begrüße das Exil. Ich begrüße Wraeclast. Hört mich, meine Ahnen! Ein Sklave steht hinter euch. Ein Krieger steht vor euch.\r\n\r\nUnd der Tod schreitet an unserer Seite.","俺は戦士だ。先祖を敬い、手には武器を持ち、血にはカルイの『道』を流して死ぬよう育てられた。\r\n\r\nオリアスは俺を囚え、奴隷とした。三年間、俺は家族の、誇りの、『道』のない生活を強いられた。\r\n\r\n追放は歓迎する。レイクラストを歓迎する。聞け、先祖たちよ！あなたたちの後ろに立つのは奴隷である。あなたたちの前に立つのは戦士である。\r\n\r\nそして我らと並び歩くのは死である。","나는 전사로서, 선조들의 명예를 드높이고 무기를 든 채로 카루이의 길을 따르다 죽기 위해 나섰다. \r\n\r\n오리아스는 나를 묶어 노예로 만들었다. 3년 동안 가족도, 자부심도, 나의 길도 잊은 채 살아야 했지. \r\n\r\n유배자가 되어 마주한 레이클라스트가 그래서 차라리 반갑다. 선조들이여! 내 말을 들어 주소서! 한 노예가 당신 곁에 섰습니다. 한 전사가 당신의 곁에 섰습니다. \r\n\r\n그리고 죽음이 우리와 함께 하나이다.","Sou um guerreiro criado para honrar meus Ancestrais, para morrer com uma arma na mão e o modo karui no sangue.\r\n \r\nOriath me acorrentou, me fez seu escravo. Passei três anos longe da minha família, do meu orgulho, do meu modo.\r\n \r\nAceito o exílio. Aceito Wraeclast. Ouçam, Ancestrais! Atrás de vocês tem um escravo. Diante de vocês... um guerreiro.\r\n \r\nE a morte anda ao nosso lado.","Я воин. С молоком матери я впитал почтение к предкам. Отец научил меня держать оружие и чтить Путь каруи.\r\n \r\nОриат отнял мою честь, а взамен подарил цепи. Три года я был рабом, вдали от семьи и Пути.\r\n \r\nЯ рад, что стал изгнанником. Я благодарен Рэкласту. Предки, услышьте мои слова! Я был рабом, но перед вами стоит воин.\r\n \r\nИ смерть ждёт часа в моих руках.","Soy un guerrero, educado para honrar a mis ancestros, para morir con un arma en la mano y la tradición karui en la sangre. \r\n\r\nOriath me encadenó, me hizo su esclavo. Durante tres años he vivido sin mi familia, mi orgullo, mi tradición. \r\n\r\nAcepto el exilio. Acepto Wraeclast. ¡Escuchen, ancestros! Un esclavo se alza detrás de ustedes. Un guerrero se alza ante ustedes. \r\n\r\nY la muerte camina a nuestro lado.","ข้า​คือ​นักรบ เติบโต​มา​เพื่อ​เชิดชู​เกียรติ​ของ​เหล่า​บรรพ​ชน เพื่อ​ตาย​ยาม​ที่​มี​อาวุธ​ใน​มือ​และ​มี​วิถี​คา​รุย​ใน​สาย​เลือด\r\n\r\nโอริอาท​ล่าม​โซ่​ข้า​เอา​ไว้ ทำให้​ข้า​กลาย​เป็น​ทาส กว่า​สาม​ปี​ที่​ข้า​ใช้​ชีวิต​อยู่​อย่าง​ไร้​ครอบครัว ไร้​ความ​ภาค​ภูมิ ไร้​วิถี\r\n\r\nข้า​ต้อนรับ​การ​ถูก​เนรเทศ ข้า​ต้อนรับ​เวร์แคลสท์ ฟัง​ข้า​เถิด บรรพ​ชน​ทั้ง​หลาย​! ทาส​คน​หนึ่ง​อยู่​เบื้อง​หลัง​ท่าน นักรบ​คน​หนึ่ง​อยู่​เบื้อง​หน้า​ท่าน\r\n\r\nและ​ความ​ตาย​ก็​เดิน​อยู่​เคียง​ข้าง​เรา","我是一名戰士，自幼被教導尊崇先祖，手握武器迎接死亡，讓卡魯之道流淌於我的血脈。\r\n奧瑞亞鎖住了我，把我變成奴隸。三年來，我失去了家人、失去了驕傲、失去了我的道路。\r\n我歡迎流放。我歡迎瓦爾克拉斯。先祖們，請聽我呼喚！你們身後站著的是奴隸，而你們面前站立的——是戰士。\r\n而死亡，則與我們並肩同行。","Audio/Dialogue/Character/Str/Intro/Ma_01_Intro.ogg","",10000,0
1,"Marauder2","","","","","","","","","","","Audio/Dialogue/Character/Str/Event/Ma_02.ogg","",10000,0
2,"Marauder3","The dead should remember their place.","Les morts ne devraient jamais oublier leur place.","Die Toten sollten nicht vergessen, wo sie hingehören.","死者は居場所を思い出すべきだ。","시체들에게 있어야 할 곳을 알려줘야겠군.","Os mortos deveriam saber onde ficar. ","Мёртвые должны знать своё место.","Los muertos deberían recordar su lugar.","คน​ตาย​ควร​อยู่​ใน​ที่​ของ​พวก​มัน","亡者應牢記其所屬之地。","Audio/Dialogue/Character/Str/Event/Ma_03.ogg","",10000,0
3,"Marauder4"," I am surrounded by living corpses and dying Oriathans. ","Je suis entouré de cadavres vivants et d'Oriathéens mourants."," Ich bin umgeben von wandelnden Leichen und sterbenden Oriathern. ","周りは生ける屍と死にゆくオリアス人ばかりだ。","살아난 시체와 죽은 오리아스인들 투성이군.","Estou cercado por cadáveres ambulantes e Oriathianos mortos. ","Я окружён живыми трупами и умирающими горожанами.","A mi alrededor los cadáveres caminan y los Oriathanos mueren.","ข้า​ถูก​ห้อมล้อม​ไป​ด้วย​ซากศพ​ที่​มี​ชีวิต​และ​ชาว​โอริอาท​ที่​กำลัง​ตาย","我的身邊盡是殭屍和垂死的奧瑞亞人。","Audio/Dialogue/Character/Str/Event/Ma_04.ogg","",10000,0
4,"Marauder5","Show me the way, Kaom.","Montre-moi la voie, Kaom.","Zeigt mir den Weg, Kaom.","道を示せ、カオム。","카옴이시여, 길을 보여주소서.","Mostre-me o caminho, Kaom.","Каом, укажи мне путь.","Kaom, muéstrame el camino.","เผย​ทาง​ให้​ข้า​ด้วย คอมม์","指引我未來的方向吧，岡姆。","Audio/Dialogue/Character/Str/Event/Ma_05.ogg","",10000,0
5,"Marauder6","Dominus took my home, my family.","Dominus m'a pris mon foyer, ma famille.","Dominus hat mir Heimat und Familie genommen.","ドミナスは我が家を、我が家族を奪った。","도미누스가 내 고향과 가족을 앗아갔지.","Dominus tomou meu lar, minha família.","Владыка лишил меня семьи и дома.","Dóminus me arrebató mi hogar y mi familia.","โดมินัส​มัน​เอา​ไป​ทั้ง​บ้าน​และ​ครอบครัว​ข้า","神主奪我家園，殺我家人。","Audio/Dialogue/Character/Str/Event/Ma_06.ogg","",10000,0
6,"Marauder7","This is not what the elders told us.","Ce n'est pas ce que les anciens nous ont dit.","So haben es uns die Ältesten nicht gelehrt.","長老達から聞いていた話と違う。","조상들께서 말씀하신 거랑은 다른데.","Não foi isso que os anciãos contaram.","Об этом старейшие не говорили.","Esto no es lo que los ancianos nos dijeron.","นี่​ไม่ใช่​สิ่ง​ที่​ผู้เฒ่า​ได้​กล่าว​ไว้","長老們告訴我們的並非如此。","Audio/Dialogue/Character/Str/Event/Ma_07.ogg","",10000,0
7,"Marauder8","A slave is not a man. A slave is not even worthy of death.","Un esclave n'est pas un homme. Un esclave n'est même pas digne de la mort.","Ein Sklave ist kein Mensch. Ein Sklave ist nicht einmal des Todes würdig.","奴隷は人ではない。奴隷には死ぬ価値もない。","노예는 사람도 아냐. 죽을 자격도 없다.","Um escravo não é um homem. Um escravo não merece nem a morte. ","Раб — не человек. Он не заслуживает даже смерти.","Un esclavo no es un hombre. Un esclavo ni siquiera merece la muerte.","ทาส​มิใช่​มนุษย์ ทาส​มิ​ควร​ค่า​กระทั่ง​ความ​ตาย​เสีย​ด้วย​ซ้ำ","奴隸根本不算是人。只是苟延殘喘，求死不得。","Audio/Dialogue/Character/Str/Event/Ma_08.ogg","",10000,0
8,"Marauder9","Your spirit is the plaything of the Ancestors, slavemaster.","Ton esprit est désormais le jouet des Ancêtres, esclavagiste.","Euer Geist ist nur das Spielzeug der Ahnen, Sklavenmeister.","奴隷主よ、お前の魂は先祖たちの遊び道具だ。","죽어서도 네 영혼은 선조들의 장난감일 뿐이다, 노예상.","Agora seu espírito será um brinquedo para os Ancestrais, senhorzinho.","Надсмотрщик, твой дух стал игрушкой предков.","Tu espíritu es el juguete de los Ancestros, esclavista.","วิญญาณ​เจ้า​เป็น​ของ​เล่น​ของ​เหล่าบรรพชน นาย​ทาส","奴隸之主，成為先祖的玩物吧！","Audio/Dialogue/Character/Str/Event/Ma_09.ogg","",10000,0
9,"Marauder10","Hinekora, Mother of the Dead, is this your land I walk upon?","Hinekora, Mère des morts, est-ce vos terres que j'arpente ?","Hinekora, Mutter der Toten, ist dies Euer Land, auf dem ich wandele?","死者の母ヒネコラよ、私が歩くのは其方の地なのか？","죽음의 어머니 히네코라여, 제가 서있는 이곳이 당신의 대지입니까?","Hinekora, Mãe dos Mortos, a terra em que ando é sua?","Мать мёртвых Хинекора, не в твою ли землю я зашёл?","Hinekora, Madre de los Muertos, ¿es tu tierra la que estoy atravesando?","ฮิเนโครา พระแม่มรณา ข้า​เดิน​อยู่​บน​แผ่น​ดิน​ของ​ท่าน​อยู่​หรือ​ไม่​?","我是否闖入你的國度，亡者之母悉妮蔻拉？","Audio/Dialogue/Character/Str/Event/Ma_10.ogg","",10000,0
10,"Marauder11","When bones walk, they are not Karui. ","Quand les ossements se relèvent, ce ne sont plus des Karuis. ","Wenn Gebeine durch die Gegend wandeln, sind es keine Karui. ","骨が歩く時、彼らはカルイではない。","죽음에서 일어난 카루이는 카루이가 아니다.","Esqueletos errantes não são Karui.","Ходячие кости – больше не каруи.","Cuando los huesos caminan, no son Karui.","ยาม​ที่​โครง​กระดูก​เดิน​ได้ พวก​มัน​ก็​ไม่ใช่​ชาว​คารุย​อีก​ต่อ​ไป","那些骨兵只是行屍走肉，不配為卡魯族人。","Audio/Dialogue/Character/Str/Event/Ma_11.ogg","",10000,0
11,"Marauder12","The 'black spirit'. Lavianga speaks of Kitava, Father of Corruption.","L'esprit noir. Lavianga parle de Kitava, Père de la corruption.","Der \""schwarze Geist\"". Lavianga spricht von Kitava, dem Vater der Verderbtheit.","「黒き魂」か。ラヴィアンガは腐敗の父キタヴァのことを言っている。","'검은 영혼'. 라비앙가는 타락의 아버지 키타바를 두고 그렇게 부르더군.","O \""espírito sombrio\"". Lavianga fala sobre Kitava, Pai da Corrupção.","«Чёрный дух». Лавианга сказал о Китаве, Отце порчи.","El \""espíritu negro\"". Lavianga habla de Kitava, el Padre de la Corrupción.","​'วิญญาณ​ที่​ชั่ว​ร้าย' นั่น ลาเวียนกา​พูด​ถึง​คิทาวา พระบิดา​แห่ง​มลทิน","「暗靈」。拉維安加是如此形容腐化之父奇塔弗。","Audio/Dialogue/Character/Str/Event/Ma_12.ogg","",10000,0
12,"Marauder13","Kaom bowed to Kitava. He betrayed us!","Kaom s'est soumis à Kitava. Il nous a trahis !","Kaom hat sich vor Kitava verneigt. Er hat uns verraten!","カオムはキタヴァに頭を下げた。我らを裏切ったのだ！","카옴은 키타바에게 무릎을 꿇었지. 우리를 배신한 것이다!","Kaom se ajoelhava perante Kitava. Ele nos traiu!","Каом поклонился Китаве. Он предал нас!","Kaom se inclinó ante Kitava. ¡Nos traicionó!","คอมม์​ก้ม​หัว​ให้​คิทาวา เขา​หัก​หลัง​พวก​เรา​!","岡姆向奇塔弗鞠躬臣服。他背叛了我們！","Audio/Dialogue/Character/Str/Event/Ma_13.ogg","",10000,0
