"rownum","Id","i32_8","Shop"
0,"Cadiro",-1,1
1,"Einhar",-1,2
2,"EndlessDelve",-1,5
3,"EndlessHeistContracts",23,10
4,"ExpeditionDealerArmour",-1,6
5,"ExpeditionDealerWeapon",-1,7
6,"ExpeditionDealerAccessory",-1,8
7,"ExpeditionSaga",-1,9
8,"Kirac",-1,3
9,"Whakano",22,4
10,"G1_weapons",0,12
11,"G1_Magic",1,13
12,"G1_Gamble",-1,14
13,"G2_Weapons",2,15
14,"G2_Magic",3,16
15,"G2_Gamble",-1,17
16,"G3_Weapons",4,18
17,"G3_Magic",5,19
18,"G3_Gamble",-1,20
19,"G4_Magic",6,22
20,"G4_Weapons",7,21
21,"G4_Gamble",-1,23
22,"G5_Weapons",8,24
23,"G5_Magic",9,25
24,"G5_Gamble",-1,26
25,"M1_Gamble",-1,30
26,"M2_Gamble",-1,31
27,"M3_Gamble",-1,32
28,"G6_Weapons",10,27
29,"G6_Magic",11,28
30,"G6_Gamble",-1,29
31,"Endgame_Weapons",12,33
32,"Endgame_Magic",13,34
33,"Endgame_Gamble",-1,35
34,"Endgame_Maps",25,36
35,"OutskirtsVendor",14,37
36,"DepthVendor",15,38
37,"FriendlyCauldronCrone",24,39
38,"EndgameWanderingCaster",16,40
39,"EndgameWanderingBlacksmith",17,41
40,"EndgameWanderingJeweler",18,42
41,"EndgameWanderingUniques",19,43
42,"CrueltySupporterPack_Gamble",-1,44
43,"RuneVendor",26,45
44,"InterludeCasterVendor",27,46
45,"A4TwilightCasterVendor",28,47
46,"A4KaruiWeaponVendor",29,48
47,"A5GladiatorVendor",-1,49
48,"P3UniqueVendor",-1,50
49,"ChayulaFarmerHub",-1,51
50,"FarrowRuneGamble",-1,52
51,"KaimanaJewellery",30,53
