"rownum","BaseItemType","AddedMods","NegativeWeight_Tags","NegativeWeight_Values","ForcedAddMods","ForbiddenDelveCraftingTags","AllowedDelveCraftingTags","CanMirrorItem","CorruptedEssenceChance","CanImproveQuality","HasLuckyRolls","bool_119","SellPrice_Mods","CanRollWhiteSockets","Weight_Tags","Weight_Values","DelveCraftingModifierDescriptions","BlockedDelveCraftingModifierDescriptions","bool_201","bool_202","[i32]_203","[i32]_219"
0,228,[],[311],[0],[],[],[],"",0,"","","",[],"",[310],[1000],"[11,29]","[12,57]","","",[200],[0]
1,229,[],[310],[0],[],[],[],"",0,"","","",[],"",[311],[1000],"[12,28]","[11,51]","","",[200],[0]
2,230,[],[314],[0],[],[],[],"",0,"","","",[],"",[312],[1000],"[13,27]","[10,45]","","",[200],[0]
3,231,[],[313],[0],[],[],[],"",0,"","","",[],"",[314],[1000],"[10,31]","[14,58]","","",[200],[0]
4,232,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[1000],"[14,30]","[13,48]","","",[200],[0]
5,233,[],[318],[0],[],[],[],"",0,"","","",[],"",[317],[1000],"[17,33]","[18,53]","","",[200],[0]
6,234,[],[317],[0],[],[],[],"",0,"","","",[],"",[318],[1000],"[18,32]","[17,49]","","",[200],[0]
7,235,[],[319],[0],[],[],[],"",0,"","","",[],"","[316,315]","[1000,1000]","[16,34]","[15,52]","","","[200,200]",[0]
8,236,[],"[316,315]","[0,0]",[],[],[],"",0,"","","",[],"",[319],[600],"[15,35]","[16,63]","","",[150],"[0,0]"
9,237,[],[320],[15],[],[],[],"",0,"","","",[],"",[34],[1000],"[19,26]",[25],"","",[200],[15]
10,238,[],[34],[15],[],[],[],"",0,"","","",[],"",[320],[1000],"[20,25]",[26],"","",[200],[15]
11,239,[],[325],[0],[],[],[],"",0,"","","",[],"",[324],[1000],"[21,37]","[22,43]","","",[200],[0]
12,240,[],[324],[0],[],[],[],"",0,"","","",[],"",[325],[1000],"[22,36]","[21,47]","","",[200],[0]
13,241,[],[],[],[],[],[],"",0,"","","",[],"","[321,322,588]","[1000,1000,1000]",[23],[],"","","[200,200,200]",[]
14,242,[],[],[],[],[],"[0,2,5,6,4,3,7]","",0,1,"","",[],"",[],[],[9],[],"","",[],[]
15,243,[],[582],[0],[],[],[],"",0,"","","",[],"",[573],[1000],"[39,42]","[41,61]","","",[200],[0]
16,244,[],[573],[0],[],[],[],"",0,"","","",[],"",[582],[1000],"[41,40]","[39,56]","","",[200],[0]
17,245,[],[],[],[],[],[],"",0,"","","",[],"",[27],[1000],[24],[],"","",[200],[]
18,246,[],[],[],[],"[13,14,15]",[],"",0,"","","",[],"",[],[],[38],[],1,"",[],[]
19,247,[],[],[],[],[],"[0,4,6,5,2]","",0,"","","",[],"",[],[],[5],[],"","",[],[]
20,248,[],[],[],[],[],[],1,0,"","","",[],"",[],[],[4],[],"","",[],[]
21,249,[],[],[],[],[],"[0,2,5,6,4,3,8,9,10,11]","",100,"","","",[],"",[],[],[3],[],"","",[],[]
22,250,[],[],[],[],[],[],"",10,"","","",[],"",[],[],[2],[],"",1,[],[]
23,251,[],[],[],[],[],[],"",0,"","",1,[],"",[],[],[1],[],"","",[],[]
24,252,[],[],[],[],[],[],"",0,"","","",[],"",[],[],[0],[],"","",[],[]
25,1380,[],[581],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,64]","[44,73]","","",[1000],[0]
26,1381,[],[314],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,27]","[45,10]","","",[1000],[0]
27,1382,[],[321],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,65]","[46,74]","","",[1000],[0]
28,1383,[],[324],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,36]","[47,21]","","",[1000],[0]
29,1384,[],[312],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,30]","[48,13]","","",[1000],[0]
30,1385,[],[317],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,32]","[49,17]","","",[1000],[0]
31,1386,[],[27],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,66]","[50,75]","","",[1000],[0]
32,1387,[],[310],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,28]","[51,11]","","",[1000],[0]
33,1388,[],[319],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,34]","[52,15]","","",[1000],[0]
34,1389,[],[318],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,33]","[53,18]","","",[1000],[0]
35,1390,[],[580],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,67]","[54,76]","","",[1000],[0]
36,1391,[],[588],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,68]","[55,77]","","",[1000],[0]
37,1392,[],[573],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,40]","[56,39]","","",[1000],[0]
38,1393,[],[311],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,29]","[57,12]","","",[1000],[0]
39,1394,[],[313],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,31]","[58,14]","","",[1000],[0]
40,1395,[],[34],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,69]","[59,19,25]","","",[1000],[0]
41,1396,[],[322],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,70]","[60,78]","","",[1000],[0]
42,1397,[],[582],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,42]","[61,41]","","",[1000],[0]
43,1398,[],[320],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,71]","[62,20,26]","","",[1000],[0]
44,1399,[],[584],[0],[],[],[],"",0,"","","",[],"",[325],[3000],"[43,72]","[63,79,16]","","",[1000],[0]
45,1400,[],[325],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,37]","[43,22]","","",[1000],[0]
46,1401,[],[314],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,27]","[45,10]","","",[1000],[0]
47,1402,[],[321],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,65]","[46,74]","","",[1000],[0]
48,1403,[],[324],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,36]","[47,21]","","",[1000],[0]
49,1404,[],[312],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,30]","[48,13]","","",[1000],[0]
50,1405,[],[317],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,32]","[49,17]","","",[1000],[0]
51,1406,[],[27],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,66]","[50,75]","","",[1000],[0]
52,1407,[],[310],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,28]","[51,11]","","",[1000],[0]
53,1408,[],[319],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,34]","[52,15]","","",[1000],[0]
54,1409,[],[318],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,33]","[53,18]","","",[1000],[0]
55,1410,[],[580],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,67]","[54,76]","","",[1000],[0]
56,1411,[],[588],[0],[],[],[],"",0,"","","",[],"",[581],[3000],"[44,68]","[55,77]","","",[1000],[0]
