"rownum","Type","Variant"
0,0,300
1,0,301
2,0,302
3,1,303
4,1,304
5,1,305
6,3,7943
7,3,7944
8,4,7864
9,4,7865
10,5,7869
11,5,7870
12,5,7871
13,5,7872
14,6,8597
15,6,8598
16,7,8600
17,7,8601
18,8,8603
19,8,8604
20,9,8111
21,9,8112
22,9,8113
23,9,8114
24,10,8433
25,10,8434
26,11,8442
27,11,8443
28,11,8444
29,12,8062
30,12,8063
31,12,8064
32,12,8065
33,2,8357
34,2,8358
35,2,8359
36,2,8360
37,13,8075
38,13,8076
39,13,8077
40,14,8067
41,14,8068
42,14,8069
43,15,7854
44,15,7855
45,15,7856
46,16,8742
47,16,8743
48,16,8744
49,17,8749
50,17,8750
51,17,8751
52,18,8494
53,18,8495
54,18,8496
55,18,8497
56,18,8498
57,18,8499
58,18,8500
59,18,8501
60,19,8415
61,19,8416
62,20,8391
63,20,8392
64,20,8393
65,21,8395
66,21,8396
67,21,8397
68,22,8503
69,22,8504
70,22,8505
71,22,8506
72,23,8319
73,23,8320
74,24,8697
75,24,8698
76,24,8699
77,24,8700
78,25,8466
79,25,8467
80,25,8468
81,26,8471
82,26,8472
83,26,8473
84,27,9718
85,27,9719
86,27,9720
87,27,9721
88,27,9722
89,27,9723
90,28,8786
91,28,8787
92,29,7981
93,29,7982
94,29,7983
95,29,7984
96,29,7985
97,30,8508
98,30,8509
99,30,8510
100,30,8511
101,30,8512
102,30,8513
103,30,8514
104,31,9726
105,31,9727
106,31,9728
107,65,8843
108,65,8844
109,66,8857
110,66,8858
111,66,8859
112,66,8860
113,67,8863
114,67,8864
115,67,8865
116,67,8866
117,67,8867
118,68,8870
119,68,8871
120,68,8872
121,68,8873
122,69,8904
123,69,8905
124,32,8938
125,32,8939
126,32,8940
127,33,8945
128,33,8946
129,33,8947
130,34,8963
131,34,8964
132,35,8966
133,35,8967
134,35,8968
135,35,8969
136,36,8971
137,36,8972
138,36,8973
139,36,8974
140,37,8980
141,37,8981
142,37,8982
143,37,8983
144,38,8993
145,38,8994
146,39,9001
147,39,9002
148,39,9003
149,40,9030
150,40,9031
151,40,9032
152,41,9034
153,41,9035
154,42,9037
155,42,9038
156,43,9040
157,43,9041
158,44,9049
159,44,9050
160,45,9055
161,45,9056
162,45,9057
163,46,9061
164,46,9062
165,46,9063
166,47,9069
167,47,9070
168,47,9071
169,48,9076
170,48,9075
171,49,9084
172,49,9085
173,50,9097
174,50,9098
175,51,9103
176,51,9104
177,52,9106
178,52,9107
179,53,9109
180,53,9110
181,54,9115
182,54,9116
183,54,9117
184,55,9119
185,55,9120
186,55,9121
187,56,9123
188,56,9124
189,57,9136
190,57,9137
191,58,9141
192,58,9142
193,59,9146
194,59,9147
195,60,9155
196,60,9156
197,61,9160
198,61,9161
199,62,9165
200,62,9166
201,63,9172
202,63,9173
203,63,9174
204,64,9176
205,64,9177
206,70,7974
207,70,7975
208,70,7976
209,71,7851
210,71,7852
211,72,8621
212,72,8622
213,72,8623
214,73,8634
215,73,8635
216,73,8636
217,74,8578
218,74,8579
219,74,8580
220,75,8647
221,75,8648
222,75,8649
223,76,8660
224,76,8661
225,76,8662
226,77,8673
227,77,8674
228,77,8675
229,78,8399
230,78,8400
231,79,7886
232,79,7887
233,79,7888
234,79,7889
235,79,7890
236,79,7891
237,80,7893
238,80,7894
239,80,7895
240,81,7900
241,81,7901
242,81,7902
243,82,7904
244,82,7905
245,83,7907
246,83,7908
247,84,7910
248,84,7911
