"rownum","Id","ClientString","bool_24","bool_25"
0,"PickUpToCursor",2859,"",""
1,"PlaceFromCursor",2908,"",""
2,"Equip",2899,"",1
3,"UnEquip",2901,"",1
4,"Identify",2913,"",1
5,"Use",2893,"",1
6,"StartApplyMode",2893,"",1
7,"ApplyOnItem",7306,"",1
8,"EndApplyMode",7241,"",""
9,"Unstack",2896,"",""
10,"MoveToStash",2894,"",1
11,"TakeNPCItem",2895,"",1
12,"Buy",2909,"",1
13,"Sell",2910,"",""
14,"Discard",2898,"",""
15,"CorruptItem",6815,"",1
16,"CorruptGem",6815,"",1
17,"ApplyToWorldObject",2865,"",1
18,"BulkQuickMove",8642,"",""
19,"QuickMove",2916,"",""
20,"ReturnCursorHeldItem",7242,"",""
21,"BindToActionBar",2872,"",""
22,"EquipReplace",7251,"",""
23,"ReclaimSellItem",3147,"",""
24,"SocketSkillGem",2903,"",1
25,"LevelSkillGem",7272,"",""
26,"CraftUncutSkillGem",7301,"",1
27,"CraftUncutSupportGem",7302,"",1
28,"ChangeShownWeaponSet",7305,"",""
29,"ApplyOnItemOnce",2865,"",1
30,"RitualDeferItem",5661,"",""
31,"RitualUndeferItem",9265,"",""
32,"Disenchant",1200,"",1
33,"ShowUseItemFailedError",1,1,""
34,"CraftUncutReservationGem",7301,"",1
35,"TransferToOtherCouchCoopPlayer",7531,"",""
36,"OfferInTrade",4083,"",""
37,"LinkItemToChat",5186,"",""
38,"ShowQuest",7625,"",1
39,"QuickMoveActionButton",2916,"",1
40,"SalvageItem",7932,"",1
41,"OpenItemNoteEditor",3665,"",1
42,"PlaceJewelInEquipment",8432,"",""
43,"PickUpJewelFromEquipment",2859,"",""
44,"ManageEquipmentSockets",2902,"",""
45,"EndManageEquipmentSockets",112,"",""
46,"PlaceSingleFromCursor",8451,"",""
47,"CancelApplyMode",7241,"",""
48,"ViewTrialProgress",8455,"",""
49,"ApplyApplicableMTX",2865,"",1
50,"ReclaimItemSkin",5181,"",1
51,"PropagateEquipment",8529,"",""
52,"CloseStashFolderSubtab",485,"",""
53,"StealItem",5925,"",1
54,"SetActiveWeaponSet",2864,"",""
55,"CycleTalismanForms",9024,"",1
56,"ListForSale",9186,"",1
57,"ChangeApplyItem",9192,"",""
58,"OpenBlightCraftingWindow",9199,"",1
59,"ETradeMarketPriceCheck",9240,"",""
60,"InsertIntoGraphicalItemReceptacleDisplay",2893,"",""
