"rownum","Id","ObjectiveText","ObjectiveText (French)","ObjectiveText (German)","ObjectiveText (Japanese)","ObjectiveText (Korean)","ObjectiveText (Portuguese)","ObjectiveText (Russian)","ObjectiveText (Spanish)","ObjectiveText (Thai)","ObjectiveText (Traditional Chinese)","CompletionText","CompletionText (French)","CompletionText (German)","CompletionText (Japanese)","CompletionText (Korean)","CompletionText (Portuguese)","CompletionText (Russian)","CompletionText (Spanish)","CompletionText (Thai)","CompletionText (Traditional Chinese)","ContentIcon","MiniMapIcon"
0,"MapBoss","Defeat the [MapBoss|Map Boss]","Terrasser le [MapBoss|Boss de Carte]","Besiegt den [MapBoss|Kartenboss]","[MapBoss|マップボス]を倒せ","[MapBoss|지도 보스] 처치","Derrote o [MapBoss|Chefe do Mapa]","Победите [MapBoss|босса карты]","Derrota al [MapBoss|jefe del mapa]","สยบ[MapBoss|บอสประจำแผนที่]","擊敗 [MapBoss|地圖頭目]","[MapBoss|Map Boss] Defeated","[Map|Boss de Carte] vaincu","[MapBoss|Kartenbosse] besiegt","[MapBoss|マップボス]を倒した","[MapBoss|지도 보스] 처치 완료","[MapBoss|Chefe do Mapa] Derrotado","[MapBoss|Босс карты] побеждён","[MapBoss|Jefe de mapa] derrotado","[MapBoss|บอสประจำแผนที่]ถูกสยบแล้ว","已擊敗[MapBoss|地圖頭目]","Art/Textures/Interface/2D/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentMapBoss.dds",""
1,"CorruptedNexus","Defeat the [CorruptedBoss|Corrupted Boss]","Terrasser le [CorruptedBoss|Boss corrompu]","Besiegt den [CorruptedBoss|Verderbten Boss]","[CorruptedBoss|コラプトボス]を倒せ","[CorruptedBoss|타락한 보스] 처치","Derrote o [CorruptedBoss|Chefe Corrompido]","Победите [CorruptedBoss|осквернённого босса]","Derrota al [CorruptedBoss|jefe corrupto]","สยบ[CorruptedBoss|บอสที่มีมลทิน]","擊敗[CorruptedBoss|腐化頭目]","[CorruptedNexus|Corrupted Nexus] Cleansed","[CorruptedNexus|Nexus corrompu] purifié","[CorruptedNexus|Verderbten Nexus] gereinigt","[CorruptedBoss|コラプトボス]を倒した","[CorruptedNexus|타락한 연결부] 정화 완료","[CorruptedNexus|Nexus Corrompido] Purificado","[CorruptedNexus|Средоточие Порчи] очищено","[CorruptedNexus|Nexo corrupto] purificado","[CorruptedNexus|ศูนย์กลางมลทิน]ถูกชำระล้างแล้ว","已淨化[CorruptedNexus|腐化聖域]","Art/Textures/Interface/2D/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentCorruptionNexus.dds",""
2,"Checkpoints","Activate all [CheckpointMaps|Checkpoints]","Activer tous les [CheckpointMaps|Points de contrôle]","Aktiviert alle [CheckpointMaps|Kontrollpunkte]","全ての[CheckpointMaps|チェックポイント]をアクティベートせよ","[CheckpointMaps|체크포인트] 모두 활성화하기","Ative todos os [CheckpointMaps|pontos de controle]","Активируйте все [CheckpointMaps|контрольные точки]","Activa todos los [CheckpointMaps|puntos de control]","เปิด[CheckpointMaps|เช็คพอยน์]ทั้งหมด","啟用所有 [CheckpointMaps|檢查點]","All [CheckpointMaps|Checkpoints] Activated","Tous les [CheckpointMaps|Points de contrôle] ont été activés","Alle [CheckpointMaps|Kontrollpunkte] aktiviert","全ての[CheckpointMaps|チェックポイント]をアクティベートした","[CheckpointMaps|체크포인트] 모두 활성화함","Ativou todos os [CheckpointMaps|pontos de controle]","Все [CheckpointMaps|контрольные точки] активированы","Todos los [CheckpointMaps|puntos de control] activados","[CheckpointMaps|เช็คพอยน์]ทั้งหมดถูกเปิดแล้ว","已啟用所有 [CheckpointMaps|檢查點]","Art/Textures/Interface/2D/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentCheckpoint.dds",""
3,"RareMonsters","Defeat all Rare Monsters","Terrasser tous les monstres Rares","Besiegt alle seltenen Monster","全てのレアモンスターを倒せ","Defeat all Rare Monsters","Derrote todos os monstros raros","Победите всех редких монстров","Defeat all Rare Monsters","สยบมอนสเตอร์แรร์ทั้งหมด","擊敗所有稀有怪物","All Rare Monsters Defeated","Tous les monstres Rares ont été vaincus","Alle seltenen Monster besiegt","全てのレアモンスターを倒した","희귀 몬스터 모두 처치함","Derrotou todos os monstros raros","Все редкие монстры побеждены","Todos los monstruos raros derrotados","มอนสเตอร์แรร์ทั้งหมดถูกสยบแล้ว","已擊敗所有稀有怪物","Art/Textures/Interface/2D/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentRareMonster.dds",""
4,"Breach","Open all [ContainsBreach|Unstable Breaches]","Ouvrir toutes les [ContainsBreach|Brèches instables]","Öffnet alle [ContainsBreach|Instabilen Risse]","[ContainsBreach|不安定なブリーチ]を開け","[ContainsBreach|불안정한 균열] 모두 열기","Abra todas as [ContainsBreach|Fendas Instáveis]","Откройте все [ContainsBreach|нестабильные Разломы]","Abre todas las [ContainsBreach|fisuras inestables]","เปิด[ContainsBreach|บรีชที่ไม่เสถียร]ทั้งหมด","開啟所有[ContainsBreach|不穩定的裂痕]","All [ContainsBreach|Unstable Breaches] Opened","Toutes les [ContainsBreach|Brèches instables] ont été ouvertes","Alle [ContainsBreach|Instabilen Risse] geöffnet","[ContainsBreach|不安定なブリーチ]を開いた","[ContainsBreach|불안정한 균열]을 모두 열었음","Abriu todas as [ContainsBreach|Fendas Instáveis]","Все [ContainsBreach|нестабильные Разломы] открыты","Todas las [ContainsBreach|fisuras inestables] abiertas","[ContainsBreach|บรีชที่ไม่เสถียร]ทั้งหมดถูกเปิดแล้ว","已開啟所有[ContainsBreach|不穩定的裂痕]","Art/Textures/Interface/2D/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentBreach.dds",29
5,"Expedition","Complete the [ContainsExpedition|Kalguuran Expedition]","Terminer l'[ContainsExpedition|Expédition kalguurienne]","Schließt die [ContainsExpedition|Expedition der Kalguur] ab","[ContainsExpedition|カルグールのエクスペディション]を完了せよ","[ContainsExpedition|칼구르 탐험] 완료","Conclua a [ContainsExpedition|Expedição Kalguurana]","Завершите [ContainsExpedition|калгууранскую экспедицию]","Completa la [ContainsExpedition|expedición kalgurana]","ผ่าน[ContainsExpedition|กองสำรวจคาลเกอร์]ให้สำเร็จ","完成[ContainsExpedition|卡爾葛探險]","[ContainsExpedition|Expedition] Complete","[ContainsExpedition|Expédition] terminée","[ContainsExpedition|Expedition] abgeschlossen","[ContainsExpedition|カルグールのエクスペディション]を完了した","[ContainsExpedition|탐험] 완료","[ContainsExpedition|Expedição] Concluída","[ContainsExpedition|Экспедиция] завершена","[ContainsExpedition|Expedición] completada","[ContainsExpedition|กองสำรวจ]สำเร็จแล้ว","已完成[ContainsExpedition|卡爾葛探險]","Art/Textures/Interface/2D/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentExpedition.dds",576
6,"Delirium","Activate the [ContainsDelirium|Delirium Mirror]","Activer le [ContainsDelirium|Miroir du Délire]","Aktiviert den [ContainsDelirium|Spiegel des Deliriums]","[ContainsDelirium|デリリウムの鏡]をアクティベートせよ","[ContainsDelirium|환영 거울] 활성화","Ative todos os [ContainsDelirium|Espelhos de Delírio]","Активируйте [ContainsDelirium|Зеркало Делириума]","Activa el [ContainsDelirium|espejo de delirio]","เปิด[ContainsDelirium|กระจกเดลิเรียม]","開啟[ContainsDelirium|譫妄之鏡]","[ContainsDelirium|Delirium] Mirror Activated","Miroir du [ContainsDelirium|Délire] activé","Spiegel des [ContainsDelirium|Deliriums] aktiviert","[ContainsDelirium|デリリウムの鏡]をアクティベートした","[ContainsDelirium|환영 거울] 활성화함","Ativou todos os [ContainsDelirium|Espelhos de Delírio]","Зеркало [ContainsDelirium|Делириума] активировано","Espejo de [ContainsDelirium|delirio] activado","เปิด[ContainsDelirium|กระจกเดลิเรียม]แล้ว","已開啟[ContainsDelirium|譫妄之鏡]","Art/Textures/Interface/2D/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentDelirium.dds",211
7,"Ritual","Complete all [ContainsRitual|Ritual Altars]","Terminer tous les [ContainsRitual|Autels de Rituel]","Schließt alle [ContainsRitual|Ritualaltäre] ab","全ての[ContainsRitual|リチュアルの祭壇]を完了せよ","[ContainsRitual|의식 제단] 모두 완료","Conclua todos os [ContainsRitual|Altares Ritualísticos]","Завершите все [ContainsRitual|ритуальные алтари]","Completa todos los [ContainsRitual|altares de ritual]","ผ่าน[ContainsRitual|แท่นพิธีกรรม]ทั้งหมดให้สำเร็จ","完成所有[ContainsRitual|祭祀神壇]","All [ContainsRitual|Rituals] Complete","Tous les [ContainsRitual|Rituels] ont été terminés","Alle [ContainsRitual|Rituale] abgeschlossen","全ての[ContainsRitual|リチュアルの祭壇]を完了した","[ContainsRitual|의식] 모두 완료함","Concluiu todos os [ContainsRitual|Rituais]","Все [ContainsRitual|ритуалы] завершены","Todos los [ContainsRitual|rituales] completados","[ContainsRitual|พิธีกรรม]ทั้งหมดสำเร็จแล้ว","已完成所有[ContainsRitual|祭祀神壇]","Art/Textures/Interface/2D/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentRitual.dds",568
8,"Abyss","Complete all [ContainsAbyss|Abysses]","Terminer tous les [ContainsAbyss|Abysses]","Schließt alle [ContainsAbyss|Abgründe] ab","全ての[ContainsAbyss|アビス]を完了せよ","[ContainsAbyss|심연] 모두 완료","Conclua todos os [ContainsAbyss|Abismos]","Завершите все [ContainsAbyss|Бездны]","Completa todos los [ContainsAbyss|abismos]","ผ่าน[ContainsAbyss|อะบิส]ทั้งหมดให้สำเร็จ","完成所有[ContainsAbyss|深淵]","All [ContainsAbyss|Abysses] Complete","Tous les [ContainsAbyss|Abysses] ont été terminés","Alle [ContainsAbyss|Abgründe] abgeschlossen","全ての[ContainsAbyss|アビス]を完了した","[ContainsAbyss|심연] 모두 완료함","Concluiu todos os [ContainsAbyss|Abismos]","Все [ContainsAbyss|Бездны] завершены","Todos los [ContainsAbyss|abismos] completados","[ContainsAbyss|อะบิส]ทั้งหมดสำเร็จแล้ว","已完成所有[ContainsAbyss|深淵]","Art/Textures/Interface/2D/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentAbyss.dds",889
9,"AbyssDepths","Complete the Abyssal Depths","Complete the Abyssal Depths","Schließt alle Abgründigen Tiefen ab","アビスの深淵を完了せよ","심연 지하 완료하기","Conclua a Profundeza Abissal","Завершите Глубины Бездны","Completa las profundidades abisales","ผ่านเบื้องลึกอะบิสให้สำเร็จ","完成無盡深淵","Abyssal Depths Complete","Abyssal Depths Complete","Alle Abgründigen Tiefen abgeschlossen","アビスの深淵を完了した","심연 지하 완료","Profundezas Abissais Concluídas","Глубины Бездны завершены","Profundidades abisales completadas","เบื้องลึกอะบิสสำเร็จแล้ว","已完成無盡深淵","Art/Textures/Interface/2D/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentAbyssalDepths.dds",""
