"rownum","BaseForm","ShapeShiftTransform","Pose","f32_40","Animation","bool_60","bool_61","bool_62"
0,0,1,"Standing",0.225,902,"","",""
1,0,2,"Standing",0.225,904,"","",""
2,0,3,"default",1,664,1,"",""
3,0,4,"default",0.225,905,"","",""
4,0,5,"default",0.225,"","","",""
5,0,6,"default",0.225,"",1,"",""
6,1,0,"default",0.225,951,"","",""
7,1,2,"Standing",0.225,"","","",""
8,1,3,"default",0.225,664,"","",""
9,1,4,"default",0.225,"","","",""
10,1,5,"default",0.225,"","","",""
11,1,6,"default",0.225,"",1,"",""
12,2,0,"default",0.225,951,"","",""
13,2,1,"Standing",0.225,"","","",""
14,2,3,"default",0.225,664,"","",""
15,2,4,"default",0.225,"","","",""
16,2,5,"default",0.225,"","","",""
17,2,6,"default",0.225,"",1,"",""
18,3,0,"default",1,665,1,"",""
19,3,1,"Standing",0.225,144,"","",""
20,3,2,"Standing",0.225,144,"","",""
21,3,4,"default",0.225,144,"","",""
22,3,5,"default",0.225,144,"","",""
23,3,6,"default",0.225,"",1,"",""
24,4,0,"default",0.225,951,"","",""
25,4,1,"Standing",0.225,"","","",""
26,4,2,"Standing",0.225,"","","",""
27,4,3,"default",0.225,664,"","",""
28,4,5,"default",0.225,"","","",""
29,4,6,"default",0.225,"",1,"",""
30,5,0,"default",0.225,766,"","",""
31,5,1,"Standing",0.225,"","","",""
32,5,2,"Standing",0.225,"","","",""
33,5,3,"default",0.225,664,"","",""
34,5,4,"default",0.225,"","","",""
35,5,6,"default",0.225,"",1,"",""
36,6,0,"default",0.225,769,1,1,1
37,6,1,"Standing",0.225,"",1,1,1
38,6,2,"Standing",0.225,"",1,1,1
39,6,3,"default",0.225,664,1,1,1
40,6,4,"default",0.225,"",1,1,1
41,6,5,"default",0.225,"",1,1,1
