"rownum","Id","i32_8","i32_12","Rune","i32_32","i32_36","i32_40","i32_44","i32_48","bool_52","i32_53"
0,"0",2,1,3,1,16,0,14,0,"",4536
1,"1",2,1,4,1,45,0,56,0,"",4537
2,"2",2,1,0,4,16,0,56,0,"",4538
3,"3",2,1,1,4,16,0,56,0,"",4539
4,"4",2,1,2,4,16,0,56,0,"",4540
5,"5",2,2,0,15,40,0,56,0,"",4541
6,"6",2,2,4,4,16,0,56,0,"",4542
7,"7",2,2,3,4,16,0,56,0,"",4543
8,"8",2,2,6,5,64,0,56,0,"",4544
9,"9",2,1,8,5,16,0,56,0,"",4545
10,"10",2,2,1,5,16,0,56,0,"",4546
11,"51",2,1,7,5,64,0,56,0,"",4547
12,"11",2,1,6,5,16,0,56,0,"",4548
13,"12",2,1,12,100,100,0,56,0,"",4549
14,"13",2,2,18,5,30,0,56,0,"",4550
15,"14",2,2,10,8,16,0,56,0,"",4551
16,"15",2,1,16,12,40,0,56,0,"",4552
17,"16",2,1,21,15,35,0,56,0,"",4553
18,"17",2,1,18,15,35,0,56,0,"",4554
19,"18",2,1,14,15,35,0,56,0,"",4555
20,"19",2,1,11,15,30,0,56,0,"",4556
21,"20",2,2,12,15,35,0,56,0,"",4557
22,"21",2,1,15,12,35,0,56,0,"",4558
23,"22",2,1,17,15,35,0,56,0,"",4559
24,"52",2,2,13,15,35,0,56,0,"",4560
25,"53",2,2,19,25,75,0,56,0,"",4561
26,"23",2,2,7,18,64,0,56,0,"",4562
27,"24",2,2,11,15,40,0,56,0,"",4563
28,"25",3,1,21,30,78,0,260,0,"",4564
29,"26",3,1,18,30,78,0,56,0,"",4565
30,"27",3,1,14,30,78,0,56,0,"",4566
31,"28",3,1,11,30,78,0,56,0,"",4567
32,"29",3,2,12,30,100,0,56,0,"",4568
33,"30",3,2,11,30,100,0,56,0,"",4569
34,"31",3,1,7,12,100,0,56,0,"",4570
35,"32",3,1,12,13,78,0,56,0,"",4571
