"rownum","BaseItemType","UsableOnItemClasses","i32_32","i32_36","MaximumItemLevel","MinimumModLevel","f32_48","bool_52","Tag"
0,4875,"[6,7,9,11,12,13,58,15,16,17,79,80,85,37,110,20,32,8,14]",0,0,64,0,0,"",""
1,4876,"[6,7,9,11,12,13,58,15,16,17,79,80,85,37,110,20,32,8,14]",0,1,0,0,0.08,1,""
2,4877,"[6,7,9,11,12,13,58,15,16,17,79,80,85,37,110,20,32,8,14]",0,1,0,40,0.08,1,""
3,4878,"[24,25,22,23,26,81,94]",0,0,64,0,0,"",""
4,4879,"[24,25,22,23,26,81,94]",0,1,0,0,0.08,"",""
5,4880,"[24,25,22,23,26,81,94]",0,1,0,40,0.08,"",""
6,4881,"[4,5,21]",0,0,64,0,0,"",""
7,4882,"[4,5,21]",0,1,0,0,0.08,1,""
8,4883,"[4,5,21]",0,1,0,40,0.08,1,""
9,4884,[42],0,1,0,0,0.08,"",""
10,4885,[35],0,3,0,0,1,"",""
11,4886,"[4,5,21]",0,1,0,0,0.08,"",1254
