"rownum","rid_0","i32_16","f32_20","i32_24","bool_28"
0,2349,320,21,1065562931,""
1,2350,400,27,1065562931,""
2,2354,400,27,1065562931,""
3,2356,320,21,1065562931,""
4,2357,400,27,1065562931,""
5,2358,320,21,1065562931,""
6,2359,400,27,1065562931,""
7,2360,320,21,1065562931,""
8,2351,320,21,1065562931,""
9,2362,400,27,1065562931,1
10,2363,400,27,1065562931,""
11,2364,400,27,1065562931,""
12,2365,400,27,1065562931,""
13,2366,400,27,1065562931,""
14,2367,400,27,1065562931,""
15,2368,290,19,1065562931,""
16,2369,290,19,1065562931,""
17,2370,290,19,1065562931,""
18,2371,290,19,1065562931,""
19,2372,290,19,1065562931,""
20,2373,290,19,1065562931,""
21,2374,280,19,1065562931,""
22,2375,280,19,1065562931,""
23,2376,280,19,1065562931,""
24,2377,280,19,1065562931,""
25,2378,280,19,1065562931,""
26,2379,280,19,1065562931,""
27,2380,280,19,1065562931,""
28,2381,280,19,1065562931,""
29,2382,280,19,1065562931,""
30,2383,280,19,1065562931,""
31,2384,280,19,1065562931,""
32,2385,280,19,1065562931,""
33,2386,290,19,1065562931,1
34,2387,290,19,1065562931,""
35,2388,290,19,1065562931,""
36,2389,290,19,1065562931,""
37,2390,290,19,1065562931,""
38,2391,1000,0,1065604874,""
39,2392,3000,0,1065604874,1
40,2393,2000,0,1065604874,""
41,2394,1600,0,1065604874,""
