"rownum","Id","f32_8","f32_12","f32_16","bool_20","i32_21","f32_25","bool_29","i32_30","bool_34","i32_35","i32_39"
0,"Basic Grenade",0.6,0.8,0.5,"",0,1.35,"",0,"",0,0
1,"Toxic Grenade",0.6,0.8,0.5,"",0,1.35,"",0,1,0,0
2,"Oil Grenade",0.6,0.8,0.5,"",0,1.35,1,0,"",0,0
3,"Mini Cluster Grenade",0.6,0.8,0.5,"",0,1.35,"",0,1,0,0
4,"Rolling Magma",1.5,1.5,1.5,"",1,1.6,"",0,"",0,0
5,"Rudja Gas Grenade",0.4,1.15,0.6,"",5,1.6,"",0,"",0,0
6,"Rudja Tar Grenade",0.4,1,0.6,"",10,1.6,"",0,"",0,0
7,"Rudja Flashbang",0.4,1.15,0.5,"",5,1.6,1,0,"",0,0
8,"Rudja Explosive Grenade",0.4,1.15,0.6,"",5,1.7,"",0,"",0,0
9,"DrudgeExplosive Grenade",0.4,0.8,0.6,"",4,1.35,"",0,"",0,6
10,"Titan Boss",1,1,1,"",5,1,1,0,"",0,0
11,"DoryaniHumanBossCrystalMines",0.25,0.6,0.6,"",3,2,"",0,"",0,60
12,"VaalHumanoidPyramidHandsGrenade",0.4,0.6,0.6,"",5,1.7,"",0,1,0,10
13,"VaalHumanoidCannonHands",0.25,0.2,0.2,"",0,3,1,0,"",0,15
14,"UndeadMarakethPriest",0.95,0.8,0.95,"",15,1.75,1,0,"",0,0
15,"VaalStormcallerBouncingLightning",1,1,1,"",40,1.75,1,120,"",0,15
16,"VaalGoliathCrystalCannisterCrystal",0.5,0.6,0.7,"",5,1.7,"",0,1,0,60
17,"BreachEliteFallenLunarisMonsterProjectile",1,0.2,1,"",30,1.35,1,30,"",0,0
18,"ChimeraWetlandsLightningBreath",0.9,0.9,0.9,"",5,1,1,120,"",50,15
19,"MagmaHarpyProj",0.95,0.8,0.95,"",4,1.425,1,0,"",0,6
20,"DruidIceChunk",0.3,0.8,0.5,"",0,1,"",0,"",0,30
21,"PirateGrenade",0.6,0.8,0.5,"",0,1.35,"",0,1,0,10
22,"RitualBossRubble",0.1,0.1,0.5,"",15,1.35,"",0,"",0,30
23,"ArchitectBossBouncingSpark",0.9,0.9,0.9,"",50,1.35,1,120,"",0,15
