"rownum","AltStat","NormalStat","ExtraStat"
0,18319,21283,[18323]
1,18320,21286,[18323]
2,18321,21287,[18323]
3,18322,21288,[18323]
4,18334,815,[]
5,18335,816,[]
6,18336,817,[]
7,18337,818,[]
8,18338,819,[]
9,18339,820,[]
10,18340,821,[]
11,18341,822,[]
12,18342,823,[]
13,18343,824,[]
14,18344,832,[]
15,18345,833,[]
16,18346,834,[]
17,18347,835,[]
18,18348,836,[]
19,18349,837,[]
20,18350,838,[]
21,18351,839,[]
22,18352,840,[]
23,18353,841,[]
24,18354,828,[]
25,18355,845,[]
26,18356,17225,[]
27,18357,315,[]
28,18358,17226,[]
29,18359,316,[]
30,18360,311,[]
31,18361,312,[]
