"rownum","Id","MtxTypeGameSpecific","HASH16","HASH32","Size","bool_34","bool_35","HideoutTags","HideoutCategory","GrantedSkill","i32_84","bool_88","rid_89","bool_105","bool_106","bool_107","string_108","ReviveEffect"
0,"Metadata/Pet/Kiwi/Basic",4166,37988,3896409178,8,"","",[1],27,[],0,"","","","",1,"",""
1,"Metadata/Pet/Kiwi/Bronze",4167,44438,774276016,8,"","",[1],27,[],0,"","","","",1,"",""
2,"Metadata/Pet/Kiwi/Silver",4168,42132,4214120378,8,"","",[1],27,[],0,"","","","",1,"",""
3,"Metadata/Pet/Kiwi/Gold",4169,60474,1808500721,8,"","",[1],27,[],0,"","","","",1,"",""
4,"Metadata/Pet/Kiwi/Diamond",4170,18975,235029533,9,"","",[1],27,[],0,"","","","","","",""
5,"Metadata/Pet/Basilisk/Green",4143,61895,3203813169,8,"","",[1],87,[],0,"","","","",1,"",""
6,"Metadata/Pet/Basilisk/Infernal",4144,36008,237863557,8,"","",[1],76,[],0,"","","","",1,"",""
7,"Metadata/Pet/Basilisk/Spectral",4145,17172,1286475706,8,"","",[1],87,[],0,"","","","",1,"",""
8,"Metadata/Pet/Frog/Blue",4146,37577,1910039313,8,"","",[1],87,[],0,"","","","",1,"",""
9,"Metadata/Pet/Frog/BlueCrown",4147,48394,1576132859,8,"","",[1],87,[],0,"","","","",1,"",""
10,"Metadata/Pet/Frog/Green",4148,58853,1150919036,8,"","",[1],87,[],0,"","","","",1,"",""
11,"Metadata/Pet/Frog/GreenCrown",4149,38190,3156879620,8,"","",[1],87,[],0,"","","","",1,"",""
12,"Metadata/Pet/Frog/Red",4150,47577,2308780100,8,"","",[1],87,[],0,"","","","",1,"",""
13,"Metadata/Pet/Frog/RedCrown",4151,46175,1589963419,8,"","",[1],87,[],0,"","","","",1,"",""
14,"Metadata/Pet/Frog/Mysterious",4152,45262,3351279374,8,"","",[1],87,[],0,"","","","",1,"",""
15,"Metadata/Pet/Scorpion/Black",4153,37381,3998448726,8,"","",[1],60,[],0,"","","","",1,"",""
16,"Metadata/Pet/Scorpion/Chrome",4154,20859,386156159,8,"","",[1],87,[],0,"","","","",1,"",""
17,"Metadata/Pet/Scorpion/Purple",4155,13085,1481075546,8,"","",[1],87,[],0,"","","","",1,"",""
18,"Metadata/Pet/Scorpion/Red",4156,29389,2153902764,8,"","",[1],87,[],0,"","","","",1,"",""
19,"Metadata/Pet/Scorpion/White",4157,41999,784698058,8,"","",[1],87,[],0,"","","","",1,"",""
20,"Metadata/Pet/Scorpion/Yellow",4158,20903,465717861,8,"","",[1],87,[],0,"","","","",1,"",""
21,"Metadata/Pet/Weta/Basic",4162,33343,1722344599,8,"","",[1],87,[],0,"","","","",1,"",""
22,"Metadata/Pet/Weta/Colossal",4163,12979,1519151167,8,"","",[1],87,[],0,"","","","",1,"",""
23,"Metadata/Pet/Weta/Giant",4164,29172,1896349948,8,"","",[1],87,[],0,"","","","",1,"",""
24,"Metadata/Pet/Scorpion/fire_upgrade",4159,30851,493774317,8,"","",[1],76,[],0,"","","","",1,"",""
25,"Metadata/Pet/Scorpion/acid_upgrade",4160,37150,501714169,8,"","",[1],1,[],0,"","","","",1,"",""
26,"Metadata/Pet/Scorpion/Light_upgrade",4161,5815,3392920716,8,"","",[1],83,[],0,"","","","",1,"",""
27,"Metadata/Pet/Weta/Blood",4165,58150,2932428271,8,"","",[1],63,[],0,"","","","",1,"",""
28,"Metadata/Pet/Kiwi/Albino",4171,27785,495546624,8,"","",[1],27,[],0,"","","","",1,"",""
29,"Metadata/Pet/BabyRhoa/babyrhoa",4172,26930,2589651816,8,"","",[1],90,[],0,"","","","",1,"",""
30,"Metadata/Pet/BabyRhoa/babyrhoa_attach1",4173,17929,55199043,8,"","",[1],90,[],0,"","","","",1,"",""
31,"Metadata/Pet/BabyRhoa/babyrhoa_attach2",4174,25177,3137526107,8,"","",[1],90,[],0,"","","","",1,"",""
32,"Metadata/Pet/BabyRhoa/babyrhoa_attach3",4175,14091,2647173827,8,"","",[1],90,[],0,"","","","",1,"",""
33,"Metadata/Pet/BabyRhoaFlying/babyrhoaflying",4176,27061,2627859732,9,"","",[1],90,[],0,"","","","",1,"",""
34,"Metadata/Pet/Ferret/Ferret",4177,23993,3267141381,8,"","",[1],87,[],0,"","","","",1,"",""
35,"Metadata/Pet/Cat/Black",4178,45791,424651664,8,"","",[1],60,[],0,"","","","",1,"",""
36,"Metadata/Pet/DemonHand/Basic",4179,44454,3379651799,8,"","",[1],38,[],0,"","","","",1,"",""
37,"Metadata/Pet/Fox/infernal_fox/Infernal",4180,28741,4117726506,9,"","",[1],76,[],0,"","","","",1,"",""
38,"Metadata/Pet/Bat/Vampire_Bat/Lightning",4181,63077,1760403080,8,"","",[1],83,[],0,"","","","",1,"",""
39,"Metadata/Pet/Garena/Garena",4182,21065,1776958371,8,"","",[1],87,[],0,"","","","",1,"",""
40,"Metadata/Pet/BellLizard/BellLizard",4183,38215,3242153080,8,"","",[1],87,[],0,"","","","",1,"",""
41,"Metadata/Pet/Lion/Demon/DemonLion",4184,61331,2043582045,11,"","",[1],87,[],0,"","","","",1,"",""
42,"Metadata/Pet/Lion/Gem/GemLion",4185,51436,92786027,11,"","",[1],87,[],0,"","","","",1,"",""
43,"Metadata/Pet/Cobra/Cobra",4186,37676,2142825620,8,"","",[1],87,[],0,"","","","",1,"",""
44,"Metadata/Pet/Cockroach/Cockroach",4187,61480,4110091475,8,"","",[1],87,[],0,"","","","",1,"",""
45,"Metadata/Pet/FormosanBear/FormosanBear",4188,51230,4261361121,10,"","",[1],87,[],0,"","","","",1,"",""
46,"Metadata/Pet/SpiderLizard/SpiderLizard",4189,179,1059602331,8,"","",[1],87,[],0,"","","","",1,"",""
47,"Metadata/Pet/BlueLandCrab/BlueLandCrab",4190,32372,2015692369,8,"","",[1],87,[],0,"","","","",1,"",""
48,"Metadata/Pet/CaneToad/CaneToad1/CaneToad1",4191,37890,1447674443,8,"","",[1],87,[],0,"","","","",1,"",""
49,"Metadata/Pet/CaneToad/CaneToad2/CaneToad2",4192,236,2369883565,8,"","",[1],87,[],0,"","","","",1,"",""
50,"Metadata/Pet/CaneToad/CaneToad3/CaneToad3",4193,32726,107313587,8,"","",[1],87,[],0,"","","","",1,"",""
51,"Metadata/Pet/CaneToad/CaneToad4/CaneToad4",4194,38988,4124732822,8,"","",[1],87,[],0,"","","","",1,"",""
52,"Metadata/Pet/CaneToad/CaneToad5/CaneToad5",4195,35988,561753583,8,"","",[1],87,[],0,"","","","",1,"",""
