"rownum","Id","Name","GrantedEffect","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","GemTags","Consumed_Mod","ItemColor","[rid]_84","AdditionalGrantedEffects","bool_116","bool_117","[i32]_118","i32_134","i32_138"
0,"Firebolt","",28,"","","","","","","","","","","","[11,24,4,14,5,0,60]","",3,[],[],"","",[],-1,-1
1,"IceNova","",29,"","","","","","","","","","","","[11,24,4,14,1,15,33,60]","",3,[],[],"","",[],-1,-1
2,"LeapSlam","",30,"","","","","","","","","","","","[9,24,13,14,7,35,31,52]","",3,[],[],"","",[],-1,-1
3,"MoltenCrash","",31,"","","","","","","","","","","","[24,13,43,44,14,7,35,31]","",3,[],[],"","",[],-1,-1
4,"ShieldCharge","",32,"","","","","","","","","","","","[9,24,13,14,7,30,28,31]","",3,[],[],"","",[],-1,-1
5,"DetonateDead","",33,"","","","","","","","","","","","[11,24,4,14,30,0,47,60]","",3,[],[],"","",[],-1,-1
6,"VolatileDead","",98,"","","","","","","","","","","","[11,24,4,14,0,60]","",3,[],[],"","",[],-1,-1
7,"AddedFireDamageSupport","",572,"Supports any skill that deals damage, causing them to [Gain] [Fire] Damage but deal less [Cold] and [Lightning] Damage.","Modifie n'importe quelle aptitude qui inflige des dégâts, lui permettant de bénéficier de Dégâts de [Fire|Feu] [Gain|Rajoutés]. En contrepartie, elle inflige moins de Dégâts de [Cold|Froid] et de [Lightning|Foudre].","Unterstützt jede Fertigkeit, die Schaden verursacht, wodurch sie [Fire|Feuer]schaden [Gain|verursachen], aber weniger [Cold|Kälte]- und [Lightning|Blitz]schaden verursachen.","ダメージを与えるスキルをサポートし、[Fire|火]ダメージを上げる[Gain|獲得]するようにするが、[Cold|冷気]ダメージと[Lightning|雷]ダメージを低下させる。","피해를 주는 모든 스킬에 적용됩니다. 스킬이 [Fire|화염] 피해를 [Gain|획득]하지만 [Cold|냉기] 피해와 [Lightning|번개] 피해는 줄어듭니다.","Reforça qualquer habilidade que cause dano, fazendo com que [Gain|ganhem] dano de [Fire|fogo], mas causem menos dano de [Cold|frio] e [Lightning|elétrico].","Усиливает любое умение, наносящее урон. Усиленные умения [Gain|приобретают] урон от [Fire|огня], но наносят меньше урона от [Cold|холода] и [Lightning|молнии].","Asiste cualquier habilidad que inflija daño para que [Gain|gane] daño de [Fire|fuego], pero infligirá menos daño de [Cold|hielo] y [Lightning|rayo].","ใช้เสริมสกิลที่สร้างความเสียหาย เพื่อให้สกิลนี้มีการ[Gain|เสริม]ความเสียหาย [Fire|ไฟ]\r\nแต่สร้างความเสียหาย [Cold|น้ำแข็ง]และ[Lightning|สายฟ้า] ลดลง อีก","輔助任何造成傷害的技能，使其[Gain|獲得][Fire|火焰]傷害，但造成更少[Cold|冰冷]和[Lightning|閃電]傷害。","","[16,0]","",3,[],[],"","",[],-1,-1
8,"RapidAttacksSupport","",573,"Supports [Attack|Attacks], causing them to [Attack] faster.","Modifie les [Attack|Attaques], leur permettant d'[Attack|Attaquer] plus rapidement.","Unterstützt [Attack|Angriffe], wodurch sie schneller [Attack|angreifen].","[Attack|アタック]をサポートし、[Attack|アタック]スピードをより速くする。","[Attack|공격]에 적용됩니다. [Attack|공격] 속도가 빨라집니다.","Reforça [Attack|ataques], fazendo com que [Attack|ataquem] mais rápido.","Усиливает [Attack|атаки]. Усиленные умения [Attack|атакуют] быстрее.","Asiste [Attack|ataques] y les otorga mayor velocidad de [Attack|ataque].","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้[Attack|โจมตี]ได้เร็วขึ้น","輔助[Attack|攻擊]，使[Attack|攻擊]加快。","","[16,13]","",3,[],[],"","",[],-1,-1
9,"RapidAttacksSupportTwo","",574,"Supports [Attack|Attacks], causing them to [Attack] faster.","Modifie les [Attack|Attaques], leur permettant d'[Attack|Attaquer] plus rapidement.","Unterstützt [Attack|Angriffe], wodurch sie schneller [Attack|angreifen].","[Attack|アタック]をサポートし、[Attack|アタック]スピードをより速くする。","[Attack|공격]에 적용됩니다. [Attack|공격] 속도가 빨라집니다.","Reforça [Attack|ataques], fazendo com que [Attack|ataquem] mais rápido.","Усиливает [Attack|атаки]. Усиленные умения [Attack|атакуют] быстрее.","Asiste [Attack|ataques] para que [Attack|ataquen] más rápido.","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้[Attack|โจมตี]ได้เร็วขึ้น","輔助[Attack|攻擊]，使[Attack|攻擊]加快。","","[16,13]","",3,[],[],"","",[],-1,-1
10,"RapidAttacksSupportThree","",575,"Supports [Attack|Attacks], causing them to [Attack] faster at the cost of Damage.","Modifie les [Attack|Attaques], leur permettant d'[Attack|Attaquer] plus rapidement au prix d'une perte de Dégâts.","Unterstützt [Attack|Angriffe], wodurch sie schneller [Attack|angreifen], was jedoch auf Kosten des Schadens geht.","[Attack|アタック]をサポートし、ダメージを犠牲にして、[Attack|アタック]スピードをより速くする。","[Attack|공격]에 적용됩니다. [Attack|공격] 속도가 빨라지지만 대신 피해는 줄어듭니다.","Reforça [Attack|ataques], sacrificando dano para fazer com que [Attack|ataquem] mais rápido.","Усиливает [Attack|атаки]. Усиленные умения [Attack|атакуют] быстрее ценой сниженного урона.","Asiste [Attack|ataques] para que [Attack|ataquen] más rápido a costa del daño.","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้[Attack|โจมตี]ได้เร็วขึ้น แลกกับการลดความเสียหาย","輔助[Attack|攻擊]，使[Attack|攻擊]加快，但傷害減少。","","[16,13]","",3,[],[],"","",[],-1,-1
11,"MultishotSupport","",576,"Supports [Projectile|Projectile] skills, making them fire extra [Projectile|Projectiles]. Also lowers [Attack] and Cast speed of supported skills, as well as lessening their damage.","Modifie les aptitudes à [Projectile|Projectiles], leur permettant de tirer des [Projectile|Projectiles] supplémentaires. En contrepartie, les Vitesses d'[Attack|Attaque] et d'incantation des aptitudes modifiées sont diminuées et elles subissent également une perte de dégâts.","Unterstützt [Projectile|Projektil]fertigkeiten und lässt sie zusätzliche [Projectile|Projektile] feuern. Verringert außerdem die [Attack|Angriffs]- und Zaubergeschwindigkeit von unterstützten Fertigkeiten und verringert ihren Schaden.","[Projectile|投射物]スキルをサポートし、追加の[Projectile|投射物]を放つようにする。またサポートされたスキルの[Attack|アタック]スピードおよびキャストスピードを下げると共にそのダメージも下げる。 ","[Projectile|투사체] 스킬에 적용됩니다. 보조 대상 스킬이 추가 [Projectile|투사체]를 발사합니다. 또한 스킬의 [Attack|공격] 속도와 시전 속도가 느려지고, 피해도 줄어듭니다.","Reforça habilidades de [Projectile|projéteis] para fazê-las disparar [Projectile|projéteis] adicionais, mas reduz a velocidade de [Attack|ataque] e de conjuração das habilidades reforçadas, além de diminuir o dano.","Усиливает умения [Projectile|снарядов]. Усиленные умения выпускают дополнительные [Projectile|снаряды]. Также снижает скорость атаки и сотворения чар усиленных умений, и уменьшает их урон.","Asiste habilidades de [Projectile|proyectiles] para que disparen [Projectile|proyectiles] adicionales, pero disminuye las velocidades de [Attack|ataque] y lanzamiento de hechizos de las habilidades asistidas y su daño.","ใช้เสริมสกิล[Projectile|โพรเจกไทล์] เพื่อให้สกิลนี้ยิง[Projectile|โพรเจกไทล์]เพิ่มเติม\r\nแต่มีความเร็วในการ[Attack|โจมตี]และร่ายลดลง อีก และมีความเสียหายลดลง อีก","輔助[Projectile|投射物]技能，使其發射額外的[Projectile|投射物]，同時降低被輔助的技能的[Attack|攻擊]和施法速度，並減少其傷害。","","[16,5]","",3,[],[],"","",[],-1,-1
12,"MultishotSupportTwo","",577,"Supports [Projectile|Projectile] skills, making them fire extra [Projectile|Projectiles]. Also lowers [Attack] and Cast speed of supported skills, as well as lessening their damage.","Modifie les aptitudes à [Projectile|Projectiles], leur permettant de tirer des [Projectile|Projectiles] supplémentaires. En contrepartie, les Vitesses d'[Attack|Attaque] et d'incantation des aptitudes modifiées sont diminuées et elles subissent également une perte de dégâts.","Unterstützt [Projectile|Projektil]fertigkeiten und lässt sie zusätzliche [Projectile|Projektile] feuern. Verringert außerdem die [Attack|Angriffs]- und Zaubergeschwindigkeit von unterstützten Fertigkeiten und verringert ihren Schaden.","[Projectile|投射物]スキルをサポートし、追加の[Projectile|投射物]を放つようにする。またサポートされたスキルの[Attack|アタック]スピードおよびキャストスピードを下げると共にそのダメージも下げる。 ","[Projectile|투사체] 스킬에 적용됩니다. 보조 대상 스킬이 추가 [Projectile|투사체]를 발사합니다. 또한 스킬의 [Attack|공격] 속도와 시전 속도가 느려지고, 피해도 줄어듭니다.","Reforça habilidades de [Projectile|projéteis] para fazê-las disparar [Projectile|projéteis] adicionais, mas reduz a velocidade de [Attack|ataque] e de conjuração das habilidades reforçadas, além de diminuir o dano.","Усиливает умения [Projectile|снарядов]. Усиленные умения выпускают дополнительные [Projectile|снаряды]. Также снижает скорость атаки и сотворения чар усиленных умений, и уменьшает их урон.","Asiste habilidades de [Projectile|proyectiles] para que disparen [Projectile|proyectiles] adicionales, pero disminuye las velocidades de [Attack|ataque] y lanzamiento de hechizos de las habilidades asistidas y su daño.","ใช้เสริมสกิล[Projectile|โพรเจกไทล์] เพื่อให้สกิลนี้ยิง[Projectile|โพรเจกไทล์]เพิ่มเติม\r\nแต่มีความเร็วในการ[Attack|โจมตี]และร่ายลดลง อีก และมีความเสียหายลดลง อีก","輔助[Projectile|投射物]技能，使其發射額外的[Projectile|投射物]，同時降低被輔助的技能的[Attack|攻擊]和施法速度，並減少其傷害。","","[16,5]","",3,[],[],"","",[],-1,-1
13,"NovaProjectilesSupport","",578,"Supports [Projectile|Projectile] Skills, making them fire [Projectile|Projectiles] in a circle. Does not Support Skills which rain down [Projectile|Projectiles] from above.","Modifie les aptitudes à [Projectile|Projectiles], leur permettant de tirer leurs [Projectile|Projectiles] en cercle. Ne peut pas modifier les Aptitudes qui font pleuvoir des [Projectile|Projectiles].","Unterstützt [Projectile|Projektil]fertigkeiten, sodass diese zusätzliche [Projectile|Projektile] in einem Kreis abfeuern, was jedoch auf Kosten des Schadens geht. Unterstützt keine Fertigkeiten, die [Projectile|Projektile] von oben herabregnen lassen.","[Projectile|投射物]スキルをサポートし、放射状に[Projectile|投射物]を放つようにする。上空から[Projectile|投射物]を降らせるスキルをサポートできない。","[Projectile|투사체] 스킬에 적용되어, 원형으로 [Projectile|투사체]를 발사하게 합니다. [Projectile|투사체]를 위에서 비처럼 떨어뜨리는 스킬에는 적용되지 않습니다.","Reforça habilidades de [Projectile|projéteis] para fazê-las disparar [Projectile|projéteis] em círculo. Não funciona com habilidades que disparam [Projectile|projéteis] do alto.","Усиливает умения [Projectile|снарядов]. Усиленные умения выпускают дополнительные [Projectile|снаряды] по кругу. Не может усиливать умения, выпускающие [Projectile|снаряды] дождём.","Asiste habilidades de [Projectile|proyectiles] para que disparen sus [Projectile|proyectiles] en forma de círculo. No asiste habilidades que hacen caer [Projectile|proyectiles] desde arriba.","ใช้เสริมสกิล[Projectile|โพรเจกไทล์] เพื่อให้สกิลนี้ยิง[Projectile|โพรเจกไทล์]เพิ่มเติมออกมาเป็นวงกลม\r\nไม่สามารถเสริม สกิลที่ปล่อย[Projectile|โพรเจกไทล์]ลงมาเป็นฝน ได้","輔助[Projectile|投射物]技能，使其以環狀方式發射[Projectile|投射物]，但傷害較低。無法輔助從上方降下[Projectile|投射物]的技能。","","[16,5]","",3,[],[],"","",[],-1,-1
14,"SpiralProjectilesSupport","",579,"[DNT-UNUSED] Spiral Proj","[DNT-UNUSED] Spiral Proj","[DNT-UNUSED] Spiral Proj","[DNT-UNUSED] Spiral Proj","[DNT-UNUSED] Spiral Proj","WIP","[DNT-UNUSED] Spiral Proj","[DNT-UNUSED] Spiral Proj","DNT","[DNT-UNUSED]迴旋投射物","","[16,5]","",3,[],[],"","",[],-1,-1
15,"ProjectileAccelerationSupport","",580,"Supports [Projectile|Projectile] skills, making those [Projectile|Projectiles] travel faster.","Modifie les aptitudes à [Projectile|Projectiles], permettant à ces [Projectile|Projectiles] de se déplacer plus rapidement.","Unterstützt [Projectile|Projektil]fertigkeiten, wodurch sich diese [Projectile|Projektile] schneller bewegen.","[Projectile|投射物]スキルをサポートし、そのスキルによる[Projectile|投射物]の飛行速度を上げる。","[Projectile|투사체] 스킬에 적용됩니다. [Projectile|투사체]의 이동 속도가 빨라집니다.","Reforça habilidades de [Projectile|projéteis], fazendo com que fiquem mais rápidos.","Усиливает умения [Projectile|снарядов]. [Projectile|Снаряды] усиленных умений летят быстрее.","Asiste habilidades de [Projectile|proyectiles] para que sus [Projectile|proyectiles] viajen más rápido.","ใช้เสริมสกิล[Projectile|โพรเจกไทล์] เพื่อให้[Projectile|โพรเจกไทล์]ของสกิลนี้เดินทางเร็วขึ้น","輔助[Projectile|投射物]技能，使[Projectile|投射物]的行進更為快速。","","[16,5]","",3,[],[],"","",[],-1,-1
