"rownum","Buff","Visuals","i32_24"
0,"global_auras",[503],-1
1,"global_auras",[497],-2
2,"global_auras",[499],-3
3,"global_auras",[501],-4
4,"global_auras",[175],-5
5,"global_auras",[156],-6
6,"global_auras",[162],-7
7,"global_auras",[166],-8
8,"global_auras",[158],-9
9,"global_auras",[998],-10
10,"global_auras",[1004],-11
11,"global_auras",[1009],-12
12,"global_auras",[1026],-13
13,"global_auras",[1033],-14
14,"global_auras",[1038],-15
15,"global_auras",[1050],-16
16,"global_auras",[1051],-17
17,"global_auras",[1052],-18
18,"global_auras",[1060],-19
19,"global_auras",[1059],-20
20,"global_auras",[1097],-21
21,"global_auras",[1098],-22
22,"global_auras",[1099],-23
23,"global_auras",[1117],-24
24,"global_auras",[1119],-25
25,"global_auras",[1120],-26
26,"global_auras",[1121],-27
27,"global_auras",[1188],-28
28,"global_auras",[1193],-29
29,"global_auras",[1191],-30
30,"global_auras",[1194],-31
31,"global_auras",[1198],-32
32,"global_auras",[1199],-33
33,"global_auras",[1238],-34
34,"global_auras",[1241],-35
35,"global_auras",[1244],-36
36,"global_auras",[1268],-37
37,"global_auras",[1269],-38
38,"global_auras",[1334],-39
39,"global_auras",[1335],-40
40,"global_auras",[1359],-41
41,"global_auras",[1378],-42
42,"global_auras",[1379],-43
43,"global_auras",[1398],-44
44,"global_auras",[1401],-45
45,"global_auras",[1402],-46
46,"global_auras",[1403],-47
47,"global_auras",[1404],-48
48,"global_auras",[1448],-49
49,"global_auras",[1454],-50
50,"global_auras",[1455],-51
51,"global_auras",[1544],-52
52,"global_auras",[1545],-53
53,"global_auras",[1546],-54
54,"global_auras",[1547],-55
55,"global_auras",[1548],-56
56,"global_auras",[1549],-57
57,"global_auras",[1673],-58
58,"global_auras",[1674],-59
59,"global_auras",[1728],-60
60,"global_auras",[1729],-61
61,"global_auras",[1785],-62
62,"global_auras",[1797],-63
63,"global_auras",[1798],-64
64,"global_auras",[1799],-65
65,"global_auras",[1853],-66
66,"global_auras",[1854],-67
67,"global_auras",[1855],-68
68,"global_auras",[1856],-69
69,"global_auras",[1857],-70
70,"global_auras",[1975],-71
71,"global_auras",[1976],-72
72,"global_auras",[1977],-73
73,"anger",[157],0
74,"anger",[158],1
75,"anger",[159],2
76,"anger",[160],3
77,"hatred",[161],0
78,"hatred",[162],1
79,"hatred",[163],2
80,"hatred",[752],3
81,"hatred",[164],4
82,"wrath",[165],0
83,"wrath",[166],1
84,"wrath",[167],2
85,"wrath",[168],3
86,"haste",[170],0
87,"haste",[497],1
88,"haste",[171],2
89,"steelskin",[1077],0
90,"steelskin",[1518],1
91,"steelskin",[1078],2
92,"ignite",[2],0
93,"ignite",[399],1
94,"ignite",[496],2
95,"ignite",[400],3
96,"ignite",[401],4
97,"ignite",[402],5
98,"ignite",[403],6
99,"ignite",[1057],7
100,"ignite",[1137],8
101,"ignite",[1206],9
102,"ignite",[1386],10
103,"ignite",[1345],11
104,"ignite",[1387],12
105,"ignite",[1384],13
106,"ignite",[1489],14
107,"ignite",[1623],15
108,"ignite",[1631],16
109,"ignite",[1639],17
110,"ignite",[1640],18
111,"ignite",[1664],19
112,"ignite",[1718],20
113,"ignite",[1723],21
114,"ignite",[1724],22
115,"ignite",[1739],23
116,"ignite",[1790],24
117,"ignite",[1795],25
118,"ignite",[1849],26
119,"ignite",[1862],27
120,"ignite",[1876],28
121,"ignite",[1969],29
122,"ignite",[2151],30
