"rownum","Id","MinimapIconRadius","LargemapIconRadius","bool_16","bool_17","MinimapIconPointerMaxDistance","i32_22","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_34","i32_38"
0,"MyPlayer",1,1,1,"",250,10,"","","","","","","","","","",2,0
1,"PartyMember",1,1,1,"",250,9,"","","","","","","","","","",2,0
2,"OtherPlayer",1,1,1,"",250,11,"","","","","","","","","","",2,0
3,"NPC",1,1,"",1,250,8,"","","","","","","","","","",2,0
4,"Portal",2,2,1,"",250,0,"","","","","","","","","","",2,0
5,"QuestObject",2,2,"",1,250,0,"","","","","","","","","","",2,0
6,"QuestItem",2,2,"","",250,0,"","","","","","","","","","",2,0
7,"Shrine",2,2,1,"",150,0,"","","","","","","","","","",2,0
8,"StoryGlyph",2,2,"",1,250,0,"","","","","","","","","","",2,0
9,"Waypoint",2,2,"",1,250,0,"Waypoint","Point de téléportation","Wegpunkt","ウェイポイント","거점","Ponto de Rota","Портал","Transportador","เวย์พอยน์","傳送點",2,0
10,"RedFlag",2,2,1,"",250,0,"","","","","","","","","","",2,0
11,"BlueFlag",2,2,1,"",250,0,"","","","","","","","","","",2,0
12,"GreenFlag",2,2,1,"",250,0,"","","","","","","","","","",2,0
13,"Abyss",3,2,1,"",250,0,"","","","","","","","","","",2,0
14,"AbyssCrack",3,2,1,"",250,0,"","","","","","","","","","",0,0
15,"MissionTarget",3,2,1,"",250,0,"","","","","","","","","","",2,0
16,"MissionAlly",3,2,1,"",250,0,"","","","","","","","","","",2,0
17,"PartyLeader",1,1,1,"",250,0,"","","","","","","","","","",2,0
18,"Entrance",2,2,"",1,250,0,"","","","","","","","","","",2,0
19,"Labyrinth",3,3,1,"",250,0,"","","","","","","","","","",2,0
20,"StoneCircle",3,3,"",1,250,0,"","","","","","","","","","",2,0
21,"LabyrinthLever",2,2,"",1,250,0,"","","","","","","","","","",2,0
22,"LabyrinthDoor",2,2,"",1,250,0,"","","","","","","","","","",2,0
23,"VaalSideArea",2,2,"",1,250,0,"","","","","","","","","","",2,0
24,"LabyrinthEnchant",3,3,"",1,250,0,"","","","","","","","","","",2,0
25,"LabyrinthGoldKey",2,2,1,"",250,0,"","","","","","","","","","",2,0
26,"LabyrinthSilverKey",2,2,1,"",250,0,"","","","","","","","","","",2,0
27,"Essence",2,2,1,"",150,1,"","","","","","","","","","",2,0
28,"EntrancePortal",2,2,"",1,250,0,"","","","","","","","","","",2,0
29,"Breach",2,2,1,"",150,0,"","","","","","","","","","",2,0
30,"ConsoleMapArrowL",2,2,1,"",250,0,"","","","","","","","","","",2,0
31,"ConsoleMapArrowR",2,2,1,"",250,0,"","","","","","","","","","",2,0
32,"PCMapArrow",2,2,1,"",250,0,"","","","","","","","","","",2,0
33,"BestiaryBloodAlter",3,2,1,"",250,0,"","","","","","","","","","",2,0
34,"BestiaryRareMonster",3,2,1,"",250,0,"","","","","","","","","","",2,0
35,"BestiaryLegendaryBeast",3,2,1,"",250,0,"","","","","","","","","","",2,0
36,"BestiaryDeadMonster",3,2,1,"",250,0,"","","","","","","","","","",2,0
37,"IncursionArchitectUpgrade",2,2,1,"",250,0,"","","","","","","","","","",2,0
