"rownum","string_0","string_8","i32_16"
0,"0","PremiumStashTab",1
1,"1","CurrencyTab",3
2,"2","DeliriumTab",15
3,"3","BlightTab",13
4,"4","DivinationTab",6
5,"5","PremiumQuadTab",7
6,"6","MapTab",5
7,"7","EssenceTab",8
8,"8","FragmentTab",9
9,"9","UniqueTab",4
10,"10","DelveTab",12
11,"11","FlaskTab",17
12,"12","GemTab",18
13,"13","RitualTab",21
14,"14","SocketableTab",19
15,"15","TradeStashTab",2
16,"16","GuildStashTab",1
17,"17","GuildCurrencyTab",3
18,"18","GuildDeliriumTab",15
19,"19","GuildBlightTab",13
20,"20","GuildDivinationTab",6
21,"21","GuildQuadTab",7
22,"22","GuildMapTab",5
23,"23","GuildEssenceTab",8
24,"24","GuildFragmentTab",9
25,"25","GuildUniqueTab",4
26,"26","GuildDelveTab",12
27,"27","GuildFlaskTab",17
28,"28","GuildGemTab",18
29,"29","GuildRitualTab",21
30,"30","GuildSocketableTab",19
