"rownum","Character","i32_16","MeshList"
0,0,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
1,0,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
2,0,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
3,6,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
4,6,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
5,6,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
6,2,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
7,2,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
8,2,2,"[""body_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
9,8,0,"[""body_meshShape"",""head_meshShape"",""feet_meshShape"",""hands_meshShape"",""lowerArms_meshShape"",""lowerLegs_meshShape"",""neck_meshShape"",""neckBase_meshShape"",""upperArms_meshShape"",""upperLegs_meshShape""]"
10,8,1,"[""head_meshShape"",""neck_meshShape"",""neckBase_meshShape""]"
