"rownum","Name","Price"
0,223,0
1,626,0
2,628,0
3,629,0
4,630,0
5,1309,0
6,1310,0
7,1311,0
8,1312,0
9,1313,0
10,1314,0
11,1451,0
12,1452,0
13,1453,0
14,1454,0
15,1455,0
16,1456,0
17,139,9091
18,1491,18567
19,1529,9748
20,1531,30281
21,1562,10379
22,1515,10899
23,561,11365
24,447,23372
25,3038,0
26,1747,0
27,793,27060
28,896,0
29,65,43522
30,256,0
31,1496,9091
32,148,9283
33,141,19496
34,1524,20188
35,280,10525
36,1516,10823
37,443,11365
38,1518,23210
39,1726,0
40,251,38655
41,923,25950
42,63,45067
43,1427,18182
44,1523,9348
45,1484,9748
46,1535,10094
47,142,21050
48,1530,10975
49,1568,22729
50,153,35800
51,1630,12357
52,1621,0
53,362,27060
54,305,28414
55,1720,43522
56,129,0
57,1508,9091
58,1489,9748
59,1561,10094
60,1517,10823
61,259,22729
62,1269,23372
63,1571,24714
64,288,25591
65,1706,25950
66,285,0
67,819,28414
68,1519,0
69,1520,12357
70,1564,9091
71,3045,0
72,185,10094
73,1565,21950
74,42,27249
75,186,11605
76,1572,24714
77,1585,12885
78,1622,25950
79,1080,0
80,699,14207
81,1719,29015
82,1223,0
83,1043,36557
84,1532,9091
85,1511,9748
86,1525,20188
87,1521,10975
88,1613,11365
89,1546,35551
90,1734,0
91,466,0
92,764,0
93,165,0
94,1723,0
95,756,30044
96,182,27273
97,1543,9091
98,1544,9091
99,47,9816
100,450,10094
101,1428,21798
102,204,11365
103,1554,11605
104,865,0
105,1461,25770
106,1553,0
107,198,0
108,1513,9091
109,150,19360
110,1522,10094
111,195,0
112,1429,11365
113,1680,23536
114,1614,24714
115,172,25591
116,68,25950
117,1558,26685
118,175,42621
119,69,9091
120,1158,9680
121,1534,10094
122,1539,21646
123,1084,22729
124,1551,11933
125,252,24714
126,444,25591
127,1567,0
128,716,0
129,1019,42621
130,1481,18696
131,1593,9748
132,1541,20188
133,1526,10823
134,1552,11365
135,122,0
136,213,38926
137,1396,0
138,1514,18696
139,1528,9680
140,589,10094
141,336,21950
142,1573,34094
143,1555,37071
144,1557,0
145,1628,0
146,1563,9348
147,1499,19360
148,261,10094
149,1549,10975
150,360,34094
151,339,12357
152,1559,0
153,734,42621
154,120,18182
155,1542,19496
156,93,10094
157,1569,10899
158,357,22729
159,477,12975
160,1727,0
161,1545,9091
162,1574,9748
163,1482,0
164,1575,10975
165,343,22729
166,87,37071
167,1267,0
168,1509,9091
169,1486,19632
170,91,10094
171,472,10823
172,1120,11365
173,1556,12357
174,1728,38926
175,257,0
176,1570,9414
177,89,20188
178,1576,22729
179,1627,12357
180,1618,38926
181,1729,0
182,1373,18696
183,340,10094
184,1566,11365
185,1721,12357
186,1232,0
187,806,0
188,1547,18567
189,1507,20188
190,1082,0
191,1722,0
192,145,38926
193,193,42621
194,1533,9091
195,1537,9748
196,842,10094
197,1548,21798
198,1665,11365
199,1207,0
200,375,0
201,292,0
202,1536,9748
203,1540,10094
204,1510,21950
205,1560,11365
206,125,0
207,1611,0
208,1591,9091
209,82,9748
210,126,20188
211,77,10899
212,85,22729
213,181,0
214,1731,0
215,1495,9414
216,183,20188
217,1626,11365
218,1587,12357
219,1538,0
220,81,10094
221,978,0
222,765,0
223,1732,0
