"rownum","Id","MaxDistance","ClientStrings","MaxMineTargetingDistance","MaxTrapTargetingDistance","MaxTotemTargetingDistance","TargetingFlags"
0,"ConsoleMovementMaxDistance",80,4742,0,0,0,[0]
1,"ConsoleFiftyUnitsDistance",50,4742,0,0,0,[0]
2,"ConsoleAtFeet",5,4742,5,5,5,"[0,3]"
3,"ConsoleAtFeetNormalSelfcast",0,4742,5,5,5,"[0,3]"
4,"ConsoleQuickDodge",80,4742,0,0,0,[1]
5,"ConsoleFiftyUnitsDistanceRespectTarget",50,4742,0,0,0,"[0,2]"
6,"ConsoleForceLocationMaxDistance",80,4742,0,0,0,"[0,3]"
7,"ConsoleThirtyUnitsDistanceRespectTarget",30,4742,0,0,0,"[0,2,3]"
8,"ConsoleFortyUnitsDistance",40,4742,0,0,0,"[0,3]"
9,"ConsoleFiftyFiveUnitsDistanceRespectTarget",55,4742,0,0,0,"[0,2]"
10,"ConsoleEightyUnitsDistanceRespectTarget",80,4742,0,0,0,"[0,2]"
11,"ConsoleFifteenUnitsNormalSelfcast",0,4742,15,15,15,"[0,3]"
12,"ConsoleAtFeetRespectTarget",5,4742,5,5,5,"[0,2]"
13,"ConsoleEightyUnitsDistanceRespectTargetUpdate",80,4742,0,0,0,"[0,2,4]"
