"rownum","InfluencePack","MonsterPacks","BuffDefinition","SpawnChanceStat","BuffStatValues","SpawnChanceValue","i32_96","i32_100","InfluencePackSizeStat","i32_120","i32_124","i32_128","i32_132","i32_136"
0,0,[],"",[],[],[],0,0,16335,20,20,15,15,0
1,1,[],"",[],[],[],0,0,16335,30,30,20,20,0
2,2,[],"",[],[],[],0,0,16335,40,40,25,25,0
3,3,[],"",[],[],[],0,0,16335,20,20,15,15,0
4,4,[],"",[],[],[],0,0,16335,30,30,20,20,0
5,5,[],"",[],[],[],0,0,16335,40,40,25,25,0
6,6,[],"",[],[],[],0,0,16335,20,20,15,15,0
7,7,[],"",[],[],[],0,0,16335,30,30,20,20,0
8,8,[],"",[],[],[],0,0,16335,40,40,25,25,0
9,9,[],"",[],[],[],0,0,16335,20,20,15,15,0
10,10,[],"",[],[],[],0,0,16335,30,30,20,20,0
11,11,[],"",[],[],[],0,0,16335,40,40,25,25,0
12,12,[],"",[],[],[],0,0,"",15,15,15,15,0
13,13,[],"",[],[],[],0,0,"",15,15,15,15,0
14,14,[],"",[],[],[],0,0,"",15,15,15,15,0
15,15,[],"",[],[],[],0,0,"",15,15,15,15,0
16,16,[],"",[10102],[],[15],0,0,"",0,0,0,0,0
17,17,[],"",[],[],[],0,0,"",6,6,6,6,0
18,18,[],"",[],[],[],0,0,"",4,4,4,4,0
19,19,[],"",[],[],[],0,0,"",6,6,6,6,0
20,20,[],1371,[],"[1,25,30,8,30]",[],0,0,"",0,0,0,0,0
21,21,[],1372,[],"[1,1,15,20,30,1,1]",[],0,0,"",0,0,0,0,0
22,22,[],1373,[],"[1,30,10,30]",[],0,0,"",0,0,0,0,0
23,23,[],1374,[],"[15,30,30,15,40]",[],0,0,"",0,0,0,0,0
24,25,[],"",[],[],[],70,100,15142,3,3,3,3,1
25,26,[],"",[],[],[],70,100,15142,3,3,3,3,1
26,27,[],"",[],[],[],0,0,15142,8,18,8,18,1
27,28,[],"",[],[],[],0,0,15142,10,23,10,20,1
28,29,[],"",[],[],[],0,0,15142,12,28,12,22,1
29,30,[],"",[],[],[],0,0,15142,14,32,14,24,1
30,31,[],"",[],[],[],0,0,15142,16,36,16,26,1
31,32,[],"",[],[],[],0,0,15142,18,48,18,28,1
32,33,[],"",[],[],[],0,0,15142,20,60,20,30,1
33,34,[],"",[],[],[],0,0,15142,20,60,20,30,1
34,35,[],"",[],[],[],70,100,15143,3,3,3,3,1
35,36,[],"",[],[],[],70,100,15143,3,3,3,3,1
36,37,[],"",[],[],[],0,0,15143,8,18,8,18,1
37,38,[],"",[],[],[],0,0,15143,10,23,10,20,1
38,39,[],"",[],[],[],0,0,15143,12,28,12,22,1
39,40,[],"",[],[],[],0,0,15143,14,32,14,24,1
40,41,[],"",[],[],[],0,0,15143,16,36,16,26,1
41,42,[],"",[],[],[],0,0,15143,18,48,18,28,1
42,43,[],"",[],[],[],0,0,15143,20,60,20,30,1
43,44,[],"",[],[],[],0,0,15143,20,60,20,30,1
