"rownum","Id","ItemClasses","i32_24","i32_28","bool_32","MinLevel","MaxLevel","BaseItemTypes","Tags","Words"
0,"Equipment",[],8,16,1,0,0,[],"",""
1,"Rare",[],8,4,"",0,0,[],"",""
2,"Level68OrLower",[],8,16,"",1,68,[],"",""
3,"BreachRing",[],8,16,"",0,0,"[2669,2670,2580,2581,2582,2583,2584,2585]","",""
4,"BreachRingBase",[],8,16,"",0,0,[2669],"",""
5,"Catalyst",[],8,16,"",0,0,[],621,""
6,"JewelCatalyst",[],8,16,"",0,0,[],1242,""
7,"BereksTamingExchangeInput",[5],8,8,"",0,0,[],"",""
8,"QualityCurrency",[],8,16,"",0,0,[],350,""
9,"BreachSplinter",[],8,16,"",0,0,[177],"",""
10,"ChaosOrVaal",[],8,16,"",0,0,"[3,4,5,52]","",""
11,"AlchemyOrb",[],8,16,"",0,0,[9],"",""
12,"RegalOrb",[],8,16,"",0,0,"[21,22,23]","",""
13,"ExaltedOrb",[],8,16,"",0,0,"[18,19,20]","",""
14,"FourUniqueRing26a",[5],8,8,"",0,0,[],"",294
15,"FourUniqueRing26b",[5],8,8,"",0,0,[],"",293
16,"FourUniqueRing26c",[5],8,8,"",0,0,[],"",295
