"rownum","DamageParticleEffectTypes","Variation","i32_8","DamageEffect","EffectAddon","bool_44"
0,0,0,0,165,"",""
1,0,3,0,166,"",""
2,0,2,0,167,"",""
3,0,0,1,205,"",1
4,0,3,1,206,"",1
5,0,2,1,207,"",1
6,0,0,2,186,"",""
7,0,3,2,187,"",""
8,0,2,2,188,"",""
9,1,0,0,168,189,""
10,1,3,0,169,189,""
11,1,2,0,170,189,""
12,2,0,0,171,190,""
13,2,3,0,172,190,""
14,2,2,0,173,190,""
15,2,0,1,174,190,""
16,2,3,1,175,190,""
17,2,2,1,176,190,""
18,2,0,2,177,190,""
19,2,3,2,178,190,""
20,2,2,2,179,190,""
21,3,0,0,180,191,""
22,3,3,0,181,191,""
23,3,2,0,182,191,""
24,3,0,1,174,191,""
25,3,3,1,175,191,""
26,3,2,1,176,191,""
27,4,0,0,183,192,""
28,4,3,0,184,192,""
29,4,2,0,185,192,""
30,4,0,1,186,193,""
31,4,3,1,187,193,""
32,4,2,1,188,193,""
