"rownum","Item","Red","Green","Blue","RgbCode"
0,"BreachChest",166,90,255,"rgb(166,90,255)"
1,"DelveAzuriteChest",175,238,238,"rgb(175,238,238)"
2,"DelveSupplyChest",218,165,32,"rgb(218,165,32)"
3,"LegionChest",218,165,32,"rgb(218,165,32)"
4,"BlightChest",102,255,255,"rgb(102,255,255)"
5,"HeistChest",207,177,95,"rgb(207,177,95)"
6,"ExpeditionChestText",116,177,255,"rgb(116,177,255)"
7,"ExpeditionChestOutline",14,46,85,"rgb(14,46,85)"
8,"SanctumChestBronze",191,106,2,"rgb(191,106,2)"
9,"SanctumChestSilver",157,157,157,"rgb(157,157,157)"
10,"SanctumChestGold",218,165,32,"rgb(218,165,32)"
11,"ItemRelic_Green1",115,255,115,"rgb(115,255,115)"
12,"ItemRelic_Green2",26,255,13,"rgb(26,255,13)"
13,"ItemRelic_GreenGlow",0,153,13,"rgb(0,153,13)"
14,"ItemRelic_Blue1",0,153,255,"rgb(0,153,255)"
15,"ItemRelic_Blue2",5,51,255,"rgb(5,51,255)"
16,"ItemRelic_BlueGlow",0,255,255,"rgb(0,255,255)"
17,"ItemRelic_Purple1",255,26,26,"rgb(255,26,26)"
18,"ItemRelic_Purple2",255,51,255,"rgb(255,51,255)"
19,"ItemRelic_PurpleGlow",153,26,153,"rgb(153,26,153)"
20,"ItemRelic_Yellow1",255,204,13,"rgb(255,204,13)"
21,"ItemRelic_Yellow2",204,230,26,"rgb(204,230,26)"
22,"ItemRelic_YellowGlow",179,77,5,"rgb(179,77,5)"
23,"ItemRelic_PurpleTeal1",128,51,230,"rgb(128,51,230)"
24,"ItemRelic_PurpleTeal2",77,255,255,"rgb(77,255,255)"
25,"ItemRelic_PurpleTealGlow",77,255,255,"rgb(77,255,255)"
26,"ItemRelic_White1",255,255,179,"rgb(255,255,179)"
27,"ItemRelic_White2",204,255,153,"rgb(204,255,153)"
28,"ItemRelic_WhiteGlow",255,255,255,"rgb(255,255,255)"
29,"ItemRelic_Red1",128,13,0,"rgb(128,13,0)"
30,"ItemRelic_Red2",255,26,0,"rgb(255,26,0)"
31,"ItemRelic_RedGlow",255,102,13,"rgb(255,102,13)"
32,"ItemRelic_Teal1",51,128,255,"rgb(51,128,255)"
33,"ItemRelic_Teal2",0,255,255,"rgb(0,255,255)"
34,"ItemRelic_TealGlow",0,255,255,"rgb(0,255,255)"
35,"DefaultTabColour",124,84,54,"rgb(124,84,54)"
36,"RedGems",180,0,0,"rgb(180,0,0)"
37,"GreenGems",0,180,0,"rgb(0,180,0)"
38,"BlueGems",0,0,180,"rgb(0,0,180)"
39,"WhiteGems",220,220,220,"rgb(220,220,220)"
40,"WorldMapBlack",0,0,0,"rgb(0,0,0)"
41,"WorldMapParchment",225,190,145,"rgb(225,190,145)"
42,"WorldMapDesertBlack",90,85,75,"rgb(90,85,75)"
43,"WorldMapDesertRed",85,60,45,"rgb(85,60,45)"
44,"WorldMapWhite",255,255,255,"rgb(255,255,255)"
45,"WorldMapOceanBlue",65,65,55,"rgb(65,65,55)"
46,"WorldMapLandGreen",95,85,50,"rgb(95,85,50)"
47,"AbyssChest",61,145,79,"rgb(61,145,79)"
