"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,"PrimaryStat","Primary Stats","Stats principales","Primärwerte","メインステータス","주 능력치","Estatísticas Primárias","Основные","Estadísticas principales","Stats หลัก","主要屬性"
1,"Attribute","Attributes","Attributs","Attribute","能力値","능력치","Atributos","Характеристики","Atributos","ค่าคุณสมบัติ","能力值"
2,"DamageType","Damage Types","Types de dégâts","Schadenstypen","ダメージタイプ","피해 유형","Tipos de Dano","Типы урона","Tipos de daño","ชนิดความเสียหาย","傷害類型"
3,"WeaponType","Weapon Types","Types d'armes","Waffentypen","武器タイプ","무기 유형","Tipos de Armas","Типы оружия","Tipos de arma","ชนิดอาวุธ","武器類型"
4,"Caster","Caster","Lanceur de sorts","Zauberer","キャスター","시전","Conjurador","Чародейское","Lanzador de hechizos","นักเวท","法術"
5,"Offensive","Offensive","Offensif","Offensiv","攻撃","공격","Ofensivo","Наступательное","Atacante","เชิงรุก","攻擊性"
6,"Defensive","Defensive","Défensif","Defensiv","防御","방어","Defensivo","Оборонительное","Defensivo","เชิงรับ","防禦性"
7,"Charges","Charges","Charges","Ladungen","チャージ","충전","Cargas","Заряды","Cargas","ชาร์จ","能量球"
8,"Ailment","Ailments","Altérations","Beeinträchtigungen","状態異常","상태 이상","Afecções","Состояния","Estados alterados","สถานะเจ็บป่วย","異常狀態"
9,"Influence","Influences","Influences","Einflüsse","インフルエンス","영향력","Influências","Влияния","Influencias","อิทธิพล","影響"
10,"Actions","Actions","Actions","Aktionen","その他","활동","Ações","Действия","Acciones","การกระทำ","行動"
11,"Terms","Terms","Termes","Bedingungen","用語集","용어","Termos","Условия","Términos","ศัพท์","關鍵字"
