"rownum","Cutscene","i32_16","i32_20","rid_24","Script1","bool_48","Script2","bool_57"
0,0,0,0,"","globals.childzana_int.PlayAnimation( childzana_idle_to_cowering_01 );\r\nDelay(0.3, { globals.dominusNPC.FaceObject( globals.childzana_int, false, false ); } );",1,"",""
1,0,1,0,"","",1,"",""
2,0,2,0,"","globals.zana_guard_int.SetStateTo( cutscene_controller, 3);\r\nglobals.childzana_int.PlayAnimation( childzana_idle_cowering_01 );\r\nDelay(0.1, { globals.dominusNPC.FaceObject( globals.childzana_int, false, false ); } );",1,"",""
3,0,3,0,"","",1,"",""
4,0,4,0,"","globals.zana_guard_int.SetStateTo( cutscene_controller, 4); \r\nglobals.zana_guard_int.PlayAnimation( summon_01 );\r\nDelay(1.0, \r\n{\r\n  globals.childzana_int.FaceObject( triggerer, true, false); \r\n  globals.dominusNPC.FaceObject( globals.zana_guard_int, false, false ); \r\n});",1,"",""
5,0,5,0,"","globals.childzana_int.PlayAnimation( childzana_idle_cowering_01 );",1,"",""
6,0,6,2000,"","globals.childzana_int.PlayAnimation( childzana_cowering_to_run_01 );","","",""
7,0,7,3000,"","globals.zana_guard_int.Transition();\r\nglobals.dominusNPC.FaceObject( triggerer, true, false );","","",""
8,1,0,0,"","globals.M1_5_Valdo.PlayAnimation( Idle_angry_01 );",1,"DisableTeleport( 2 ); triggerer.FaceObject( globals.M1_5_Valdo, true, false );",""
9,1,1,3000,"","this.bossrevive = FindClosestObject( Metadata/Monsters/MastodonBoss/MastodonBossPoEM ); globals.M1_5_Valdo.FaceObject( this.bossrevive, false, false ); globals.M1_5_Valdo.GoToAnimationEnd(); globals.M1_5_Valdo.PlayAnimation( idle_tinker_01 );","","globals.M1_5_Boss.SetStateTo( emerge, 1 ); AddZoneEnvironmentOverride( M1_5_boss );",""
10,1,2,3000,"","globals.M1_5_Valdo.FaceNearestPlayer(); globals.M1_5_Valdo.AddEffectPack( Metadata/Effects/misc/Synthesis_Zana_Portal/ZanaPortalFade.epk ); globals.M1_5_Valdo.AddEffectPackAttached( Metadata/Effects/misc/Synthesis_Zana_Portal/ZanaPortalFade.epk, R_wrist ); globals.M1_5_Valdo.PlayAnimation( portal_exit_01 ); Delay( 0.05,{ globals.M1_5_Valdo.AddAttachedOffset( Metadata/Effects/misc/Synthesis_Zana_Portal/ZanaPortal.ao, <root>, 1, 0, 0, 80, 0 ); globals.M1_5_Valdo.QueueAnimationAttached( Metadata/Effects/misc/Synthesis_Zana_Portal/ZanaPortal.ao, townportal ); } );","","",""
11,1,3,50,"","globals.M1_5_Valdo.QueueAnimationAttached( Metadata/Effects/misc/Synthesis_Zana_Portal/ZanaPortal.ao, townportalclose ); globals.M1_5_Valdo.RemoveEffectPack( Metadata/Effects/misc/Synthesis_Zana_Portal/ZanaPortalFade.epk ); globals.M1_5_Valdo.RemoveEffectPackAttached( Metadata/Effects/misc/Synthesis_Zana_Portal/ZanaPortalFade.epk, R_wrist );","","globals.M1_5_Boss.SetStateTo( boss_life_bar, 1 ); globals.M1_5_Valdo.SetStateTo( visible, 0 ); globals.M1_5_Boss.SetStateTo( emerge, 2 );",""
12,2,0,0,"","globals.valdo_M1_9.SetStateTo( idle_anim, 0 ); globals.valdo_M1_9.SetStateTo( show_as_quest, 0 ); ",1,"",""
13,2,1,0,"","globals.valdo_M1_9.SetStateTo( idle_anim, 1 );",1,"",""
14,2,2,0,"","",1,"",""
15,2,3,0,"","",1,"",""
16,3,0,0,"","globals.valdo_M1_9.SetStateTo( idle_anim, 0 ); globals.valdo_M1_9.SetStateTo( show_as_quest, 0 ); ",1,"",""
17,3,1,0,"","globals.valdo_M1_9.SetStateTo( idle_anim, 1 );",1,"",""
18,3,2,0,"","",1,"",""
19,3,3,0,"","",1,"",""
20,4,0,0,"","globals.dominusNPC.SetStateTo( rescue, 1 );",1,"globals.dominusNPC.FaceObject( globals.M1_10_2_ZanaNPC, true, false);",""
21,4,1,0,"","",1,"globals.M1_10_2_ZanaNPC.SetStateTo( prisoner, 1 );",""
22,4,2,0,"","",1,"",""
23,5,0,0,"","globals.dominusNPC.PlayAnimation( idle_relaxed_01 );",1,"",""
24,5,1,0,"","",1,"",""
25,5,2,0,"","globals.valdoNPC.PlayAnimation( Idle_relaxed_01 );",1,"",""
26,5,3,0,"","",1,"",""
