"rownum","Id","HASH16","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
0,"KeybladeText",28812,"Forged from thousands of unclaimed Beta keys","Forgée à partir de milliers de clés beta non réclamées","Geschmiedet aus tausenden nicht angeforderter Beta-Keys.","幾千もの未使用ベータキーから造られた","주인 없는 베타 키 수천 개를 녹여 만들다.","Forjado com milhares de chaves Beta não reivindicadas.","Выкован из тысяч невостребованных ключей к Бете.","Forjada a partir de miles de claves de la beta sin reclamar","หลอม​จาก​กุญแจ​เบต้า​หลาย​พัน​ดอก​ที่​ไร้​ผู้​อ้าง​สิทธิ์","數千把無人領取的封測金鑰鍛造而成"
1,"UniqueTwoHandAxe1",63457,"One by one, Kaom slaughtered the weakest tribe\r\nleaders until the others leapt to join his cause.","Un par un, Kaom massacra les chefs de tribu les plus\r\nfaibles, jusqu'à ce que les autres se joignent à sa cause.","Einen nach dem anderen schlachtete Kaom die schwächsten Stammesanführer,\r\nbis die Verbliebenen sich seiner Sache freiwillig anschlossen.","残った者たちが慌てて彼の側に付くまで、カオムは最も弱い族長から一人ずつ殺していった。","카옴은 약한 족장부터 하나씩 베어나갔다. \r\n다른 족장들이 그와 힘을 합치러 달려올 때까지.","Kaom exterminou os líderes mais fracos das outras tribos,\r\num a um, até que os outros se juntassem à sua causa.","Каом убивал считающих себя вождями слабаков\r\nдо тех пор, пока оставшиеся не пошли за ним.","Uno por uno, Kaom masacró a los líderes más débiles de las tribus\r\n hasta que los demás se apresuraron para unirse a su causa.","คอมม์​ไล่​สังหาร​หัวหน้า​เผ่า​ที่​อ่อนแอ​ไป​ที​ละคน\r\nจน​กระทั่ง​หัวหน้า​เผ่า​คน​อื่นๆ เข้าร่วม​อุดมการณ์","岡姆屠戮，滅盡孱弱血統，\r\n各族恐懼，造就絕對服從。"
2,"UniqueOneHandSword1",55516,"As battle calms, blood turns to rust.","Quand la bataille s'apaise, le sang devient rouille.","Die Schlacht geht zu Ende, Blut wird zu Rost.","戦いが静まる中で血は錆となる。","전쟁이 잦아들자, 피가 녹슬듯 말라붙기 시작했다.","Quando a batalha se acalma, o sangue enferruja.","Утихнет бой, и кровь уйдет в песок.","A medida que la batalla se calma, la sangre se vuelve óxido.","เมื่อ​ศึก​สงบ เลือด​ก็​กลาย​เป็น​สนิม","激烈戰火成冷灰，浴血寶劍色鏽黑。"
3,"UniqueAmulet1",34681,"You are slow, foolish and ignorant.\r\nI am not.","Vous êtes lent, stupide et ignorant.\r\nMoi pas.","Ihr seid langsam, dumm und ignorant. \r\nIch nicht.","其方は愚鈍で愚かで無知だ。\r\n私は違う。","느리고 멍청하고 형편없군.\r\n나와는 다르게 말이야.","Você é lento, tolo e ignorante.\r\nEu não.","Ты медлителен, глуп и туп.\r\nА я — нет.","Eres lento, tonto e ignorante.\r\nYo no.","เจ้า​มัน​ช้า โง่ และ​ไม่รู้​ความ\r\nข้า​หาได้​เป็น​เช่น​นั้น","眾人遲鈍昏庸，愚昧無知。\r\n唯我迅捷聰穎，博學睿智。"
4,"UniqueRing1",65486,"Fear is highly infectious.","La peur est très contagieuse.","Furcht ist hoch ansteckend.","恐怖は強い感染力を持つ。","공포는 삽시간에 전염되곤 한다.","O medo é altamente infeccioso.","Страх очень заразителен.","El miedo es altamente contagioso.","ความ​กลัว​นั้น​แพร่​ระบาด​ได้​ง่าย","恐懼宛若瘟疫惡病，迅速擴散害人奪命"
5,"UniqueRing2",28070,"A token from the sea\r\nA sign for Kaom\r\nto lead his Karui to Wraeclast.","Un présent de la mer,\r\nUn signe indiquant à Kaom\r\nde mener son peuple à Wraeclast.","Ein Zeichen des Meeres. \r\nEin Zeichen für Kaom, \r\nseine Karui nach Wraeclast zu führen.","海の贈り物\r\nカオムの印\r\n彼のカルイをレイクラストに導くための。","바다에서 온 징표여,\r\n카옴에게는\r\n카루이 민족을 레이클라스트로 이끌라는 계시로다.","Uma lembrancinha do mar,\r\nUm sinal para Kaom\r\nlevar seus Karui para Wraeclast.","Заморский дар,\r\nзнак для Каома\r\nвести каруи в Рэкласт.","Una muestra del mar\r\nUn símbolo para que Kaom\r\nlleve a sus Karui a Wraeclast.","สัญลักษณ์​จาก​ทะเล\r\nสัญญาณ​สำหรับ​คอมม์\r\nให้​นำ​ชาว​คารุย​ของ​เขา​ไป​ยัง​เวร์แคลสท์","來自海洋彼岸的信物，\r\n呼召岡姆踏上征途。\r\n率領血族，兵臨帝陸。"
6,"UniqueRing3",49827,"Danger is the price of wealth.","Le danger est le prix de la richesse.","Gefahr ist der Preis des Wohlstands.","危険は富の代償だ。","부를 얻으려면 위험이라는 대가를 감수하라.","O perigo é o preço da riqueza.","Без риска не бывает богатства.","El peligro es el precio de la riqueza","อันตราย​คือ​สิ่ง​ที่​ต้อง​แลก​กับ​ความ​มั่งคั่ง","不入險處，焉得鉅富?"
7,"UniqueBow1",32612,"\""See without doubt, slay without hesitation.\""\r\n- Marceus Lioneye of Sarn","« Discernez sans douter,\r\ntuez sans hésiter. »\r\n– Marcéus Œil de Lion de Sarn","\""Erblicket ohne zu zweifeln, tötet ohne zu zögern.\""\r\n– Marceus Löwenauge von Sarn","「疑いなく見よ、躊躇いなく殺せ」\r\n―サーンのマルセウス・ライオンアイ","\""의심없이 보고, 주저없이 죽여라.\""\r\n- 사안의 마세우스 라이온아이","\""Ver sem dúvidas, matar sem hesitação.\""\r\n- Marceus Lioneye de Sarn","«Смотри без сомнений, рази без промаха».\r\n- Марк Львиный глаз из Сарна","\""Observa sin dudas; mata sin titubear\"".\r\n- Marceus Lioneye de Sarn","\""ดู​โดย​ไม่​ต้อง​สงสัย ฆ่า​โดย​ไม่​ลังเล\""\r\n- มาร์เซอัส ไลออนอายแห่ง​ซาร์น","「定睛瞄準；毫無遲疑，果斷放箭，轉瞬滅敵」\r\n- 薩恩的穆希爾斯．獅眼"
8,"UniqueAmulet2",55138,"The maidens of court swoon to see\r\nthe challengers crushed at your feet.","Les jeunes filles de la cour se pâment\r\nà la vue des compétiteurs écrasés à vos pieds.","Hofdamen geraten in Verzückung, \r\nda Euch die Herausforderer besiegt zu Füßen liegen.","其方に倒された挑戦者\r\n宮廷の乙女達は茫然だ","그대의 발밑에서 으깨지는 도전자들에\r\n궁궐의 여인네들이 혼절하는구나.","As donzelas da corte anseiam por ver\r\nos desafiantes derrotados que você abater","Когда твой соперник повержен лежит,\r\nпридворная дама от страсти дрожит.","Las doncellas de la corte se extasían por ver\r\na los rivales aplastados a tus pies.","หญิงสาว​จาก​ศาล​สลบ​ไป​เมื่อ​เห็น\r\nผู้ท้าทาย​อยู่​แทบ​เท้า​ของ​เจ้า","殺敵致勝歷百戰，\r\n常得佳人帶笑看"
9,"UniqueBodyStrInt1",64924,"Although a great leader during the war,\r\nVoll proved disastrous in times of peace.","Grand meneur d'hommes durant la guerre,\r\nVoll s'est avéré désastreux en temps de paix.","War er im Krieg noch ein großer Anführer, \r\nhatte sich Voll in Friedenszeiten als Unheilbringer erwiesen.","戦時には偉大なる指導者であった一方で、\r\nヴォールは平時には破滅的だった。","전쟁에서는 훌륭한 지도자였던 볼이지만,\r\n평화가 찾아오자 그 자신이 재앙이더라.","Voll era um desastre em tempos de paz,\r\nmesmo sendo um grande líder durante a guerra.","Волл возвеличился в час войны,\r\nи пал во времена мира.","Aunque fue un gran líder durante la guerra, \r\nVoll demostró ser desastroso en tiempos de paz.","แม้ว่า​จะ​เป็น​ผู้นำ​ที่​ยิ่ง​ใหญ่​ใน​ช่วง​สงคราม\r\nโวลล์​กลับ​เป็น​ผู้นำ​ที่​เลว​ร้าย​ใน​​ยามสงบ","福爾驍勇善戰，登基稱王\r\n奈何治國無方，終至滅亡"
