"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","SlotSize","string_48","string_56"
0,"Metadata/Items/Currency/CurrencyJewelleryQualityLife",273,0,0,0,1,1,72,"",""
1,"Metadata/Items/Currency/CurrencyJewelleryQualityMana",274,0,0,0,1,1,72,"",""
2,"Metadata/Items/Currency/CurrencyJewelleryQualityDefences",275,0,0,0,1,1,72,"",""
3,"Metadata/Items/Currency/CurrencyJewelleryQualityPhysical",276,0,0,0,1,1,72,"",""
4,"Metadata/Items/Currency/CurrencyJewelleryQualityFire",277,0,0,0,1,1,72,"",""
5,"Metadata/Items/Currency/CurrencyJewelleryQualityCold",278,0,0,0,1,1,72,"",""
6,"Metadata/Items/Currency/CurrencyJewelleryQualityLightning",279,0,0,0,1,1,72,"",""
7,"Metadata/Items/Currency/CurrencyJewelleryQualityChaos",280,0,0,0,1,1,72,"",""
8,"Metadata/Items/Currency/CurrencyJewelleryQualityAttack",281,0,0,0,1,1,72,"",""
9,"Metadata/Items/Currency/CurrencyJewelleryQualityCaster",282,0,0,0,1,1,72,"",""
10,"Metadata/Items/Currency/CurrencyJewelleryQualitySpeed",283,0,0,0,1,1,72,"",""
11,"Metadata/Items/Currency/CurrencyJewelleryQualityAttribute",284,0,0,0,1,1,72,"",""
12,"Metadata/Items/Currency/CurrencyBreachShard",173,0,0,0,1,1,72,"",""
13,"Metadata/Items/MapFragments/CurrencyBreachFragment",794,0,0,0,1,1,72,"",""
