"rownum","Id","Projectile","Animation","bool_36","i32_37","bool_41"
0,0,117,31,"",0,""
1,1,117,31,"",0,""
2,2,97,31,"",0,""
3,3,119,31,"",0,""
4,4,120,31,"",0,""
5,5,128,31,"",0,""
6,6,140,31,"",0,""
7,7,162,31,"",0,""
8,8,165,31,"",0,""
9,9,173,31,"",0,""
10,10,197,31,"",0,""
11,11,172,31,"",0,""
12,12,217,31,"",0,""
13,13,218,31,"",0,""
14,14,245,31,"",0,""
15,15,248,31,"",0,""
16,16,249,31,"",0,""
17,17,262,31,"",0,""
18,18,263,31,"",0,""
19,19,288,31,"",0,""
20,20,38,31,"",0,""
21,21,305,31,"",0,""
22,22,298,31,"",0,""
23,23,309,31,"",0,""
24,24,310,35,"",0,""
25,25,317,35,"",0,""
26,26,324,31,"",0,""
27,27,349,32,"",0,""
28,28,351,31,1,0,""
29,29,350,31,1,0,""
30,30,353,31,"",0,""
31,31,355,31,"",0,""
32,32,356,31,"",0,""
33,33,357,31,"",0,""
34,34,213,31,"",0,""
35,35,351,32,1,0,""
36,36,350,32,1,0,""
37,37,386,31,"",0,""
38,38,389,31,"",0,""
39,39,390,31,"",0,""
40,40,391,31,"",0,""
41,41,386,31,"",0,""
42,42,393,31,"",0,""
43,43,397,31,"",0,""
44,44,420,31,"",0,""
45,45,392,31,"",0,""
46,46,423,31,"",0,""
47,47,424,35,"",0,""
48,48,428,35,"",0,""
49,49,429,31,"",0,""
50,50,440,31,"",0,""
51,51,463,31,1,0,""
52,52,493,31,"",0,""
53,53,498,31,"",0,""
54,54,497,31,"",0,""
55,55,496,31,"",0,""
56,56,494,31,"",0,""
57,57,503,31,"",0,""
58,58,517,35,"",0,""
59,59,518,35,"",0,""
60,60,519,31,"",0,""
61,61,520,31,"",0,""
62,62,521,31,1,0,""
63,63,526,31,"",0,""
64,64,527,31,"",0,""
65,65,528,31,"",0,""
66,66,536,31,"",0,""
67,67,536,35,"",0,""
68,68,545,31,"",0,""
69,69,546,31,"",0,""
70,70,547,31,"",0,""
71,71,548,31,"",0,""
72,72,549,31,"",0,""
73,73,550,31,"",0,""
74,74,551,31,"",0,""
75,75,552,31,"",0,""
76,76,553,31,"",0,""
77,77,554,31,"",0,""
78,78,555,31,"",0,""
79,79,556,31,"",0,""
80,80,575,31,"",0,""
81,81,576,31,"",0,""
82,82,578,31,"",0,""
83,83,583,31,"",0,""
84,84,234,31,"",0,""
85,85,324,36,"",0,""
86,86,592,31,"",0,""
87,87,593,31,"",0,""
88,88,594,31,1,0,""
89,89,595,31,1,0,""
90,90,596,44,1,0,""
91,91,597,31,"",0,""
92,92,521,31,1,0,""
93,93,602,31,1,0,""
94,94,621,31,"",0,""
95,95,624,31,1,0,""
96,96,625,37,1,0,""
97,97,639,31,1,0,""
98,98,640,31,"",0,""
99,99,641,35,"",0,""
100,100,643,31,"",0,""
101,101,644,31,"",0,""
102,102,645,31,"",0,""
103,103,646,31,"",0,""
104,104,647,31,"",0,""
105,105,657,31,"",0,""
106,106,648,31,1,0,""
107,107,642,31,"",0,""
108,108,669,31,"",0,""
109,109,673,31,"",0,""
110,110,687,31,1,0,""
111,111,690,31,"",0,""
112,112,696,31,"",0,""
113,113,710,31,"",0,""
114,114,711,31,"",0,""
115,115,743,31,1,0,""
116,116,747,31,"",0,""
117,117,748,31,"",0,""
118,118,750,31,"",0,""
119,119,769,31,"",0,""
120,120,753,31,"",0,""
121,121,744,31,1,0,""
122,122,745,31,1,0,""
123,123,764,31,"",0,""
124,124,765,31,"",0,""
125,125,775,31,1,5,""
126,126,776,31,"",0,""
127,127,782,31,"",0,""
128,128,785,31,"",0,1
129,129,792,31,1,0,""
130,130,793,31,1,5,""
131,132,820,31,"",0,""
132,134,794,31,1,5,""
133,135,847,31,1,0,""
134,136,851,31,1,-15,""
135,137,852,31,1,0,""
136,138,853,31,"",0,""
137,139,852,31,"",0,""
138,140,871,31,1,0,""
139,141,896,31,"",0,""
140,142,904,31,"",0,""
141,143,905,31,"",0,""
142,144,911,31,"",0,""
143,145,913,31,"",0,""
144,146,924,31,"",0,""
145,147,925,31,"",0,""
146,148,926,31,"",0,""
147,149,927,31,"",0,""
148,150,928,31,"",0,""
149,151,929,31,"",0,""
150,152,931,31,"",0,""
151,153,935,31,"",0,""
152,154,944,31,"",0,""
153,155,945,31,"",0,""
154,156,936,31,"",0,""
155,157,937,31,"",0,""
156,158,979,31,"",0,""
157,159,980,31,"",0,""
158,160,983,31,1,0,""
159,161,984,31,"",0,""
160,162,984,31,"",0,""
161,163,999,31,"",0,""
162,164,997,31,"",0,""
163,165,1001,31,"",0,""
164,166,1002,31,"",0,""
165,167,1003,31,"",0,""
166,168,974,31,"",0,""
167,169,1028,31,"",0,""
168,170,1038,36,"",0,1
169,171,1039,31,"",0,""
170,172,1040,31,1,0,""
171,173,1041,31,"",0,""
172,174,1042,31,"",0,""
