"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_16","bool_17","bool_18"
0,"Hidden","Hidden","Caché","Versteckt","非表示","숨겨짐","Oculto","Скрыто","Oculto","ซ่อน","隱藏","","",1
1,"Shown","Shown","Affiché","Angezeigt","表示","표시됨","Exibido","Показано","Mostrado","แสดง","顯示",1,1,1
2,"Melee","Melee","Mêlée","Nahkampf","近接","근접","Corpo a Corpo","Ближний бой","Cuerpo a cuerpo","ประชิด","近戰",1,1,1
3,"Projectile","Projectile","Projectile","Projektil","投射物","투사체","Projétil","Снаряд","Proyectil","โพรเจกไทล์","投射物",1,1,1
4,"Impact","Impact","Impact","Einschlag","衝突","충격","Impacto","Воздействие","Choque","การกระทบ","衝擊",1,1,1
5,"Explosion","Explosion","Explosion","Explosion","爆発","폭파","Explosão","Взрыв","Explosión","ระเบิด","爆炸",1,1,1
6,"FirstForm","First Form","Première forme","Erste Form","第一形態","1차 형태","Primeira Forma","Первая форма","Primera forma","ร่างแรก","第一型態",1,1,1
7,"SecondForm","Second Form","Deuxième forme","Zweite Form","第二形態","2차 형태","Segunda Forma","Вторая форма","Segunda forma","ร่างสอง","第二型態",1,1,1
8,"InitialStrike","Initial Strike","Frappe initiale","Erstschlag","第一ストライク","최초 타격","Golpe Inicial","Первый удар","Golpe inicial","ฟาดเริ่มแรก","首次打擊",1,1,1
9,"FinalStrike","Final Strike","Frappe finale","Finaler Schlag","最終ストライク","최후 타격","Golpe Final","Завершающий удар","Golpe final","ฟาดสุดท้าย","最終打擊",1,1,1
10,"DamageOverTime","Damage over Time","Dégâts sur la durée","Schaden über Zeit","継続ダメージ","지속 피해","Dano Degenerativo","Постепенный урон","Daño degenerativo","ความเสียหายต่อเนื่อง","持續傷害",1,1,1
11,"Beam","Beam","Rayon","Strahl","ビーム","광선","Feixe","Луч","Haz","ลำแสง","射線",1,1,1
12,"Base","Base","Base","Basis","基礎","기본","Base","Базовый","Base","พื้นฐาน","基礎",1,1,1
13,"ThirdStrike","Third Strike","Troisième frappe","Dritter Schlag","第三ストライク","3차 타격","Terceiro Golpe","Третий удар","Tercer golpe","ฟาดสาม","第三次打擊",1,1,1
14,"FinalSpike","Final Burst","Éruption finale","Letzter Impuls","最終ブラスト","마지막 격발","Explosão Final","Итоговый взрыв","Estallido final","ปะทุสุดท้าย","最終爆裂",1,1,1
15,"Wave","Wave","Vague","Welle","ウェーブ","파도","Onda","Волна","Ola","คลื่น","白浪",1,1,1
16,"JaggedGroundEruption","Jagged Ground Eruption","Éruption de Sol irrégulier","Eruption zerklüfteten Bodens","ギザギザ領域噴出","요철 지대 분출","Erupção de Solo Afiado","Извержение вздыбленной земли","Erupción de suelo irregular","การปะทุของพื้นหยัก","碎裂地面爆炸",1,"",1
