"rownum","ScalingType","GemLevel","MinPhys","MaxPhys"
0,4,1,11,17
1,4,2,18,27
2,4,3,27,41
3,4,4,37,55
4,4,5,47,70
5,4,6,57,86
6,4,7,67,100
7,4,8,78,117
8,4,9,88,132
9,4,10,99,148
10,4,11,109,164
11,4,12,114,171
12,4,13,118,177
13,4,14,128,192
14,4,15,138,207
15,4,16,146,219
16,4,17,155,233
17,4,18,164,245
18,4,19,172,258
19,4,20,180,270
20,4,21,187,281
21,4,22,194,291
22,4,23,200,300
23,4,24,207,310
24,4,25,213,320
25,4,26,219,329
26,4,27,226,339
27,4,28,232,348
28,4,29,239,358
29,4,30,245,367
30,4,31,251,377
31,4,32,258,387
32,4,33,264,396
33,4,34,270,405
34,4,35,276,415
35,4,36,283,424
36,4,37,289,434
37,4,38,295,443
38,4,39,302,452
39,4,40,308,462
